Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,Environment and Operations,Long Term Debtors,01-Aug-22,1700136697,Biffa Waste Services Ltd,"-£627,340.00"
Manchester City Council,Environment and Operations,Long Term Debtors,01-Aug-22,1700136698,Biffa Waste Services Ltd,"-£114,746.00"
Manchester City Council,Environment and Operations,Long Term Debtors,01-Aug-22,1700136699,Biffa Waste Services Ltd,"-£83,750.00"
Manchester City Council,Chief Executives,OL&B - Adaptations,01-Aug-22,5105827132,EQUANS Regeneration Limited,"-£45,977.39"
Manchester City Council,Chief Executives,OL&B - Fees,01-Aug-22,5105827126,BMS Software (Northern) Ltd,"-£1,820.00"
Manchester City Council,Corporate Services,WPS Awards,01-Aug-22,5105827164,Furniture Resource Centre Ltd,£573.01
Manchester City Council,Corporate Services,Oth Professional Fee,01-Aug-22,1907834026,"Appleby & Wood,Chartered Accountant",£600.00
Manchester City Council,Highways Services,Direct Materials,01-Aug-22,5105827171,Manchester Safety Services Ltd,£643.20
Manchester City Council,Manchester Leisure,Special Event,01-Aug-22,1907831750,Best Hotel Deansgate Limited,£726.50
Manchester City Council,Manchester Leisure,Oth Professional Fee,01-Aug-22,5105827210,Abigail Lake,£800.00
Manchester City Council,Manchester Leisure,Special Event,01-Aug-22,1907833985,KYSO PROJECT CIC,£900.00
Manchester City Council,Chief Executives,Advertising,01-Aug-22,5105827207,Moonscape Media Ltd,£900.00
Manchester City Council,Adult Social Care,Grant Expenditure,01-Aug-22,1907834241,Curios Crafty CIC,"£1,000.00"
Manchester City Council,Adult Social Care,Furniture,01-Aug-22,5105827145,Furniture Resource Centre Ltd,"£1,124.40"
Manchester City Council,Hospitality + Trading Services,Goods for Resale,01-Aug-22,5105827158,Obitus,"£1,363.00"
Manchester City Council,Regeneration Finance,Joint Financing Cont,01-Aug-22,1907833978,CLICK EMS LTD,"£1,436.00"
Manchester City Council,Regeneration Finance,Joint Financing Cont,01-Aug-22,1907833977,JV Associates LTD,"£1,800.00"
Manchester City Council,Manchester Leisure,Stationery,01-Aug-22,5105827138,Steel City Marketing Limited,"£1,994.00"
Manchester City Council,Manchester Leisure,Furniture,01-Aug-22,5105827149,Furniture Resource Centre Ltd,"£2,350.19"
Manchester City Council,Adult Social Care,Rents,01-Aug-22,5105827172,Housing Social Ltd,"£2,785.53"
Manchester City Council,Regeneration Finance,Training,01-Aug-22,5105827128,CIPFA Business Ltd,"£2,800.00"
Manchester City Council,Manchester Leisure,Special Event,01-Aug-22,5105827193,Caribbean & African,"£3,000.00"
Manchester City Council,Chief Executives,Advertising,01-Aug-22,5105827209,Fonemedia Limited,"£4,000.00"
Manchester City Council,Adult Social Care,Equipment,01-Aug-22,5105827208,Drive Devilbiss Healthcare Ltd,"£5,878.00"
Manchester City Council,Manchester Leisure,Oth Professional Fee,01-Aug-22,1907834868,WORLD TAEKWONDO EUROPE,"£8,290.55"
Manchester City Council,Regeneration Finance,Oth Professional Fee,01-Aug-22,5105827194,City Football Group Limited,"£8,704.00"
Manchester City Council,Childrens & Education Services,Oth Professional Fee,01-Aug-22,5105827129,AECOM Limited,"£8,785.00"
Manchester City Council,Chief Executives,OL&B - Adaptations,01-Aug-22,5105827133,EQUANS Regeneration Limited,"£45,895.65"
Manchester City Council,Environment and Operations,Long Term Debtors,01-Aug-22,1700136694,Biffa Waste Services Ltd,"£83,750.00"
Manchester City Council,Environment and Operations,Long Term Debtors,01-Aug-22,1700136696,Biffa Waste Services Ltd,"£114,746.00"
Manchester City Council,Environment and Operations,Long Term Debtors,01-Aug-22,1700136701,Biffa Waste Services Ltd,"£627,340.00"
Manchester City Council,Childrens Services,Oth Rv ex fnd cp sta,01-Aug-22,5105827188,Manchester Enterprise Academy,"£1,108,547.02"
Manchester City Council,Highways Services,Legal Fees,01-Aug-22,5105827204,Redacted Personal Information,£700.00
Manchester City Council,Manchester Leisure,Special Event,02-Aug-22,1907834235,Redacted Personal Information,£906.59
Manchester City Council,Manchester Leisure,Oth Professional Fee,02-Aug-22,1907834285,Redacted Personal Information,£920.00
Manchester City Council,Chief Executives,Sub Contractors,02-Aug-22,5105827186,Redacted Personal Information,£531.80
Manchester City Council,Manchester Leisure,Oth Professional Fee,02-Aug-22,5105827383,Redacted Personal Information,£600.00
Manchester City Council,Adult Social Care,Extra Care Sheltd HP,02-Aug-22,5105827227,CRG Homecare Limited,"-£39,664.20"
Manchester City Council,Chief Executives,External Agency,02-Aug-22,5105827428,Michael Page International,"-£16,695.60"
Manchester City Council,Chief Executives,GRIR,02-Aug-22,5105827427,Landor Links Limited,"-£1,080.00"
Manchester City Council,Childrens & Education Services,Signers/Interpreters,02-Aug-22,5105827268,Language Line Ltd,-£654.40
Manchester City Council,Childrens & Education Services,Signers/Interpreters,02-Aug-22,5105827263,Language Line Ltd,-£636.60
