Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,Childrens & Education Services,Payments for services,01-Dec-22,5105846849,The Together Trust,"£63,680.65"
Manchester City Council,Childrens & Education Services,Payments for services,01-Dec-22,5105846850,The Together Trust,"£49,713.84"
Manchester City Council,Childrens & Education Services,Payments for services,01-Dec-22,5105846858,The Together Trust,"£6,243.00"
Manchester City Council,Childrens & Education Services,Payments for services,01-Dec-22,5105846852,The Together Trust,"£3,972.73"
Manchester City Council,Childrens & Education Services,Payments for services,01-Dec-22,5105846856,The Together Trust,"£3,972.73"
Manchester City Council,Childrens & Education Services,Payments for services,01-Dec-22,5105846854,The Together Trust,"£3,878.73"
Manchester City Council,Childrens & Education Services,Payments for services,12-Dec-22,5105848433,The Together Trust,"£4,426.48"
Manchester City Council,Childrens & Education Services,Payments for services,12-Dec-22,5105848430,The Together Trust,"£2,023.42"
Manchester City Council,Childrens & Education Services,Payments for services,12-Dec-22,5105848432,The Together Trust,"£1,060.15"
Manchester City Council,Childrens & Education Services,Payments for services,12-Dec-22,5105848431,The Together Trust,£788.95
Manchester City Council,Housing General Fund,Building Works,05-Dec-22,1907950784,Pollock Lifts Ltd,"£14,159.00"
Manchester City Council,Housing General Fund,Building Works,21-Dec-22,1907968651,Pollock Lifts Ltd,"£19,413.00"
Manchester City Council,Housing General Fund,Building Works,21-Dec-22,1907968644,Pollock Lifts Ltd,"£11,858.00"
Manchester City Council,Adult Social Care,Supporting People Payments,09-Dec-22,5105848192,Praxis Care Group,"£6,013.67"
Manchester City Council,Regeneration Finance,Taxi Vehicle Materia,13-Dec-22,5105848636,VIP-System Ltd,"£3,364.86"
Manchester City Council,Regeneration Finance,Taxi Vehicle Materia,31-Dec-22,5105850743,VIP-System Ltd,"£1,783.00"
Manchester City Council,Manchester Leisure,Other Insurance,23-Dec-22,1907963873,Aon Ltd,"£8,966.56"
Manchester City Council,Chief Executives,Printing,31-Dec-22,5105850732,Mail Solutions,"£1,824.00"
Manchester City Council,Childrens & Education Services,Transport Coach Hire,12-Dec-22,5105848414,T/A Beresford Travel,"£3,105.00"
Manchester City Council,Childrens & Education Services,Transport Coach Hire,31-Dec-22,5105850626,T/A Beresford Travel,"-£1,620.00"
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,21-Dec-22,5105850023,The Shaw Centre,"£15,638.12"
Manchester City Council,Adult Social Care,Supporting People Payments,01-Dec-22,5105846816,People First Housing Association,"£13,833.27"
Manchester City Council,Childrens & Education Services,I T Provision,12-Dec-22,5105847869,Caci Ltd,"£4,150.00"
Manchester City Council,Adult Social Care,Supporting People Payments,19-Dec-22,5105849648,Housing 21,"£2,850.00"
Manchester City Council,Corporate Services,Professional fees,13-Dec-22,5105848062,Post Office Ltd,"£2,026.60"
Manchester City Council,Corporate Services,Postage,08-Dec-22,5105847703,Royal Mail Group Plc,"£11,917.77"
Manchester City Council,Corporate Services,Postage,08-Dec-22,5105847912,Royal Mail Group Plc,"£9,298.33"
Manchester City Council,Chief Executives,Postage,15-Dec-22,5105849198,Royal Mail Group Plc,"£28,306.88"
Manchester City Council,Corporate Services,Postage,15-Dec-22,5105848015,Royal Mail Group Plc,"-£4,770.09"
Manchester City Council,Corporate Services,Postage,23-Dec-22,5105850506,Royal Mail Group Plc,"£12,078.95"
Manchester City Council,Regeneration Finance,Postage,23-Dec-22,5105850567,Royal Mail,£825.00
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,12-Dec-22,5105846953,Nacro,"£104,166.67"
