Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Training and Development,01.04.2022,5105809977,"£2,514.60",Break into Business Ltd
Manchester City Council,Manchester Leisure,Refuse Collection,01.04.2022,5105809949,"£7,952.94",Biffa Municipal Limited
Manchester City Council,Manchester Leisure,Refuse Collection,01.04.2022,5105809950,"-£7,952.94",Biffa Municipal Limited
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,01.04.2022,5105809949,"£3,757.19",Biffa Municipal Limited
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,01.04.2022,5105809950,"-£3,757.19",Biffa Municipal Limited
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,01.04.2022,5105809937,"£2,100.00",The Conservation Volunteers
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.04.2022,1907451631,"£1,200.00",Redacted Personal Information
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.04.2022,1700132419,"-£1,200.00",Redacted Personal Information
Manchester City Council,Libraries and Theatres,Hire of Premises,01.04.2022,5105809975,"£6,595.00",Customer First Venue Services
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,01.04.2022,5105809967,"£1,800.00",Peter Douglass Platforms
Manchester City Council,Hospitality + Trading Services,Goods purchased for resale in Council outlets,01.04.2022,5105809942,"£2,856.00",Albert Jones Memorials
Manchester City Council,Hospitality + Trading Services,Goods purchased for resale in Council outlets,01.04.2022,5105809944,"£1,784.40",Albert Jones Memorials
Manchester City Council,Hospitality + Trading Services,Goods purchased for resale in Council outlets,01.04.2022,5105809943,"-£2,141.28",Albert Jones Memorials
Manchester City Council,Hospitality + Trading Services,Goods purchased for resale in Council outlets,01.04.2022,5105809941,"-£3,427.60",Albert Jones Memorials
Manchester City Council,Hospitality + Trading Services,Management Fee Inc,01.04.2022,1907598549,"£97,540.00",The Barlow R.C. High School
Manchester City Council,Hospitality + Trading Services,Management Fee Inc,01.04.2022,1907598548,"£26,616.53",The Barlow R.C. High School
Manchester City Council,Environment and Operations,Vehicle Plant Furniture and Equipment,01.04.2022,5105809945,"£1,450,000.00",Biffa Municipal Limited
Manchester City Council,Environment and Operations,Construction Works,01.04.2022,5105810012,"£75,346.74",Dowhigh Ltd
Manchester City Council,Environment and Operations,Construction Works,01.04.2022,5105810013,"£11,707.30",Dowhigh Ltd
Manchester City Council,Environment and Operations,Construction Works,01.04.2022,5105809980,"£7,108.72",Dowhigh Ltd
Manchester City Council,Childrens & Education Services,Contract Cleaning External,01.04.2022,5105810076,"£1,170.00",Superkids Levenshulme Ltd
Manchester City Council,Childrens & Education Services,Professional fees,01.04.2022,1907575515,£610.00,Kenworthy's Chambers
Manchester City Council,Childrens & Education Services,Professional fees,01.04.2022,5105810040,£750.00,Prospero Teaching
Manchester City Council,Childrens & Education Services,Professional fees,01.04.2022,5105809946,"£2,400.00",Paramount Care Solutions Limited
Manchester City Council,Childrens & Education Services,Professional fees,01.04.2022,5105809948,"£2,400.00",Paramount Care Solutions Limited
Manchester City Council,Childrens & Education Services,Professional fees,01.04.2022,5105809961,"£2,400.00",Paramount Care Solutions Limited
Manchester City Council,Childrens & Education Services,Professional fees,01.04.2022,5105809962,"£2,400.00",Paramount Care Solutions Limited
Manchester City Council,Childrens & Education Services,Professional fees,01.04.2022,5105809963,"£2,400.00",Paramount Care Solutions Limited
Manchester City Council,Childrens & Education Services,Professional fees,01.04.2022,5105809965,"£2,400.00",Paramount Care Solutions Limited
Manchester City Council,Childrens & Education Services,Professional fees,01.04.2022,5105810074,"£2,400.00",Paramount Care Solutions Limited
Manchester City Council,Childrens & Education Services,Professional fees,01.04.2022,5105810079,"£2,400.00",Paramount Care Solutions Limited
Manchester City Council,Childrens & Education Services,Pay School Budget,01.04.2022,5105810066,"£16,480.00",Southern Cross School
Manchester City Council,Childrens & Education Services,Pay School Budget,01.04.2022,5105810067,"£7,200.00",Southern Cross School
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,01.04.2022,5105809992,"£58,117.00",Barnardo Services Ltd (Essex)
Manchester City Council,Childrens & Education Services,Payments for services,01.04.2022,5105810053,"£6,367.40",Rossendale School Priory
Manchester City Council,Childrens & Education Services,Payments for services,01.04.2022,5105810051,"£5,241.92",Rossendale School Priory
Manchester City Council,Childrens & Education Services,Payments for services,01.04.2022,5105810019,"£5,096.18",Rossendale School Priory
Manchester City Council,Childrens & Education Services,Payments for services,01.04.2022,5105810072,"£2,369.77",Venture Arts Ltd
Manchester City Council,Childrens & Education Services,Payments for services,01.04.2022,5105810065,"£5,550.00",Thompsons Academy Ltd
Manchester City Council,Childrens & Education Services,Payments for services,01.04.2022,5105810038,"£4,153.34",Oaklands College
Manchester City Council,Childrens & Education Services,Payments for services,01.04.2022,5105810039,"£4,153.33",Oaklands College
Manchester City Council,Adult Social Care,Rents,01.04.2022,1907598546,"£3,719.06",LIVING MANCHESTER LTD
Manchester City Council,Adult Social Care,Cleaning Equipment and Materials,01.04.2022,5105810078,£880.00,Concept Care
Manchester City Council,Adult Social Care,Cleaning Equipment and Materials,01.04.2022,5105809987,£528.00,Concept Care
Manchester City Council,Adult Social Care,Equipment,01.04.2022,5105809976,£990.00,Herida Healthcare Plc
Manchester City Council,Adult Social Care,Professional fees,01.04.2022,5105810045,"£9,986.00",SQW
Manchester City Council,Adult Social Care,Professional fees,01.04.2022,1907597155,"£3,562.00",GOLD BUSINESS CONSULTING LTD
Manchester City Council,Adult Social Care,Third party payments to Health Authority,01.04.2022,5105810042,"-£81,411.00",NHS Central Manchester CCG
Manchester City Council,Adult Social Care,Third party payments to Health Authority,01.04.2022,5105810027,"-£162,885.00",NHS Central Manchester CCG
