Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Adult Social Care,Payments for services,01.08.2016,5100872352,"£207,185.83",Future Directions CIC
Manchester City Council,Manchester Leisure,Professional fees,01.08.2016,5100872263,"£55,000.00",International Sport Group Limited
Manchester City Council,Adult Social Care,Payments for services,01.08.2016,5100872350,"£41,437.16",Future Directions CIC
Manchester City Council,Housing General Fund,Surplus property Acquisitions,01.08.2016,1905216327,"£39,375.00",Bevan Brittan LLP
Manchester City Council,Adult Social Care,Payments for services,01.08.2016,5100872362,"£25,420.96",United Response
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,01.08.2016,5100872258,"£17,792.85",Warmer Energy Services Ltd
Manchester City Council,Manchester Leisure,Labour Charges,01.08.2016,5100872367,"£11,982.85",Trafford M B C
Manchester City Council,Adult Social Care,Payments for services,01.08.2016,5100872360,"£7,971.00",Future Directions CIC
Manchester City Council,Housing General Fund,Surplus property Acquisitions,01.08.2016,1905197166,"£7,685.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Compensation Payments,01.08.2016,1905199688,"£6,500.00",Simpson Millar Solicitors LLP
Manchester City Council,Adult Social Care,Compensation Payments,01.08.2016,1905199686,"£6,325.00",Simpson Millar Solicitors LLP
Manchester City Council,Adult Social Care,Professional fees,01.08.2016,5100872351,"£5,970.00",Resolutions Consultancy Pty Ltd
Manchester City Council,Insurance Fund,Insurance,01.08.2016,1905199682,"£5,956.44",Department For Work & Pensions
Manchester City Council,Adult Social Care,Compensation Payments,01.08.2016,1905207502,"£4,950.00",Jordans Solicitors
Manchester City Council,Regeneration Finance,Consultants Fees,01.08.2016,5100872254,"£4,000.00",Susan Woodward Creative Consultancy
Manchester City Council,Insurance Fund,Insurance,01.08.2016,1905194235,"£3,912.00",Ald Legal Ltd
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1905215714,"£3,295.90",Porto Vivo
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1905215715,"£3,123.62",City of Leipzig
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.08.2016,5100872296,"£2,943.60",Gibsons Garden Machinery Limited
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1905216217,"£2,826.91",Porto Vivo
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,01.08.2016,5100872260,"£2,708.41",T/A Dyno-Drain Serv
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1905216219,"£2,679.15",City of Leipzig
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1905215704,"£2,468.45",LilleMetropole Communaute Urbaine
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1905215692,"£2,173.65",Redacted Personal Information
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1905215719,"£2,117.21",Lille Metropole Communaute Urbaine
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1905215711,"£2,075.40",Urzad Miasta Poznania
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1905216220,"£1,864.35",Redacted Personal Information
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1905216152,"£1,780.80",Urzad Miasta Poznania
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1905215707,"£1,745.74",Comune Di Ancona
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1905215709,"£1,711.67",Corporacion Empresas Municipales
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1905215701,"£1,667.86",Riga Planning Region
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.08.2016,5100872261,"£1,632.40",Gibsons Garden Machinery Limited
Manchester City Council,Adult Social Care,Payments for services,01.08.2016,5100872357,"£1,592.76",Future Directions CIC
Manchester City Council,Chief Executives,Building Materials for direct delivery,01.08.2016,5100872407,"£1,577.57",Wolseley Util Ltd T/A Burdens
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1905215720,"£1,497.33",Comune Di Ancona
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1905215743,"£1,468.11",Corporacion Empresas Municipales
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1905215718,"£1,430.53",Riga Planning Region
Manchester City Council,Adult Social Care,Stationery,01.08.2016,5100872308,"£1,065.32",Badenoch & Clark
Manchester City Council,Adult Social Care,Professional fees,01.08.2016,5100872359,"£1,050.00",Action First iPeople Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.08.2016,5100872255,£976.80,Gibsons Garden Machinery Limited
Manchester City Council,Corporate Services,Landline Telephone Charges,01.08.2016,1905204821,£961.19,Vodafone (Ex C&W)
Manchester City Council,Adult Social Care,Agency staff provision,01.08.2016,5100872243,£925.00,Randstad Education
Manchester City Council,Adult Social Care,Agency staff provision,01.08.2016,5100872244,£925.00,Randstad Education
Manchester City Council,Adult Social Care,Agency staff provision,01.08.2016,5100872245,£925.00,Randstad Education
Manchester City Council,Adult Social Care,Agency staff provision,01.08.2016,5100872246,£925.00,Randstad Education
Manchester City Council,Adult Social Care,Training and Development,01.08.2016,5100872324,£880.00,Venture Arts Ltd
Manchester City Council,Adult Social Care,Internal Repairs and Maintenance for buildings,01.08.2016,5100872305,£840.80,Manchester School Services Limited
Manchester City Council,Insurance Fund,Insurance,01.08.2016,1905212065,£825.00,Redacted Personal Information
Manchester City Council,Manchester Leisure,Equipment,01.08.2016,5100872312,£810.00,Intererence Art
Manchester City Council,Insurance Fund,Insurance,01.08.2016,1905207551,£750.00,Redacted Personal Information
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.08.2016,5100872282,£726.00,Gibsons Garden Machinery Limited
Manchester City Council,Adult Social Care,Professional fees,01.08.2016,5100872340,£700.00,Action First iPeople Ltd
Manchester City Council,Adult Social Care,Professional fees,01.08.2016,5100872345,£700.00,Action First iPeople Ltd
Manchester City Council,Adult Social Care,Professional fees,01.08.2016,5100872354,£700.00,Action First iPeople Ltd
Manchester City Council,Hospitality + Trading Services,Compensation Payments,01.08.2016,1905214428,£700.00,Dawson Consulting Limited
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.08.2016,5100872290,£666.00,Gibsons Garden Machinery Limited
Manchester City Council,Insurance Fund,Insurance,01.08.2016,1905199684,£615.00,Department For Work & Pensions
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1905215717,£600.82,Redacted Personal Information
Manchester City Council,Chief Executives,Compensation Payments,01.08.2016,5100872349,£550.00,Redacted Personal Information
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,01.08.2016,1905196794,£500.00,Redacted Personal Information
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,01.08.2016,1905196974,£500.00,Electricity North West Limited
Manchester City Council,Chief Executives,Construction Works,01.08.2016,5100872499,"-£1,084.67",Colas Limited
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1700064087,"-£1,667.86",Riga Planning Region
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1700064090,"-£1,711.67",Corporacion Empresas Municipales
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1700064089,"-£1,745.74",Comune Di Ancona
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1700064091,"-£2,075.40",Urzad Miasta Poznania
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1700064096,"-£2,173.65",Redacted Personal Information
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1700064088,"-£2,468.45",LilleMetropole Communaute Urbaine
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1700064093,"-£3,123.62",City of Leipzig
Manchester City Council,Chief Executives,Professional fees,01.08.2016,1700064092,"-£3,295.90",Porto Vivo
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,02.08.2016,5100872452,"£195,419.54",Manchester Working Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,02.08.2016,5100872375,"£179,833.59",Manchester Working Ltd
Manchester City Council,Regeneration Finance,Rents,02.08.2016,1905136677,"£96,500.00",Eric Wright Group Ltd
Manchester City Council,Regeneration Finance,Compensation Payments,02.08.2016,5100872600,"£62,872.41",Bevan Brittan LLP
