Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,03/05/2022,1700133305,-2500,Redacted Personal Information
Manchester City Council,Regeneration Finance,Gas,05/05/2022,1700133884,-1466.53,SEFE ENERGY Ltd
Manchester City Council,Corporate Services,Vehicle Costs,09/05/2022,1700133902,-4582.5,Cyclescheme Ltd
Manchester City Council,Environment and Operations,Long Term Debtors,31/05/2022,1700133968,-114746,Biffa Waste Services Ltd
Manchester City Council,Environment and Operations,Long Term Debtors,31/05/2022,1700133969,-83750,Biffa Waste Services Ltd
Manchester City Council,Environment and Operations,Long Term Debtors,31/05/2022,1700133970,-627340,Biffa Waste Services Ltd
Manchester City Council,Manchester Leisure,Library Materials Acquisition,31/05/2022,1700133971,-4000,Bolinda UK Limited
Manchester City Council,Manchester Leisure,Library Materials Acquisition,31/05/2022,1700133972,-4000,Bolinda UK Limited
Manchester City Council,Manchester Leisure,Library Materials Acquisition,16/05/2022,1700134070,-1120,THOMSON REUTERS UK LTD
Manchester City Council,Environment and Operations,Professional Fees,17/05/2022,1700134080,-1636.2,Environmental Analyst Ltd
Manchester City Council,Manchester Leisure,Professional fees,17/05/2022,1700134081,-2250,Redacted Personal Information
Manchester City Council,Adult Social Care,Computer Licenses,17/05/2022,1700134082,-34000,HSBC Bank Plc
Manchester City Council,Corporate Services,Transport Taxis,17/05/2022,1700134084,-9233.1,Street Cars
Manchester City Council,Regeneration Finance,Water - Metered,19/05/2022,1700134231,-19069.93,Anglian Water Business (National)
Manchester City Council,Regeneration Finance,Water - Metered,19/05/2022,1700134233,-565.07,Anglian Water Business (National)
Manchester City Council,Regeneration Finance,Electricity,19/05/2022,1700134234,-4596.74,Scottish & Southern Energy Plc
Manchester City Council,Regeneration Finance,Electricity,19/05/2022,1700134235,-3186.57,Scottish & Southern Energy Plc
Manchester City Council,Regeneration Finance,Electricity,19/05/2022,1700134236,-3649.87,Scottish & Southern Energy Plc
Manchester City Council,Regeneration Finance,Electricity,19/05/2022,1700134237,-2902.78,Scottish & Southern Energy Plc
Manchester City Council,Regeneration Finance,Electricity,19/05/2022,1700134244,-4157.8,Scottish & Southern Energy Plc
Manchester City Council,Regeneration Finance,Electricity,19/05/2022,1700134245,-4157.8,Scottish & Southern Energy Plc
Manchester City Council,Regeneration Finance,Electricity,19/05/2022,1700134246,-5045.06,Scottish & Southern Energy Plc
