,,,,,,"£77,014,647.28"
,,,,,,
Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,Environment and Operations,Construction Works,01-Feb-23,5105854902,Rosgal Ltd,"-£22,168.78"
Manchester City Council,Chief Executives,Construction Works,01-Feb-23,5105854932,Cadent Gas Ltd.,"£71,153.28"
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01-Feb-23,5105854868,Castlefield Forum,£561.06
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01-Feb-23,5105854867,Friends of Manchester Gay Village,£500.00
Manchester City Council,Adult Social Care,Equipment,01-Feb-23,5105854848,Sarabec Limited,£771.94
Manchester City Council,Adult Social Care,Equipment,01-Feb-23,5105854894,Drive Devilbiss Healthcare Ltd,"£1,118.40"
Manchester City Council,Corporate Services,Collection Commision,01-Feb-23,5105854865,Verrus (UK) T/A paybyphone,"£9,713.45"
Manchester City Council,Chief Executives,ICT Sup & Maintnance,01-Feb-23,5105854889,ANS Group PLC,"-£145,740.00"
Manchester City Council,Adult Social Care,Rents,01-Feb-23,5105854845,Wythenshawe Community Housing Group,"£4,674.38"
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,01-Feb-23,5105854927,Redacted Personal Information,"£4,333.00"
Manchester City Council,Chief Executives,Professional fees,01-Feb-23,5105854910,Russell & Russell Solicitors LLP,"£2,243.75"
Manchester City Council,Chief Executives,Professional fees,01-Feb-23,5105854905,Russell & Russell Solicitors LLP,"£4,947.25"
Manchester City Council,Chief Executives,Professional fees,01-Feb-23,5105854905,Russell & Russell Solicitors LLP,"£8,156.25"
Manchester City Council,Childrens & Education Services,Professional fees,01-Feb-23,1907988464,Youth Support,£666.00
Manchester City Council,Adult Social Care,Supporting People Payments,01-Feb-23,5105854909,Your Housing Ltd.,"£13,385.00"
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01-Feb-23,5105854908,Manchester Womens Aid,"£6,340.66"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,01-Feb-23,5105854913,Caribbean & African,"£9,062.25"
Manchester City Council,Childrens & Education Services,Training and Development,01-Feb-23,5105854893,QA Ltd,"£1,250.00"
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,01-Feb-23,5105854928,Advanced Vehicle Technicians Ltd,"£2,533.84"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01-Feb-23,5105854892,Groundwork & Leisure Services Ltd,"£2,400.00"
Manchester City Council,Corporate Services,Agency staff provision,02-Feb-23,5105854960,Michael Page International,£672.00
Manchester City Council,Childrens & Education Services,Agency staff provision,02-Feb-23,5105854995,Tradewind Recruitment Ltd,£699.15
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,02-Feb-23,5105854941,CPD Property Services,"£1,595.00"
Manchester City Council,Manchester Leisure,Cash Collection,02-Feb-23,5105854981,Trafford M.B.C.,"-£6,768.12"
Manchester City Council,Manchester Leisure,Cash Collection,02-Feb-23,5105854982,Trafford M.B.C.,"£6,768.12"
Manchester City Council,Highways Services,Compensation Payments,02-Feb-23,1908006768,Thompsons Solicitors LLP,"£11,256.75"
Manchester City Council,Insurance Fund,Compensation Payments,02-Feb-23,1908006767,Thompsons Solicitors LLP,"£19,841.75"
Manchester City Council,Environment and Operations,Construction Works,02-Feb-23,5105854862,GMCA,£643.16
Manchester City Council,Environment and Operations,Construction Works,02-Feb-23,5105854929,GMCA,"£13,854.22"
Manchester City Council,Environment and Operations,Construction Works,02-Feb-23,5105854863,GMCA,£514.44
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,02-Feb-23,5105854947,PPG Architectural Coatings UK Ltd,"£1,627.86"
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,02-Feb-23,5105855000,Barlow Moor Community Association,"£2,100.00"
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,02-Feb-23,5105854994,Manchester Womens Aid,"£3,333.35"
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,02-Feb-23,5105854987,Women's Support Group,"£1,405.00"
Manchester City Council,Chief Executives,Grant Payments,02-Feb-23,5105854935,LNRS Data Services Limited,"£3,675.60"
Manchester City Council,Chief Executives,Counsel Costs,02-Feb-23,1908006780,Redacted Personal Information,"£10,150.00"
Manchester City Council,Adult Social Care,Rents,02-Feb-23,5105855017,B & A Properties,"£43,847.14"
Manchester City Council,Manchester Leisure,Publications,02-Feb-23,5105854944,Askews and Holts,£758.04
Manchester City Council,Regeneration Finance,Electricity,02-Feb-23,1908007665,British Gas Plc,£589.73
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1700144522,Corona Energy Ltd,"-£28,979.32"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1700144525,Corona Energy Ltd,"-£18,648.29"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1700144526,Corona Energy Ltd,"-£16,290.59"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1700144521,Corona Energy Ltd,"-£15,513.77"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1700144524,Corona Energy Ltd,"-£2,865.54"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1700144527,Corona Energy Ltd,-£947.44
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1700144523,Corona Energy Ltd,-£889.21
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007763,Corona Energy Ltd,£504.12
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007726,Corona Energy Ltd,£530.61
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007796,Corona Energy Ltd,£546.28
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007781,Corona Energy Ltd,£624.64
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007775,Corona Energy Ltd,£638.99
Manchester City Council,Childrens & Education Services,Gas,02-Feb-23,1908007730,Corona Energy Ltd,£662.41
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007748,Corona Energy Ltd,£724.58
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007719,Corona Energy Ltd,£760.22
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007860,Corona Energy Ltd,£793.68
Manchester City Council,Adult Social Care,Gas,02-Feb-23,1908007705,Corona Energy Ltd,£816.42
Manchester City Council,Adult Social Care,Gas,02-Feb-23,1908007706,Corona Energy Ltd,£818.07
Manchester City Council,Hospitality + Trading Services,Gas,02-Feb-23,1908007857,Corona Energy Ltd,£827.49
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007804,Corona Energy Ltd,£845.87
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007873,Corona Energy Ltd,£856.18
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007731,Corona Energy Ltd,£870.45
Manchester City Council,Childrens & Education Services,Gas,02-Feb-23,1908007802,Corona Energy Ltd,£878.17
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007816,Corona Energy Ltd,£889.21
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007735,Corona Energy Ltd,£989.96
Manchester City Council,Hospitality + Trading Services,Gas,02-Feb-23,1908007740,Corona Energy Ltd,£993.61
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007878,Corona Energy Ltd,"£1,030.77"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007831,Corona Energy Ltd,"£1,060.13"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007792,Corona Energy Ltd,"£1,121.89"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007709,Corona Energy Ltd,"£1,199.07"
Manchester City Council,Childrens & Education Services,Gas,02-Feb-23,1908007687,Corona Energy Ltd,"£1,216.54"
Manchester City Council,Childrens & Education Services,Gas,02-Feb-23,1908007720,Corona Energy Ltd,"£1,259.88"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007793,Corona Energy Ltd,"£1,319.95"
Manchester City Council,Adult Social Care,Gas,02-Feb-23,1908007862,Corona Energy Ltd,"£1,348.07"
Manchester City Council,Adult Social Care,Gas,02-Feb-23,1908007677,Corona Energy Ltd,"£1,348.31"
Manchester City Council,Childrens & Education Services,Gas,02-Feb-23,1908007805,Corona Energy Ltd,"£1,354.49"
Manchester City Council,Adult Social Care,Gas,02-Feb-23,1908007744,Corona Energy Ltd,"£1,380.69"
Manchester City Council,Adult Social Care,Gas,02-Feb-23,1908007874,Corona Energy Ltd,"£1,421.49"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007881,Corona Energy Ltd,"£1,436.41"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007686,Corona Energy Ltd,"£1,478.83"
Manchester City Council,Adult Social Care,Gas,02-Feb-23,1908007714,Corona Energy Ltd,"£1,487.80"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007674,Corona Energy Ltd,"£1,493.93"
Manchester City Council,Adult Social Care,Gas,02-Feb-23,1908007672,Corona Energy Ltd,"£1,516.39"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007685,Corona Energy Ltd,"£1,518.62"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007798,Corona Energy Ltd,"£1,523.03"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007736,Corona Energy Ltd,"£1,574.64"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007691,Corona Energy Ltd,"£1,610.20"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007824,Corona Energy Ltd,"£1,677.27"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007823,Corona Energy Ltd,"£1,677.56"
Manchester City Council,Hospitality + Trading Services,Gas,02-Feb-23,1908007854,Corona Energy Ltd,"£1,680.37"
Manchester City Council,Adult Social Care,Gas,02-Feb-23,1908007829,Corona Energy Ltd,"£1,680.92"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007822,Corona Energy Ltd,"£1,687.36"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007684,Corona Energy Ltd,"£1,709.89"
Manchester City Council,Adult Social Care,Gas,02-Feb-23,1908007716,Corona Energy Ltd,"£1,741.97"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007866,Corona Energy Ltd,"£1,743.15"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007882,Corona Energy Ltd,"£1,751.58"
Manchester City Council,Adult Social Care,Gas,02-Feb-23,1908007669,Corona Energy Ltd,"£1,779.45"
Manchester City Council,Adult Social Care,Gas,02-Feb-23,1908007676,Corona Energy Ltd,"£1,841.21"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007790,Corona Energy Ltd,"£1,854.21"
Manchester City Council,Childrens & Education Services,Gas,02-Feb-23,1908007783,Corona Energy Ltd,"£1,868.20"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007806,Corona Energy Ltd,"£1,888.79"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007845,Corona Energy Ltd,"£1,924.98"
Manchester City Council,Adult Social Care,Gas,02-Feb-23,1908007876,Corona Energy Ltd,"£1,956.16"
Manchester City Council,Adult Social Care,Gas,02-Feb-23,1908007694,Corona Energy Ltd,"£1,960.39"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007762,Corona Energy Ltd,"£1,974.57"
Manchester City Council,Housing Revenue Account,Gas,02-Feb-23,1908007839,Corona Energy Ltd,"£1,987.66"
Manchester City Council,Childrens & Education Services,Gas,02-Feb-23,1908007680,Corona Energy Ltd,"£2,017.18"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007865,Corona Energy Ltd,"£2,019.02"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007722,Corona Energy Ltd,"£2,055.80"
Manchester City Council,Childrens & Education Services,Gas,02-Feb-23,1908007758,Corona Energy Ltd,"£2,066.08"
Manchester City Council,Adult Social Care,Gas,02-Feb-23,1908007718,Corona Energy Ltd,"£2,205.72"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007879,Corona Energy Ltd,"£2,218.12"
Manchester City Council,Childrens & Education Services,Gas,02-Feb-23,1908007884,Corona Energy Ltd,"£2,230.43"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007794,Corona Energy Ltd,"£2,233.26"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007780,Corona Energy Ltd,"£2,288.97"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007848,Corona Energy Ltd,"£2,302.04"
Manchester City Council,Childrens & Education Services,Gas,02-Feb-23,1908007711,Corona Energy Ltd,"£2,313.11"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007675,Corona Energy Ltd,"£2,321.56"
Manchester City Council,Childrens & Education Services,Gas,02-Feb-23,1908007695,Corona Energy Ltd,"£2,336.58"
Manchester City Council,Adult Social Care,Gas,02-Feb-23,1908007847,Corona Energy Ltd,"£2,359.45"
Manchester City Council,Adult Social Care,Gas,02-Feb-23,1908007826,Corona Energy Ltd,"£2,360.80"
Manchester City Council,Childrens & Education Services,Gas,02-Feb-23,1908007853,Corona Energy Ltd,"£2,363.29"
Manchester City Council,Adult Social Care,Gas,02-Feb-23,1908007670,Corona Energy Ltd,"£2,410.84"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007761,Corona Energy Ltd,"£2,445.03"
Manchester City Council,Hospitality + Trading Services,Gas,02-Feb-23,1908007855,Corona Energy Ltd,"£2,511.41"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007750,Corona Energy Ltd,"£2,615.82"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007867,Corona Energy Ltd,"£2,660.94"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007846,Corona Energy Ltd,"£2,689.13"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007778,Corona Energy Ltd,"£2,773.79"
Manchester City Council,Hospitality + Trading Services,Gas,02-Feb-23,1908007693,Corona Energy Ltd,"£2,848.43"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007818,Corona Energy Ltd,"£2,858.93"
Manchester City Council,Hospitality + Trading Services,Gas,02-Feb-23,1908007752,Corona Energy Ltd,"£2,863.00"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007817,Corona Energy Ltd,"£2,865.54"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007721,Corona Energy Ltd,"£2,915.46"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007828,Corona Energy Ltd,"£3,096.88"
Manchester City Council,Childrens & Education Services,Gas,02-Feb-23,1908007836,Corona Energy Ltd,"£3,273.82"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007765,Corona Energy Ltd,"£3,395.11"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007833,Corona Energy Ltd,"£3,400.31"
Manchester City Council,Childrens & Education Services,Gas,02-Feb-23,1908007811,Corona Energy Ltd,"£3,479.80"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007773,Corona Energy Ltd,"£3,543.72"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007814,Corona Energy Ltd,"£3,599.25"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007810,Corona Energy Ltd,"£3,642.43"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007683,Corona Energy Ltd,"£3,645.39"
Manchester City Council,Childrens & Education Services,Gas,02-Feb-23,1908007885,Corona Energy Ltd,"£3,656.09"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007813,Corona Energy Ltd,"£3,661.24"
Manchester City Council,Manchester Leisure,Gas,02-Feb-23,1908007707,Corona Energy Ltd,"£3,996.49"
Manchester City Council,Regeneration Finance,Gas,02-Feb-23,1908007745,Corona Energy Ltd,"£4,183.43"
