Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,I T Provision,03.07.2017,5100925384,£630.00,Ncc Services Limited
Manchester City Council,Manchester Leisure,Licences Purchase,03.07.2017,5100917629,"£8,781.20",IHS (Global) Ltd
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,03.07.2017,5100925439,£805.98,Littlehampton Book Services Ltd
Manchester City Council,Adult Social Care,Rents,03.07.2017,1905653243,"£1,600.00",Brentwood Lettings
Manchester City Council,Adult Social Care,Equipment,03.07.2017,5100925418,£564.00,Sidhil Ltd
Manchester City Council,Adult Social Care,I T Provision,03.07.2017,5100925403,"£8,600.00",Policy Partners Project Ltd
Manchester City Council,Adult Social Care,Subsistence and Conference Expenses,03.07.2017,5100925432,"£4,521.27",Booktrust
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,03.07.2017,5100925394,"£13,175.00",Manchester People First
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,03.07.2017,5100925389,£832.75,Manchester People First
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,03.07.2017,5100925390,£832.75,Manchester People First
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,03.07.2017,5100925399,£832.75,Manchester People First
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,03.07.2017,5100925409,£832.75,Manchester People First
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,03.07.2017,5100925428,"£2,789.00",Poynton High School
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.07.2017,5100925406,"£13,093.20",The Shaw Centre
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.07.2017,5100925437,"£1,500.00",Afro Carribean Care Group
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.07.2017,5100925419,£578.06,Southway Housing Trust
Manchester City Council,Adult Social Care,Payments for services,03.07.2017,5100925386,"£243,812.75",Standwalk Ltd
Manchester City Council,Adult Social Care,Payments for services,03.07.2017,5100925388,"£34,743.00",Creative Support Ltd
Manchester City Council,Adult Social Care,Payments for services,03.07.2017,5100925407,"£8,369.18",Future Directions CIC
Manchester City Council,Adult Social Care,Payments for services,03.07.2017,5100925400,"£10,714.29",Promising Futures Limited
Manchester City Council,Adult Social Care,Home Care ,03.07.2017,5100925423,"£1,551.50",Moss Side (Alexandra Park) Nursery
Manchester City Council,Chief Executives,Agency staff provision,03.07.2017,5100925385,"£7,549.36",Proactive Personnel Ltd
Manchester City Council,Chief Executives,Printing,03.07.2017,5100925425,"£1,750.00",Allied Publicity Serv.(Manchester)
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,03.07.2017,5100925402,"£3,000.00",AECOM Limited
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,03.07.2017,5100925393,"£3,500.00",ROCP Limited
Manchester City Council,Regeneration Finance,Legal Fees,03.07.2017,1905649883,"£4,743.50",Platt and Fishwick Solicitors
Manchester City Council,Regeneration Finance,Compensation Payments,03.07.2017,1905649884,"£9,250.00",Platt and Fishwick Solicitors
Manchester City Council,Regeneration Finance,Service Charges Income,03.07.2017,1905649885,£633.75,Workman LLP
Manchester City Council,Manchester Leisure,Training and Development,04.07.2017,5100925550,£648.00,Manchester Cathedral Visitor Centre
Manchester City Council,Manchester Leisure,Security,04.07.2017,5100925708,"£5,832.00",Event Security Services Ltd
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,04.07.2017,5100925579,"£1,780.00",Rigby Taylor Ltd
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,04.07.2017,5100925590,"£1,890.00",A P Broome Landscapes Ltd
Manchester City Council,Manchester Leisure,Stationery,04.07.2017,5100925494,£581.30,Banner Group Limited
Manchester City Council,Manchester Leisure,Legal Fees,04.07.2017,5100925642,"£1,125.00",Redacted Personal Information
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,04.07.2017,5100925514,£519.93,Grantham Book Services Ltd
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,04.07.2017,5100925527,£697.80,Redacted Personal Information
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,04.07.2017,5100925776,"£70,891.28",Winners Contract Hire Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,04.07.2017,5100925657,"£6,001.60",Specialist Vehicle rental
