Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906105917,"£69,528.53",Abensons Solicitors,,
Manchester City Council,Adult Social Care,Recharges to MCC Schools,02.07.2018,1906105918,"£54,700.00",Gorvins Solicitors,,
Manchester City Council,Chief Executives,Third party payments to Health Authority,02.07.2018,5100983669,"£44,570.67",Central Mcr Uni Hospital t/a,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104934,"£38,093.63",UPS Building & Maintenance Ltd,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,02.07.2018,5100983688,"£36,500.00",Wythenshawe Forum Trust Ltd,,
Manchester City Council,Adult Social Care,Payments for services,02.07.2018,5100983689,"£35,702.70",Creative Support Ltd,,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.07.2018,5100983668,"£28,762.16",Central Mcr Uni Hospital t/a,,
Manchester City Council,Adult Social Care,Rents,02.07.2018,5100983681,"£28,182.79",MJ Rental Ltd,,
Manchester City Council,Adult Social Care,Agency staff provision,02.07.2018,5100983655,"£22,502.00",Gatenby Sanderson,,
Manchester City Council,Adult Social Care,Rents,02.07.2018,5100983717,"£20,055.16",Housing Social Ltd,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104951,"£18,713.36",UPS Building & Maintenance Ltd,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104953,"£16,332.20",UPS Building & Maintenance Ltd,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.07.2018,5100983670,"£13,020.83",Manchester Action On Street Health,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.07.2018,5100983671,"£13,020.83",Manchester Action On Street Health,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104955,"£10,469.00",Pollock Lifts Ltd,,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.07.2018,5100983668,"£8,793.75",Central Mcr Uni Hospital t/a,,
Manchester City Council,Adult Social Care,Agency staff provision,02.07.2018,5100978443,"£7,500.00",Gatenby Sanderson,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104933,"£6,308.36",UPS Building & Maintenance Ltd,,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.07.2018,5100983658,"£6,056.00",Kane Funeral Services,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104950,"£5,731.26",UPS Building & Maintenance Ltd,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.07.2018,5100983702,"£5,508.66",Skills & Work Solutions,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104936,"£5,468.31",UPS Building & Maintenance Ltd,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104954,"£5,422.00",Stannah Lift Services Ltd,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104940,"£5,400.00",Stannah Lift Services Ltd,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104938,"£4,966.00",Thyssenkrupp Encasa,,
