Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Contract Cleaning External,01.06.2016,5100862392,£615.00,Clearview Event Services Limited
Manchester City Council,Manchester Leisure,Contract Cleaning External,01.06.2016,5100862394,£615.00,Clearview Event Services Limited
Manchester City Council,Manchester Leisure,Contract Cleaning External,01.06.2016,5100862401,£615.00,Clearview Event Services Limited
Manchester City Council,Manchester Leisure,Contract Cleaning External,01.06.2016,5100862409,£615.00,Clearview Event Services Limited
Manchester City Council,Manchester Leisure,Contract Cleaning External,01.06.2016,5100862385,£530.00,Clearview Event Services Limited
Manchester City Council,Manchester Leisure,Contract Cleaning External,01.06.2016,5100862391,£530.00,Clearview Event Services Limited
Manchester City Council,Manchester Leisure,Contract Cleaning External,01.06.2016,5100862396,£530.00,Clearview Event Services Limited
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.06.2016,5100862365,"£4,000.00",Port Sunlight Village Trust
Manchester City Council,Hospitality + Trading Services,Data Registration Fee,01.06.2016,1905128962,£854.00,HMCS Traffic EC
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.06.2016,5100862335,"-£7,000.00",Weaste Hotel
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.06.2016,5100862334,"-£7,580.00",Weaste Hotel
Manchester City Council,Adult Social Care,Equipment,01.06.2016,5100862321,"£1,995.00",After Adoption
Manchester City Council,Adult Social Care,Expenditure re Internal Trading Ordered Externally,01.06.2016,5100862372,"£2,750.00",Open Objects Software Ltd
Manchester City Council,Adult Social Care,Foster Payments,01.06.2016,1905137523,"£1,223.77",Redacted Personal Information
Manchester City Council,Adult Social Care,Foster Payments,01.06.2016,1905137517,"£1,215.44",Redacted Personal Information
Manchester City Council,Adult Social Care,Foster Payments,01.06.2016,1905137525,"£1,200.72",Redacted Personal Information
Manchester City Council,Adult Social Care,Foster Payments,01.06.2016,1905137519,£646.85,Redacted Personal Information
Manchester City Council,Adult Social Care,Foster Payments,01.06.2016,1905137520,£561.32,Redacted Personal Information
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,01.06.2016,5100862307,"£2,700.00",Simply Cycling - Wyth Wheelers
Manchester City Council,Adult Social Care,Payments for services,01.06.2016,5100862316,"£20,667.00",After Adoption
Manchester City Council,Adult Social Care,Stationery,01.06.2016,5100859079,"£1,881.40",Northgate Public Services (UK) Ltd
Manchester City Council,Adult Social Care,Supporting People Payments,01.06.2016,5100862313,"£103,514.29",Creative Support Ltd
