Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,01.03.2016,5100845585,£501.15,Manchester Working Ltd
Manchester City Council,Manchester Leisure,Grounds Maintenance Costs,01.03.2016,5100845600,"£6,749.36",Continental Landscapes Limited
Manchester City Council,Manchester Leisure,Payments for services,01.03.2016,5100845608,"£9,750.00",City of Manchester Aquatics Swim Te
Manchester City Council,Manchester Leisure,Payments for services,01.03.2016,5100845622,"£1,500.00",Abraham Moss Community School
Manchester City Council,Manchester Leisure,Payments for services,01.03.2016,5100845649,"£1,500.00",Youth on Solid Ground
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,01.03.2016,1905012773,£686.80,Ecomix Concrete Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.03.2016,1905012750,"£1,659.08",Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.03.2016,1905012713,£587.12,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Compensation Payments,01.03.2016,1905010276,"£2,750.00",The Rose Partnership Solicitors
Manchester City Council,Environment and Operations,Building Materials for direct delivery,01.03.2016,5100845651,"£1,029.75",Chelsom Limited
Manchester City Council,Environment and Operations,External repairs and maintenance for buildings,01.03.2016,5100845640,"£3,500.00",Continental Landscapes Limited
Manchester City Council,Environment and Operations,Grounds Maintenance Costs,01.03.2016,5100845640,"£2,206.30",Continental Landscapes Limited
Manchester City Council,Environment and Operations,Grounds Maintenance Costs,01.03.2016,5100845638,£620.81,Continental Landscapes Limited
Manchester City Council,Environment and Operations,Refuse Collection,01.03.2016,5100845569,"£44,882.55",Enterprise Manchester DOMESTIC
Manchester City Council,Environment and Operations,Refuse Collection,01.03.2016,5100845567,"-£44,882.51",Enterprise Manchester DOMESTIC
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.03.2016,5100845588,"£11,838.52",G & A Taylor Hotels Ltd
Manchester City Council,Adult Social Care,"Clothes, Uniform and Laundry",01.03.2016,5100845657,£691.90,Alliance Disposables Ltd
Manchester City Council,Adult Social Care,Payments for services,01.03.2016,5100845596,"£3,780.00",Embrace All Ltd
Manchester City Council,Adult Social Care,Payments for services,01.03.2016,5100845599,"£1,194.42",Adoption Matters Northwest
Manchester City Council,Adult Social Care,Payments for services,01.03.2016,5100845601,£750.00,Adoption Matters Northwest
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.03.2016,5100845619,£840.00,Afruca
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,01.03.2016,5100845565,"£7,928.32",New Bridge School
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,01.03.2016,5100845626,"£7,524.00",Ladywood School
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,01.03.2016,5100845631,"£3,721.50",Thomasson Memorial School
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,01.03.2016,5100845587,"£10,432.00",Northwards Housing Limited
Manchester City Council,Chief Executives,I T Provision,01.03.2016,5100845584,"£1,509.00",Hesa Services Ltd
Manchester City Council,Chief Executives,Printing,01.03.2016,5100795518,"£2,555.00",Rivermeade Signs Ltd
Manchester City Council,Chief Executives,Compensation Payments,01.03.2016,5100845570,£753.00,DWF LLP
Manchester City Council,Regeneration Finance,Goods Received Invoice Received,01.03.2016,5100845715,"-£1,222.00",Roger Hannah & Co
Manchester City Council,Regeneration Finance,Subsistence and Conference Expenses,01.03.2016,5100845589,"£1,907.00",BAM Construction Limited
Manchester City Council,Manchester Leisure,I T Provision,02.03.2016,5100845676,"£7,172.00",Axiell ALM Ltd
Manchester City Council,Manchester Leisure,Professional fees,02.03.2016,5100845653,£500.00,Bolton Mbc
Manchester City Council,Manchester Leisure,Rents,02.03.2016,5100845694,"£3,014.27",Wythenshawe Forum Trust Ltd
Manchester City Council,Manchester Leisure,Stationery,02.03.2016,5100845862,"£1,461.91",Madeleine Lindley Ltd
Manchester City Council,Hospitality + Trading Services,Agency staff provision,02.03.2016,5100845895,"£1,113.99",Hays Personnel
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,02.03.2016,5100845898,"£9,398.25",Marshalls Mono Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,02.03.2016,5100845681,"£2,196.00",Kloeckner Metals UK
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2016,1905017015,£975.50,Ralph Livesey Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2016,1905017037,£831.19,Ralph Livesey Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2016,1905017033,£614.38,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2016,1905016985,£548.67,Ralph Livesey Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2016,1905017031,£517.46,Ralph Livesey Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.03.2016,1905016961,£512.28,Ralph Livesey Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,02.03.2016,5100845857,£819.40,F.R.Sharrock Ltd
Manchester City Council,Hospitality + Trading Services,Security,02.03.2016,5100845719,"£1,440.00",Video Receiving Centre Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,02.03.2016,5100845858,"£44,205.81",Manchester Van Hire Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,02.03.2016,5100845758,"£5,728.80",Specialist Vehicle rental
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,02.03.2016,5100845859,"£2,569.52",Manchester Van Hire Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,02.03.2016,5100845707,£539.16,LDS Motor Bodies Ltd
Manchester City Council,Environment and Operations,Building Materials for direct delivery,02.03.2016,5100845747,"£1,800.00",Cheshire Nurseries
Manchester City Council,Environment and Operations,Building Materials for direct delivery,02.03.2016,5100845749,"£1,200.00",Cheshire Nurseries
