Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,,,,,,,,,,,,
Manchester City Council,Adult Social Care,Payments for services,03.05.2016,5100857376,"£2,160.00",Bibby Factors Manchester Ltd,,,,,,,,,,,,,,
Manchester City Council,Adult Social Care,Payments for services,03.05.2016,5100857519,"£2,160.00",Bibby Factors Manchester Ltd,,,,,,,,,,,,,,
Manchester City Council,Adult Social Care,Payments for services,03.05.2016,5100857378,"-£2,160.00",Bibby Factors Manchester Ltd,,,,,,,,,,,,,,
Manchester City Council,Adult Social Care,Equipment,03.05.2016,5100857325,£535.90,Back Care Solutions Ltd,,,,,,,,,,,,,,
Manchester City Council,Corporate Services,Furniture,03.05.2016,5100857399,£907.65,Back Care Solutions Ltd,,,,,,,,,,,,,,
Manchester City Council,Corporate Services,Training and Development,03.05.2016,5100857497,"£2,605.00",CIPFA Business Ltd,,,,,,,,,,,,,,
Manchester City Council,Adult Social Care,Professional fees,03.05.2016,5100857398,"£4,213.00",AECOM Limited,,,,,,,,,,,,,,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,03.05.2016,5100857322,"£35,000.00",The Lesbian & Gay Foundation,,,,,,,,,,,,,,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,03.05.2016,5100857381,"-£35,000.00",The Lesbian & Gay Foundation,,,,,,,,,,,,,,
Manchester City Council,Chief Executives,Consultants Fees,03.05.2016,5100857384,"£5,000.00",Deloitte & Touche Llp,,,,,,,,,,,,,,
Manchester City Council,Chief Executives,Consultants Fees,03.05.2016,5100857386,"£2,000.00",Deloitte & Touche Llp,,,,,,,,,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2016,1905096716,£772.85,Brake Bros Foodservice Ltd,,,,,,,,,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2016,1905097468,£723.61,Brake Bros Foodservice Ltd,,,,,,,,,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2016,1905096657,£691.37,Brake Bros Foodservice Ltd,,,,,,,,,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2016,1905096735,£656.01,Brake Bros Foodservice Ltd,,,,,,,,,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2016,1905096755,£639.88,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2016,1905096762,£618.99,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2016,1905097467,£546.28,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2016,1905096730,£533.95,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2016,1905096697,£532.15,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2016,1905096689,£523.41,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2016,1905096668,£506.10,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,03.05.2016,5100857525,£563.31,TARMAC
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,03.05.2016,5100857403,£677.50,Ubu Environmental Ltd
Manchester City Council,Adult Social Care,Payments for services,03.05.2016,5100857401,"£1,610.00",Turning Point Services
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,03.05.2016,5100857303,"£1,460.41",Ladybarn Community Centre
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,03.05.2016,5100857489,"£13,116.00",Young People Support Foundation Ltd
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,03.05.2016,5100857400,"£4,000.00",Wsp Buildings
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,03.05.2016,5100857405,"£3,000.00",Wsp Buildings
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,03.05.2016,5100857420,"£3,000.00",Wsp Buildings
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,03.05.2016,5100857530,"£42,819.22",Manchester Van Hire Ltd
Manchester City Council,GMIST (Greater Mcr Integrated),Third party payments to other Local Authorities,03.05.2016,5100857306,"£155,000.00",GMCA
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.05.2016,5100857413,"£11,457.39",Manchester Working Ltd
