Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,
Manchester City Council,Chief Executives,Data Links,02.05.2017,1905563085,"£18,540.32",BT PLC,,,
Manchester City Council,Chief Executives,Data Links,02.05.2017,1905562102,"£16,382.00",BT PLC,,,
Manchester City Council,Chief Executives,Data Links,02.05.2017,1905563032,"£15,837.36",BT PLC,,,
Manchester City Council,Chief Executives,Data Links,02.05.2017,1905563035,"£8,820.00",BT PLC,,,
Manchester City Council,Chief Executives,Data Links,02.05.2017,1905563034,"£6,086.00",BT PLC,,,
Manchester City Council,Chief Executives,Data Links,02.05.2017,1905563031,"£3,651.61",BT PLC,,,
Manchester City Council,Chief Executives,Mobilephone Charges,02.05.2017,1905562103,"£19,547.66",EE/T-Mobile,,,
Manchester City Council,Hospitality + Trading Services,Cash Collection,02.05.2017,1905561458,£617.31,G4S Cash Solutions (Uk) Ltd,,,
Manchester City Council,Manchester Leisure,Professional fees,02.05.2017,5100916773,"£20,000.00",Daly Drains Ltd,,,
Manchester City Council,Adult Social Care,Payments for services,02.05.2017,5100916724,"£243,812.75",Standwalk Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2017,1905572915,£717.22,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2017,1905572880,£661.13,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2017,1905572873,£628.56,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2017,1905572930,£568.28,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2017,1905572858,£538.06,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2017,1905572874,£529.49,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2017,1905572901,£511.69,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2017,1905572886,£506.31,Brake Bros Foodservice Ltd,,,
Manchester City Council,Adult Social Care,Payments for services,02.05.2017,5100916733,"£2,409.80",Redacted Personal Information,,,
Manchester City Council,Adult Social Care,Payments for services,02.05.2017,5100916726,"£9,000.00",Blackburn With Darwen Borough Counc,,,
Manchester City Council,Adult Social Care,Equipment,02.05.2017,5100916728,"£1,995.00",After Adoption,,,
Manchester City Council,Chief Executives,Printing,02.05.2017,5100916774,"£2,220.00",Astra Signs,,,
Manchester City Council,Adult Social Care,Payments for services,02.05.2017,5100916727,"£9,000.00",Salford City Council,,,
Manchester City Council,Manchester Leisure,Third party payments relating to Voluntary Organisations,02.05.2017,5100916792,"£7,818.00",Walk The Plank Ltd,,,
Manchester City Council,Adult Social Care,Grant Payments,02.05.2017,5100916720,"£2,659.00",Ofsted,,,
Manchester City Council,Adult Social Care,Grant Payments,02.05.2017,5100916721,"£1,702.00",Ofsted,,,
Manchester City Council,Manchester Leisure,Licences Purchase,02.05.2017,5100916738,"£1,592.85",Computerland Uk Ltd,,,
Manchester City Council,Manchester Leisure,Licences Purchase,02.05.2017,5100916741,"-£1,592.85",Computerland Uk Ltd,,,
Manchester City Council,Chief Executives,Grant and subscriptions awarded,02.05.2017,1905570193,£500.00,Information Commisioner's Office,,,
Manchester City Council,Chief Executives,Legal Fees,02.05.2017,1905570193,"£3,115.00",Information Commisioner's Office,,,
Manchester City Council,Regeneration Finance,Grounds Maintenance Costs,02.05.2017,5100916730,-£630.00,Countrywide Grounds Maintenance Ltd,,,
Manchester City Council,Chief Executives,Advertising,02.05.2017,5100916794,£900.00,Guardian News and Media Limited,,,
Manchester City Council,Hospitality + Trading Services,Machinery and equipment repairs,02.05.2017,1905564137,£992.10,Sitelink Communications Ltd,,,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.05.2017,1905570194,"£1,282.50",Wordwave International Ltd T/A DTI,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,02.05.2017,5100916748,"£5,256.00",Specialist Vehicle rental,,,
Manchester City Council,Adult Social Care,Subsistence and Conference Expenses,02.05.2017,5100916759,"£1,700.00",Manchester Central,,,
Manchester City Council,Adult Social Care,Hire of Premises,02.05.2017,5100916765,"£1,800.00",Manchester Central,,,
Manchester City Council,Chief Executives,Agency staff provision,02.05.2017,5100916809,"£30,588.41",SRA Cover Staff Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2017,1905573048,£686.94,Ralph Livesey Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2017,1905572959,£658.75,Ralph Livesey Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2017,1905572937,£610.05,Ralph Livesey Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2017,1905572900,£592.10,Ralph Livesey Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2017,1905573032,£536.37,Ralph Livesey Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2017,1905572977,£535.33,Ralph Livesey Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2017,1905572906,£515.91,Ralph Livesey Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2017,1905573050,£500.32,Ralph Livesey Ltd,,,
Manchester City Council,Highways Services,Compensation Payments,02.05.2017,1905571639,"£3,000.00",Slater & Gordon (UK) LLP,,,
Manchester City Council,Highways Services,Legal Fees,02.05.2017,1905571639,"£1,550.00",Slater & Gordon (UK) LLP,,,
Manchester City Council,Manchester Leisure,Hire of Equipment,02.05.2017,1905570288,"£8,524.00",Access Platform System,,,
Manchester City Council,Adult Social Care,Professional fees,02.05.2017,1905568689,"£2,600.00",Redacted Personal Information,,,
Manchester City Council,Adult Social Care,Legal Fees,02.05.2017,1905518181,"£17,000.00",Michael Lewin Solicitors,,,
Manchester City Council,Chief Executives,Professional fees,02.05.2017,1905571764,£825.00,JW Motion Limited,,,
Manchester City Council,Highways Services,Compensation Payments,02.05.2017,1905571774,"£3,300.00",Simpson Sissons And Booke LLP,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,03.05.2017,5100917073,£747.44,Carlton Fuels Ltd,,,
Manchester City Council,Adult Social Care,Training and Development,03.05.2017,5100917000,£861.90,Assessment & Qualifications Allianc,,,
Manchester City Council,Chief Executives,Agency staff provision,03.05.2017,5100916791,"£11,263.64",HCL Social Care,,,
Manchester City Council,Adult Social Care,Professional fees,03.05.2017,5100917002,"-£1,383.33",Manchester Deaf Centre Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.05.2017,5100917004,"£1,383.33",Manchester Deaf Centre Ltd,,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,03.05.2017,5100917017,"£35,793.33",Clearway Drainage Systems Ltd,,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,03.05.2017,5100917009,"£22,749.45",Clearway Drainage Systems Ltd,,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,03.05.2017,5100917020,"£17,070.37",Clearway Drainage Systems Ltd,,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,03.05.2017,5100917014,"£2,800.00",Clearway Drainage Systems Ltd,,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,03.05.2017,5100917015,"£2,800.00",Clearway Drainage Systems Ltd,,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,03.05.2017,5100917018,"£2,800.00",Clearway Drainage Systems Ltd,,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,03.05.2017,5100917008,"£2,240.00",Clearway Drainage Systems Ltd,,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,03.05.2017,5100917016,£560.00,Clearway Drainage Systems Ltd,,,
Manchester City Council,Highways Services,Building Materials for direct delivery,03.05.2017,5100916959,"£1,263.00",Marshalls Mono Ltd,,,
Manchester City Council,Chief Executives,Professional fees,03.05.2017,5100916833,"£3,800.00",Sap (Uk) Ltd,,,
Manchester City Council,Adult Social Care,Payments for services,03.05.2017,5100917072,"£5,487.00",The Youth Justice Board,,,
Manchester City Council,Adult Social Care,Payments for services,03.05.2017,5100916819,"£4,779.00",The Youth Justice Board,,,
Manchester City Council,Adult Social Care,Payments for services,03.05.2017,5100916820,"£4,425.00",The Youth Justice Board,,,
Manchester City Council,Adult Social Care,Payments for services,03.05.2017,5100916813,"£4,071.00",The Youth Justice Board,,,
Manchester City Council,Adult Social Care,Payments for services,03.05.2017,5100916817,"£2,478.00",The Youth Justice Board,,,
Manchester City Council,Manchester Leisure,Variation Orders,03.05.2017,5100914389,"£5,516.91",Ramora Ltd,,,
Manchester City Council,Manchester Leisure,Variation Orders,03.05.2017,5100915147,"£2,700.00",Ramora Ltd,,,
Manchester City Council,Chief Executives,Agency staff provision,03.05.2017,5100917068,"£1,514.98",Bs Project Services Ltd T/A,,,
Manchester City Council,Chief Executives,Agency staff provision,03.05.2017,5100916797,"£1,442.27",Bs Project Services Ltd T/A,,,
Manchester City Council,Corporate Services,I T Provision,03.05.2017,5100917003,£975.00,Capita Business Services Ltd,,,
Manchester City Council,Adult Social Care,Contract Cleaning External,03.05.2017,5100916783,"£2,976.00",Barnardo's North West,,,
Manchester City Council,Adult Social Care,Contract Cleaning External,03.05.2017,5100916832,"£2,976.00",Barnardo's North West,,,
Manchester City Council,Adult Social Care,Contract Cleaning External,03.05.2017,5100916830,"-£2,976.00",Barnardo's North West,,,
Manchester City Council,Adult Social Care,Professional fees,03.05.2017,5100916860,"£6,346.80",Barnardos Manchester Leaving Care S,,,
Manchester City Council,Adult Social Care,Professional fees,03.05.2017,5100916859,"£3,186.00",Barnardos Manchester Leaving Care S,,,
Manchester City Council,Regeneration Finance,Legal Fees,03.05.2017,1905571622,"£2,000.00",Kings Chambers,,,
Manchester City Council,Manchester Leisure,Professional fees,03.05.2017,5100917133,"£2,802.50",Daly Drains Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2017,1905573147,£994.45,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2017,1905573195,£948.81,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2017,1905573139,£747.47,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2017,1905573151,£674.53,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2017,1905573170,£637.44,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2017,1905573176,£523.22,Brake Bros Foodservice Ltd,,,
Manchester City Council,Chief Executives,Advertising,03.05.2017,5100916827,"£21,570.10",Trinity Mirror NW2 Ltd,,,
Manchester City Council,Chief Executives,Advertising,03.05.2017,5100916827,"£9,849.90",Trinity Mirror NW2 Ltd,,,
Manchester City Council,Chief Executives,Printing,03.05.2017,5100916952,"£1,794.00",Astra Signs,,,
Manchester City Council,Adult Social Care,Payments for services,03.05.2017,5100916852,"£48,852.00",Greater Manchester Mental Health,,,
Manchester City Council,Adult Social Care,Private Finance and Public Private partnership initiatives,03.05.2017,5100916863,"£389,565.20",Manchester School Services Limited,,,
Manchester City Council,Adult Social Care,Private Finance and Public Private partnership initiatives,03.05.2017,5100917024,"-£389,565.20",Manchester School Services Limited,,,
Manchester City Council,Adult Social Care,Supporting People Payments,03.05.2017,5100914667,"£2,128.60",Child Action Northwest,,,
Manchester City Council,Adult Social Care,Supporting People Payments,03.05.2017,5100914667,"£1,039.55",Child Action Northwest,,,
Manchester City Council,Adult Social Care,Legal Fees,03.05.2017,5100917074,£733.23,Bromleys Solicitors LLP,,,
Manchester City Council,Manchester Leisure,Licences Purchase,03.05.2017,5100916970,"£1,592.85",Computerland Uk Ltd,,,
Manchester City Council,Manchester Leisure,Grant Payments,03.05.2017,5100916855,"£5,275.00",Higher Blackley Comm.Assoc.,,,
Manchester City Council,Regeneration Finance,Rents,03.05.2017,1905492068,"£10,500.00",Network Rail Property,,,
