Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Regeneration Finance,Rents,01.11.2018,1906252738,"£86,347.34",Regus Management (UK) Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.11.2018,5101003168,"£75,123.50",The Big Life Company
Manchester City Council,Adult Social Care,Rents,01.11.2018,5101003216,"£67,835.62",T15 Consultancy Ltd
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,01.11.2018,5101003192,"£18,914.09",Homes England
Manchester City Council,Adult Social Care,Professional fees,01.11.2018,1906247596,"£11,000.00",SCI Assessments Ltd.
Manchester City Council,Adult Social Care,Payments for services,01.11.2018,5100981619,"£8,575.00",Delphi Medical
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.11.2018,5101003181,"£8,410.50",People First Housing Association
Manchester City Council,Manchester Leisure,Electricity,01.11.2018,1906252736,"£7,716.73",Npower
Manchester City Council,Manchester Leisure,Electricity,01.11.2018,1906252737,"£7,357.09",Npower
Manchester City Council,Manchester Leisure,Electricity,01.11.2018,1906252735,"£6,894.18",Npower
Manchester City Council,Regeneration Finance,Subsistence and Conference Expenses,01.11.2018,5101003200,"£6,439.67",The Mechanics Centre Ltd
Manchester City Council,Corporate Services,Legal Fees,01.11.2018,5101003190,"£6,262.00",Mourant Ozannes
Manchester City Council,Adult Social Care,Supporting People Payments,01.11.2018,5101003166,"£4,592.16",People First Housing Association
Manchester City Council,Adult Social Care,Supporting People Payments,01.11.2018,5101003180,"£4,592.16",People First Housing Association
Manchester City Council,Regeneration Finance,Professional fees,01.11.2018,1906246191,"£4,436.00",Savills (UK) Ltd
Manchester City Council,Corporate Services,Legal Fees,01.11.2018,5101003190,"£3,738.00",Mourant Ozannes
Manchester City Council,Regeneration Finance,Printing,01.11.2018,5101003170,"£2,769.00",VIP-System Ltd
Manchester City Council,Housing Revenue Account,Rents,01.11.2018,5101003204,"£1,549.37",M J Mapp
Manchester City Council,Manchester Leisure,Catering,01.11.2018,5101003226,"£1,396.80",Manchester Central
Manchester City Council,Adult Social Care,Professional fees,01.11.2018,1906247646,"£1,375.00",Redacted Personal Information
Manchester City Council,Chief Executives,Professional fees,01.11.2018,5101003177,"£1,000.00",The Jamaica Society Manchester
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.11.2018,1906252776,£728.51,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.11.2018,1906252817,£727.70,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.11.2018,1906252814,£695.87,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.11.2018,1906252815,£641.35,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.11.2018,1906252811,£617.36,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.11.2018,1906252807,£593.72,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.11.2018,1906252790,£581.81,Brake Bros Foodservice Ltd
