Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Special Events,01.10.2019,5101052163,"£4,505.80",Imageit
Manchester City Council,Manchester Leisure,Professional fees,01.10.2019,1906621043,"£1,137.50",Minerva Heritage Ltd
Manchester City Council,Manchester Leisure,Advertising,01.10.2019,1906612810,£927.00,Slant Media Ltd
Manchester City Council,Manchester Leisure,Special Events,01.10.2019,1906612749,£662.92,Upping it
Manchester City Council,Manchester Leisure,Legal Fees,01.10.2019,5101052161,£550.00,Redacted Personal Information
Manchester City Council,Manchester Leisure,Special Events,01.10.2019,1906621099,£535.00,Tikka Kebab Kitchen Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,01.10.2019,5101052198,"£1,700.00",Peter Douglass Platforms
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,01.10.2019,5101052211,"£1,700.00",Peter Douglass Platforms
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,01.10.2019,5101052239,"£1,700.00",Peter Douglass Platforms
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.10.2019,5101052171,"£1,600.00",Gibsons Garden Machinery Limited
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,01.10.2019,5101052200,"£1,200.00",Peter Douglass Platforms
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,01.10.2019,5101052208,"£1,200.00",Peter Douglass Platforms
Manchester City Council,Hospitality + Trading Services,External Sales - Other,01.10.2019,1906621045,£970.67,Redacted Personal Information
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.10.2019,5101052119,"£39,448.00",Central Mcr Uni Hospital t/a
Manchester City Council,Adult Social Care,Rents,01.10.2019,5101052217,"£3,376.56",Mosscare Housing Ltd
Manchester City Council,Adult Social Care,Rents,01.10.2019,5101052221,"£3,376.56",Mosscare Housing Ltd
Manchester City Council,Adult Social Care,Rents,01.10.2019,5101052224,"£3,376.56",Mosscare Housing Ltd
Manchester City Council,Adult Social Care,Rents,01.10.2019,5101052228,"£3,263.16",Mosscare Housing Ltd
Manchester City Council,Adult Social Care,Equipment,01.10.2019,5101052148,"£2,135.00",Family Futures CIC
Manchester City Council,Adult Social Care,Professional fees,01.10.2019,5101052165,"£1,704.90",Prepaid Financial Services
