Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,Manchester Leisure,Advertising,10-Oct-22,1907885870,Voodoo Agency Ltd,"3,950.00"
Manchester City Council,Childrens & Education Services,Agency staff provision,10-Oct-22,5105837400,Gatenby Sanderson,"5,310.00"
Manchester City Council,Chief Executives,Agency staff provision,21-Oct-22,5105839240,Gatenby Sanderson,"1,888.00"
Manchester City Council,Chief Executives,Agency staff provision,27-Oct-22,5105840146,NES UK Limited,"12,771.67"
Manchester City Council,Chief Executives,Agency staff provision,25-Oct-22,5105839582,Osborne Richardson,"7,251.30"
Manchester City Council,Chief Executives,Agency staff provision,28-Oct-22,5105840446,Michael Page International,"9,000.00"
Manchester City Council,Corporate Services,Agency staff provision,25-Oct-22,5105839577,Michael Page International,"1,218.00"
Manchester City Council,Manchester Leisure,Agency staff provision,07-Oct-22,5105837180,Michael Page International,"1,160.00"
Manchester City Council,Manchester Leisure,Agency staff provision,07-Oct-22,5105837192,Michael Page International,"1,160.00"
Manchester City Council,Manchester Leisure,Agency staff provision,31-Oct-22,5105838507,Michael Page International,"1,131.00"
Manchester City Council,Manchester Leisure,Agency staff provision,07-Oct-22,5105837191,Michael Page International,"1,073.00"
Manchester City Council,Corporate Services,Agency staff provision,25-Oct-22,5105839576,Michael Page International,"1,044.00"
Manchester City Council,Corporate Services,Agency staff provision,07-Oct-22,5105837173,Michael Page International,"1,029.50"
Manchester City Council,Corporate Services,Agency staff provision,07-Oct-22,5105837175,Michael Page International,"1,029.50"
Manchester City Council,Corporate Services,Agency staff provision,07-Oct-22,5105837178,Michael Page International,"1,029.50"
Manchester City Council,Corporate Services,Agency staff provision,19-Oct-22,5105838960,Michael Page International,"1,029.50"
Manchester City Council,Corporate Services,Agency staff provision,07-Oct-22,5105837148,Michael Page International,"1,015.00"
Manchester City Council,Corporate Services,Agency staff provision,07-Oct-22,5105837150,Michael Page International,"1,015.00"
Manchester City Council,Corporate Services,Agency staff provision,19-Oct-22,5105838959,Michael Page International,"1,015.00"
Manchester City Council,Corporate Services,Agency staff provision,31-Oct-22,5105840694,Michael Page International,"1,015.00"
Manchester City Council,Corporate Services,Agency staff provision,31-Oct-22,5105840675,Michael Page International,928.00
Manchester City Council,Manchester Leisure,Agency staff provision,31-Oct-22,5105840891,Michael Page International,928.00
Manchester City Council,Corporate Services,Agency staff provision,07-Oct-22,5105837172,Michael Page International,638.00
Manchester City Council,Chief Executives,Agency staff provision,25-Oct-22,5105839721,Venn Group Ltd,"5,410.24"
Manchester City Council,Chief Executives,Agency staff provision,24-Oct-22,5105838493,Sellick Partnership (Legal) Ltd,"33,771.80"
Manchester City Council,Chief Executives,Agency staff provision,10-Oct-22,5105837361,Adecco Uk Ltd,"2,000.00"
Manchester City Council,Chief Executives,Agency staff provision,20-Oct-22,5105839015,Adecco Uk Ltd,"2,000.00"
Manchester City Council,Chief Executives,Agency staff provision,31-Oct-22,5105840748,Adecco Uk Ltd,"2,000.00"
Manchester City Council,Chief Executives,Agency staff provision,20-Oct-22,5105839016,Adecco Uk Ltd,"1,600.00"
Manchester City Council,Chief Executives,Agency staff provision,31-Oct-22,5105840753,Adecco Uk Ltd,"1,600.00"
Manchester City Council,Chief Executives,Agency staff provision,27-Oct-22,5105840336,Eden Brown Synergy,"35,752.51"
Manchester City Council,Chief Executives,Agency staff provision,21-Oct-22,5105839303,Eden Brown Synergy,"32,946.32"
Manchester City Council,Chief Executives,Agency staff provision,31-Oct-22,5105840596,Search Consultancy Ltd,"5,363.86"
Manchester City Council,Chief Executives,Agency staff provision,31-Oct-22,5105840595,Search Consultancy Ltd,"3,303.92"
Manchester City Council,Chief Executives,Agency staff provision,21-Oct-22,5105839111,Deekay Technical Recruitment Ltd,"22,040.76"
Manchester City Council,Manchester Leisure,Agency staff provision,13-Oct-22,5105837971,University Of Manchester,"17,143.00"
Manchester City Council,Manchester Leisure,Agency staff provision,13-Oct-22,5105837972,University Of Manchester,"5,916.00"
Manchester City Council,Chief Executives,Agency staff provision,18-Oct-22,5105838953,Hays Personnel,"20,416.69"
Manchester City Council,Chief Executives,Agency staff provision,18-Oct-22,5105838645,Capita Resourcing Limited,"13,875.00"
Manchester City Council,Chief Executives,Agency staff provision,31-Oct-22,5105840858,Capita Resourcing Limited,"9,250.00"
Manchester City Council,Chief Executives,Agency staff provision,10-Oct-22,5105836620,Triad Resourcing,"19,320.00"
Manchester City Council,Chief Executives,Agency staff provision,17-Oct-22,5105837924,Liquid Personnel Ltd,"58,988.11"
Manchester City Council,Housing Revenue Account,Agency staff provision,13-Oct-22,5105837964,Step Enterprise Ltd,"5,613.45"
Manchester City Council,Chief Executives,Agency staff provision,07-Oct-22,5105837210,Ashberry Recruitment Ltd,"6,478.97"
Manchester City Council,Chief Executives,Agency staff provision,26-Oct-22,5105839852,Ashberry Recruitment Ltd,"4,999.96"
Manchester City Council,Chief Executives,Agency staff provision,26-Oct-22,5105839853,Ashberry Recruitment Ltd,"4,964.68"
Manchester City Council,Chief Executives,Agency staff provision,26-Oct-22,5105839851,Access Computer Consulting plc,"9,606.78"
Manchester City Council,Chief Executives,Agency staff provision,14-Oct-22,5105837618,Cadence Resourcing Ltd,"59,400.00"
Manchester City Council,Chief Executives,Agency staff provision,26-Oct-22,5105839801,Buckingham Futures Limited,"5,052.72"
Manchester City Council,Chief Executives,Agency staff provision,28-Oct-22,5105840338,NonStop Recruitment Ltd,"12,259.48"
Manchester City Council,Childrens & Education Services,Agency staff provision,12-Oct-22,5105837638,Prospero Teaching,650.00
Manchester City Council,Childrens & Education Services,Agency staff provision,31-Oct-22,5105840887,Prospero Teaching,650.00
Manchester City Council,Childrens & Education Services,Agency staff provision,25-Oct-22,5105839612,Prospero Teaching,600.00
Manchester City Council,Childrens & Education Services,Agency staff provision,25-Oct-22,5105839613,Prospero Teaching,600.00
Manchester City Council,Childrens & Education Services,Agency staff provision,12-Oct-22,5105837639,Prospero Teaching,520.00
Manchester City Council,Childrens & Education Services,Agency staff provision,12-Oct-22,5105837640,Prospero Teaching,520.00
Manchester City Council,Chief Executives,Agency staff provision,14-Oct-22,5105838091,G2V Recruitment Grp t/a Vivid Resou,"8,132.40"
