Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Chief Executives,Agency staff provision,01.04.2019,5101026040,"£5,536.66",Deekay Technical Recruitment Ltd
Manchester City Council,Chief Executives,Training and Development,01.04.2019,1906429800,"£1,195.00",THE MAKATON CHARIT
Manchester City Council,Adult Social Care,Training and Development,01.04.2019,5101026044,"£1,950.00",4CT Limited
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,01.04.2019,5101026031,"£8,012.00",Sheridan Lifts Ltd
Manchester City Council,Manchester Leisure,Rents,01.04.2019,5101026020,£675.00,Jain Samaj (Manchester)
Manchester City Council,Hospitality + Trading Services,Contract Cleaning External,01.04.2019,5101026036,"£1,120.00",Pest Bird Control Ltd
Manchester City Council,Regeneration Finance,Window Cleaning,01.04.2019,5101026010,"£1,995.00",Ultra Cleaning Service
Manchester City Council,Highways Services,Security,01.04.2019,5101026181,£505.60,Central Locksmiths
Manchester City Council,Adult Social Care,Transport Coach Hire,01.04.2019,5101026082,"£12,858.88",Camberwell Park School
Manchester City Council,Manchester Leisure,Equipment,01.04.2019,1906429812,"£4,477.50",VOUCHER EXPRESS B2B MO
Manchester City Council,Manchester Leisure,Equipment,01.04.2019,1906429813,"£4,477.50",VOUCHER EXPRESS B2B MO
Manchester City Council,Manchester Leisure,Equipment,01.04.2019,1906429814,"£2,985.00",VOUCHER EXPRESS B2B MO
Manchester City Council,Chief Executives,Equipment,01.04.2019,5101026029,"£1,010.00",Universal Live
Manchester City Council,Chief Executives,Equipment,01.04.2019,5101026029,£840.00,Universal Live
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,01.04.2019,5101026058,"£1,013.85",Osborne Richardson
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,01.04.2019,5101026097,£997.70,Osborne Richardson
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,01.04.2019,5101026047,£709.00,Osborne Richardson
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,01.04.2019,5101026100,£585.00,Osborne Richardson
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,01.04.2019,5101026051,£557.00,Osborne Richardson
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,01.04.2019,5101026103,£512.00,Osborne Richardson
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,01.04.2019,5101025969,£500.00,Arboricultural Services Treework
Manchester City Council,Chief Executives,Payments to Sub-Contractors,01.04.2019,5101026084,"£1,025.60",Interpreter Booking Services
Manchester City Council,Highways Services,Payments to Sub-Contractors,01.04.2019,5101026027,"£25,300.00",Quadrant Security Group
Manchester City Council,Highways Services,Payments to Sub-Contractors,01.04.2019,5101026005,"£6,144.33",Steer Davies & Geave Limited
Manchester City Council,Highways Services,Payments to Sub-Contractors,01.04.2019,5101026027,£706.76,Quadrant Security Group
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.04.2019,5101025977,"£1,012.50",R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Equipment,01.04.2019,5101026032,"£4,443.00",Redgate Holdings Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.04.2019,1906429730,£626.56,Brake Bros Foodservice Ltd
Manchester City Council,Chief Executives,Printing,01.04.2019,5101026201,"£3,578.00",Astra Signs
Manchester City Council,Chief Executives,Printing,01.04.2019,5101026018,£522.00,Wallace Printers Ltd
Manchester City Council,Manchester Leisure,Stationery,01.04.2019,5101025972,"£1,997.35",Yorkshire Purchasing
Manchester City Council,Adult Social Care,Stationery,01.04.2019,5101026199,"£2,322.44",Banner Group Limited
Manchester City Council,Adult Social Care,Professional fees,01.04.2019,5101026041,"£5,481.22",Waddington & Son Solicitors
Manchester City Council,Adult Social Care,Professional fees,01.04.2019,5101026045,"£4,413.61",Waddington & Son Solicitors
Manchester City Council,Adult Social Care,Professional fees,01.04.2019,5101026038,"£2,762.16",Waddington & Son Solicitors
Manchester City Council,Adult Social Care,Professional fees,01.04.2019,5101026043,"£2,172.68",Waddington & Son Solicitors
Manchester City Council,Adult Social Care,Professional fees,01.04.2019,5101026052,"£1,508.40",Teaching Personnel Ltd
Manchester City Council,Adult Social Care,Professional fees,01.04.2019,5101026048,£838.00,Teaching Personnel Ltd
Manchester City Council,Adult Social Care,Professional fees,01.04.2019,5101026066,£828.00,Teaching Personnel Ltd
Manchester City Council,Adult Social Care,Professional fees,01.04.2019,1906429829,£750.00,GREENCO PROPERTIES SAL
Manchester City Council,Adult Social Care,Professional fees,01.04.2019,5101026059,£745.20,Teaching Personnel Ltd
Manchester City Council,Regeneration Finance,Professional fees,01.04.2019,5101025983,"£17,140.73",G & J Seddon Ltd
Manchester City Council,Regeneration Finance,Professional fees,01.04.2019,5101026104,"£1,250.00",AECOM Limited
Manchester City Council,Highways Services,Professional fees,01.04.2019,5101026093,"-£1,956.00",Waterman Aspen Ltd
Manchester City Council,Regeneration Finance,Postage,01.04.2019,5101026188,£500.00,Neopost Ltd (Credifon)
Manchester City Council,Manchester Leisure,I T Provision,01.04.2019,5101025993,"£3,324.61",Insight Direct (Uk) Ltd
Manchester City Council,Corporate Services,I T Provision,01.04.2019,5101026016,"£1,664.85",Insight Direct (Uk) Ltd
Manchester City Council,Corporate Services,I T Provision,01.04.2019,5101025988,"£1,582.90",Insight Direct (Uk) Ltd
Manchester City Council,Regeneration Finance,I T Provision,01.04.2019,5101025973,"£1,356.91",Computeam Limited
Manchester City Council,Manchester Leisure,Subsistence and Conference Expenses,01.04.2019,5101026034,"£3,000.00",Business Working With Wythenshawe
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.04.2019,5101026039,"£7,500.00",Manchester Youth Zone
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.04.2019,5101026024,"£5,000.00",Manchester Youth Zone
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.04.2019,5101026025,"£5,000.00",Manchester Youth Zone
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.04.2019,5101025991,"£2,722.50",The Divine Mercy Primary School
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.04.2019,5101025989,"£1,320.00",Barlow Moor Community Association
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.04.2019,5101025985,£665.28,Friends of Clayton Park
Manchester City Council,Chief Executives,Grant and subscriptions awarded,01.04.2019,5101025970,£900.00,Sharpfutures Manchester CIC
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,01.04.2019,5101025980,"£451,138.34",Grove Village Ltd
Manchester City Council,Chief Executives,Advertising,01.04.2019,5101025964,£949.05,TES Global Ltd
