Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Professional fees,01.08.2018,5100988729,"£4,000.00",Westcountry Rivers Ltd
Manchester City Council,Manchester Leisure,Professional fees,01.08.2018,5100988730,"£3,000.00",Westcountry Rivers Ltd
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,01.08.2018,5100988719,"£6,079.00",Cheshire West and Chester
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,01.08.2018,5100988718,"£3,875.42",Bolton Mbc
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,01.08.2018,5100988717,"£2,358.49",Trafford M B C
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.08.2018,5100988727,"£3,799.27",Federation of Jewish Services
Manchester City Council,Adult Social Care,Grant Payments,01.08.2018,1906140332,"£2,925.00",Ofsted
Manchester City Council,Adult Social Care,Security,01.08.2018,5100988661,£619.70,WADSWORTH SECURITY PRODUCTS
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,01.08.2018,5100988715,"£10,930.00",Oasis Academy Oldham
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,01.08.2018,5100988721,"£5,433.75",Greenacre School
Manchester City Council,Adult Social Care,Stationery,01.08.2018,5100988664,£602.00,Banner Group Limited
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,01.08.2018,5100988720,"£2,667.50",Kingfisher Special School
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.08.2018,5100988709,"£1,165.00",The Mount Guest House
Manchester City Council,Adult Social Care,Personal needs of client,01.08.2018,1906144211,£625.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Foster Payments,01.08.2018,1906144213,"£2,898.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Housing Rents Debit,01.08.2018,1906144124,"£1,644.40",Redacted Personal Information
Manchester City Council,Adult Social Care,Rents,01.08.2018,1906138160,£775.00,Redacted Personal Information
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.08.2018,5100988745,"£14,514.29",Manchester Working Ltd
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.08.2018,5100988744,"-£14,511.29",Manchester Working Ltd
Manchester City Council,Corporate Services,Long Term Debtors,01.08.2018,5100988740,"£235,114.00",First Step (Ancoats) Ltd
Manchester City Council,Regeneration Finance,Cleaning Equipment and Materials,01.08.2018,5100988654,£869.41,Alliance Disposables Ltd
Manchester City Council,Regeneration Finance,Rents,01.08.2018,1906144115,"£81,180.00",Regus Management (UK) Ltd
Manchester City Council,Regeneration Finance,Rents,01.08.2018,1906138577,"£5,655.26",Regus Management (UK) Ltd
Manchester City Council,Regeneration Finance,Rents,01.08.2018,1906144114,"£5,651.00",Regus Management (UK) Ltd
Manchester City Council,Manchester Leisure,Hire of Equipment,02.08.2018,5100988705,"£5,500.00",Tube Uk Ltd
Manchester City Council,Manchester Leisure,Third party payments relating to Voluntary Organisations,02.08.2018,5100988827,"-£10,000.00",Business In The Community North
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,02.08.2018,5100988797,"£1,120.00",Whalley Range Forum
Manchester City Council,Manchester Leisure,Special Events,02.08.2018,5100988747,"£11,000.00",Walk The Plank Ltd
Manchester City Council,Manchester Leisure,Internal Repairs and Maintenance for buildings,02.08.2018,5100988769,£610.70,Electricity North West Limited
Manchester City Council,Manchester Leisure,Hire of Equipment,02.08.2018,5100988746,"£9,445.00",Network Audio
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,02.08.2018,5100988713,"£3,950.00",Rainbow Surprise
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,02.08.2018,5100988796,"£2,000.00",Delamere Neighbourhood Group
Manchester City Council,Manchester Leisure,Payments for services,02.08.2018,5100988708,"£3,750.00",British Taekwondo Control Board Ltd
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,02.08.2018,5100988781,"£1,900.00",Yew Tree & Rosford Alleyway
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,02.08.2018,5100988738,£750.00,Strike Soccer School
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,02.08.2018,5100988809,"£4,901.60",Specialist Vehicle rental
Manchester City Council,Hospitality + Trading Services,Royalties Payable,02.08.2018,1906136348,"£63,789.00",Manchester Communication Academy
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.08.2018,5100988752,"£2,853.53",Johnnie Johnson Housing
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.08.2018,5100988754,"£2,697.35",Johnnie Johnson Housing
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.08.2018,5100988756,"£2,680.43",Johnnie Johnson Housing
Manchester City Council,Adult Social Care,Equipment,02.08.2018,5100988766,"-£1,625.92",RNIB
Manchester City Council,Adult Social Care,Rents,02.08.2018,5100988767,"£61,114.89",B & A Properties
Manchester City Council,Adult Social Care,Payments for services,02.08.2018,5100988790,"-£13,554.86",Future Directions CIC
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.08.2018,5100988784,"£3,031.87",The Big Life Company
Manchester City Council,Adult Social Care,Electricity,02.08.2018,1906145191,"£1,333.35",British Gas Plc
Manchester City Council,Adult Social Care,Legal Fees,02.08.2018,1906138029,"£6,101.63",The Divine Mercy Primary School
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,02.08.2018,5100988778,"£3,480.00",Alt Payee Acorn Care & Education
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,02.08.2018,5100988780,"£3,132.00",Alt Payee Acorn Care & Education
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,02.08.2018,5100988779,"£1,249.44",Alt Payee Acorn Care & Education
Manchester City Council,Adult Social Care,Third party payments to Health Authority,02.08.2018,1906138723,"£2,658.00",Virgin Care Servs Ltd
Manchester City Council,Adult Social Care,Third party payments to Health Authority,02.08.2018,1906138719,£641.00,Virgin Care Servs Ltd
Manchester City Council,Adult Social Care,Third party payments to Health Authority,02.08.2018,1906138589,"£1,997.46",East Cheshire NHS Trust
Manchester City Council,Corporate Services,Professional fees,02.08.2018,5100988830,-£750.00,Edmond Shipway
Manchester City Council,Corporate Services,Training and Development,02.08.2018,5100988785,"£1,745.00",Act Now Training Ltd
Manchester City Council,Chief Executives,Legal Fees,02.08.2018,1906145694,"£5,868.00",Liberata
Manchester City Council,Chief Executives,Legal Fees,02.08.2018,1906145258,£650.00,Redacted Personal Information
Manchester City Council,Chief Executives,Payments to Sub-Contractors,02.08.2018,5100988757,"£2,196.92",Redacted Personal Information
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,02.08.2018,5100988737,"£3,220.00",BA Property Consultants
Manchester City Council,Chief Executives,Professional fees,02.08.2018,1906145595,"£5,160.00",Redstone Psychology and PBS Ltd
Manchester City Council,Chief Executives,Legal Fees,02.08.2018,1906145599,£800.00,KBW Barristers Chambers
Manchester City Council,Highways Services,Contribution to PATROL,02.08.2018,5100988856,"-£9,555.70",Patrol Bus Lanes
Manchester City Council,Highways Services,Building Materials for direct delivery,02.08.2018,1906145689,"£1,091.20",Benchmark Building Supplies Ltd
Manchester City Council,Highways Services,Building Materials for direct delivery,02.08.2018,1906145690,£830.56,Benchmark Building Supplies Ltd
Manchester City Council,Insurance Fund,Insurance,02.08.2018,1906145483,"£3,016.12",Accountant General of the Senior
Manchester City Council,Insurance Fund,Insurance,02.08.2018,1906145256,£647.00,Department For Work & Pensions
Manchester City Council,Manchester Leisure,Hire of Equipment,03.08.2018,5100988710,"£1,031.40",Tube Uk Ltd
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,03.08.2018,5100988810,"£3,000.00",Ringway Primary School
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,03.08.2018,5100988899,£763.93,Landscape Supply Company
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,03.08.2018,5100988890,-£763.93,Landscape Supply Company
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,03.08.2018,5100988811,£500.00,Northern Moor Gardening Society
Manchester City Council,Adult Social Care,Personal needs of client,03.08.2018,5100988924,"£4,198.88",Connevans Ltd
Manchester City Council,Adult Social Care,Equipment,03.08.2018,5100988924,£808.50,Connevans Ltd
Manchester City Council,Adult Social Care,Transport Coach Hire,03.08.2018,5100988903,"£1,764.00",Cresta Car Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,03.08.2018,5100988904,"£1,426.00",Cresta Car Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,03.08.2018,5100988910,"£1,283.40",Cresta Car Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,03.08.2018,5100988912,£792.00,Cresta Car Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,03.08.2018,5100988914,£780.80,Cresta Car Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,03.08.2018,5100988902,£770.00,Cresta Car Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,03.08.2018,5100988900,£748.00,Cresta Car Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,03.08.2018,5100988909,£748.00,Cresta Car Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,03.08.2018,5100988915,£712.00,Cresta Car Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,03.08.2018,5100988897,£642.20,Cresta Car Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,03.08.2018,5100988905,£620.80,Cresta Car Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,03.08.2018,5100988884,-£620.80,Cresta Car Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,03.08.2018,5100988896,-£642.20,Cresta Car Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,03.08.2018,5100988889,-£712.00,Cresta Car Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,03.08.2018,5100988885,-£748.00,Cresta Car Hire
Manchester City Council,Adult Social Care,Transport Coach Hire,03.08.2018,5100988895,-£748.00,Cresta Car Hire
