Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,,,,
Manchester City Council,Manchester Leisure,Catering,03.08.2015,5100807135,"£1,174.30",Manchester Central,,,,,,
Manchester City Council,Manchester Leisure,Catering,03.08.2015,5100807135,"£1,174.29",Manchester Central,,,,,,
Manchester City Council,Manchester Leisure,Professional fees,03.08.2015,1904736742,"£1,600.00",Sokka Circus Franchising Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,03.08.2015,5100807223,£588.00,Rigby Taylor Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,03.08.2015,1904736430,"£1,655.00",BEARDSWORTHS LTD,,,,,,
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,03.08.2015,5100807191,"£1,337.92",Marshalls Mono Ltd,,,,,,
Manchester City Council,Environment and Operations,Agency staff provision,03.08.2015,5100807148,"£1,368.48",Resolve Personnel Ltd,,,,,,
Manchester City Council,Environment and Operations,Agency staff provision,03.08.2015,5100807148,"£1,127.65",Resolve Personnel Ltd,,,,,,
Manchester City Council,Environment and Operations,Agency staff provision,03.08.2015,5100807148,£582.20,Resolve Personnel Ltd,,,,,,
Manchester City Council,Environment and Operations,Agency staff provision,03.08.2015,5100807134,£507.48,Resolve Personnel Ltd,,,,,,
Manchester City Council,Adult Social Care,Agency staff provision,03.08.2015,5100807201,£723.10,Reed Employment Plc,,,,,,
Manchester City Council,Adult Social Care,Agency staff provision,03.08.2015,5100807196,£626.33,Routes Healthcare (North) Ltd,,,,,,
Manchester City Council,Adult Social Care,Agency staff provision,03.08.2015,5100807196,£570.73,Routes Healthcare (North) Ltd,,,,,,
Manchester City Council,Adult Social Care,Agency staff provision,03.08.2015,5100807150,"£2,160.53",SRA Cover Staff Ltd,,,,,,
Manchester City Council,Adult Social Care,Agency staff provision,03.08.2015,5100807150,£978.89,SRA Cover Staff Ltd,,,,,,
Manchester City Council,Adult Social Care,Agency staff provision,03.08.2015,5100807150,£796.20,SRA Cover Staff Ltd
Manchester City Council,Adult Social Care,Agency staff provision,03.08.2015,5100807150,£704.70,SRA Cover Staff Ltd
Manchester City Council,Adult Social Care,Agency staff provision,03.08.2015,5100807150,£692.00,SRA Cover Staff Ltd
Manchester City Council,Adult Social Care,Agency staff provision,03.08.2015,5100807150,£584.25,SRA Cover Staff Ltd
Manchester City Council,Adult Social Care,Agency staff provision,03.08.2015,5100807148,£692.91,Resolve Personnel Ltd
Manchester City Council,Adult Social Care,Professional fees,03.08.2015,1904734465,£839.20,Hencewell
Manchester City Council,Adult Social Care,Professional fees,03.08.2015,1904720290,£509.00,Anglia DNA Services Ltd
Manchester City Council,Adult Social Care,Professional fees,03.08.2015,1904726563,"£1,000.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Professional fees,03.08.2015,1904725583,"£3,075.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,03.08.2015,5100807139,"£7,100.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,03.08.2015,5100807143,"£13,093.72",G & A Taylor Hotels Ltd
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,03.08.2015,5100807218,"£2,101.00",Failsworth School
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,03.08.2015,5100807217,"£2,100.00",Pennine Care In Patient Services
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,03.08.2015,5100807215,"£3,356.00",Hazel Grove High School
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,03.08.2015,5100807209,"£2,100.00",Fairhaven Priory
Manchester City Council,Adult Social Care,Third party payments to Health Authority,03.08.2015,5100807220,"£388,586.00",Central Manchester University Hosp
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.08.2015,5100807231,£801.72,HCL Social Care
Manchester City Council,Adult Social Care,Payments for services,03.08.2015,5100807204,"£110,983.50",Tameside Metropolitan Bouough
Manchester City Council,Corporate Services,Vehicle Hire Costs,03.08.2015,1904740326,"£2,403.84",City Car Club Ltd
Manchester City Council,Corporate Services,Printing,03.08.2015,5100807147,"£1,145.00",Mail Solutions
Manchester City Council,Housing General Fund,Surplus property Acquisitions,03.08.2015,1904740181,"£93,500.00",Slater Heelis Collier Littler Solic
Manchester City Council,Housing General Fund,Surplus property Fees,03.08.2015,1904740181,£960.00,Slater Heelis Collier Littler Solic
Manchester City Council,Chief Executives,Agency staff provision,03.08.2015,5100807201,"£4,077.55",Reed Employment Plc
Manchester City Council,Chief Executives,Agency staff provision,03.08.2015,5100807202,"£2,500.00",Rullion Resource Limited
Manchester City Council,Chief Executives,Agency staff provision,03.08.2015,5100807150,"£4,968.45",SRA Cover Staff Ltd
Manchester City Council,Chief Executives,Agency staff provision,03.08.2015,5100807148,"£48,745.40",Resolve Personnel Ltd
Manchester City Council,Chief Executives,Agency staff provision,03.08.2015,5100807134,£505.08,Resolve Personnel Ltd
Manchester City Council,Chief Executives,Infrastructure Fees,03.08.2015,5100807201,"£2,647.05",Reed Employment Plc
Manchester City Council,Chief Executives,Infrastructure Fees,03.08.2015,5100807201,"£2,587.50",Reed Employment Plc
Manchester City Council,Chief Executives,Infrastructure Fees,03.08.2015,5100807202,"£1,724.00",Rullion Resource Limited
