Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,,,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,03.12.2018,5101007640,"£11,610.00",Biffa Municipal Limited,,,,,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,03.12.2018,5101007639,"£9,507.48",Biffa Municipal Limited,,,,,,
Manchester City Council,Manchester Leisure,Reuse credits,03.12.2018,5101007642,"£2,275.00",Biffa Municipal Limited,,,,,,
Manchester City Council,Manchester Leisure,Reuse credits,03.12.2018,5101007644,£833.33,Biffa Municipal Limited,,,,,,
Manchester City Council,Manchester Leisure,Professional fees,03.12.2018,5101007643,"£15,166.66",Biffa Municipal Limited,,,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,03.12.2018,5101007631,"£1,500.00",Britannia Basin Community Forum,,,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,03.12.2018,5101007638,"£1,042.00",The Shaw Centre,,,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,03.12.2018,5101007633,£500.00,Friends Of Hulme Park,,,,,,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,03.12.2018,1906288232,£741.30,Little Concepts Distributions Ltd,,,,,,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,03.12.2018,1906288027,£504.46,Men's Society Limited,,,,,,
Manchester City Council,Manchester Leisure,Special Events,03.12.2018,5101007742,"£1,000.00",Alan Albert Gibbons,,,,,,
Manchester City Council,Manchester Leisure,Payments for services,03.12.2018,5101007748,"£4,500.00",Nova International Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,03.12.2018,5101007708,"£19,182.93",Carlton Fuels Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,03.12.2018,5101007718,"£13,320.00",Carlton Fuels Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.12.2018,1906288281,"£1,135.84",Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.12.2018,1906288289,£860.23,Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.12.2018,1906288247,£852.61,Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.12.2018,1906288308,£747.85,Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.12.2018,1906288305,£661.88,Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.12.2018,1906288296,£578.27,Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.12.2018,1906288262,£525.72,Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Environment and Operations,Infrastructure - Adaptations,03.12.2018,5101007735,"£74,681.32",Utilities Design & Planning Ltd,,,,,,
Manchester City Council,Environment and Operations,Infrastructure - Adaptations,03.12.2018,5101007737,"£33,278.60",Utilities Design & Planning Ltd,,,,,,
Manchester City Council,Environment and Operations,Infrastructure - Adaptations,03.12.2018,5101007734,"£22,000.00",Utilities Design & Planning Ltd,,,,,,
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,03.12.2018,5101007733,"£8,234.00",Sheridan Lifts Ltd,,,,,,
Manchester City Council,Adult Social Care,Rents,03.12.2018,1906288119,"£1,362.00",Your Move Lettings DEnton,,,,,,
Manchester City Council,Adult Social Care,Rents,03.12.2018,1906278874,£850.00,Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Transport Coach Hire,03.12.2018,5101007647,"-£1,050.00",Middleton Cars Ltd,,,,,,
Manchester City Council,Adult Social Care,Compensation Payments,03.12.2018,1906280394,"£5,130.00",Dorians Solicitors,,,,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,03.12.2018,5101007687,"£27,600.00",Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,03.12.2018,5101007684,"£1,170.00",Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,03.12.2018,5101007700,"£29,579.02",New Bridge School,,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,03.12.2018,5101007719,"£4,683.64",New Bridge School,,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.12.2018,5101007741,"£10,000.00",Relate Manchester,,,,,,
Manchester City Council,Adult Social Care,Payments for services,03.12.2018,5101007677,£645.39,Carers Trust 4All,,,,,,
Manchester City Council,Adult Social Care,Compensation Payments,03.12.2018,1906280984,£665.00,Department For Work & Pensions,,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.12.2018,5101007853,"£2,530,290.00",FQ Developments,,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.12.2018,5101007645,"£24,660.00",Faithful & Gould Ltd,,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.12.2018,5101007632,"£18,600.00",Survey Systems Ltd,,,,,,
Manchester City Council,Corporate Services,Long Term Debtors,03.12.2018,5101007861,"£1,634,759.00",Manchester New Square Partnership,,,,,,
Manchester City Council,Corporate Services,Long Term Debtors,03.12.2018,5101007862,"£436,227.00",BLG (Burlington House) Ltd,,,,,,
Manchester City Council,Corporate Services,Long Term Debtors,03.12.2018,5101007859,"£232,378.00",Mulbury Homes Ltd,,,,,,
Manchester City Council,Corporate Services,Long Term Debtors,03.12.2018,1906289975,"£57,063.69",Cert JDS Ltd,,,,,,
Manchester City Council,Corporate Services,Investment in New Share Capital,03.12.2018,1906289984,"£3,830,005.60",Apis Assay Technologies Ltd,,,,,,
Manchester City Council,Chief Executives,Catering,03.12.2018,5101007668,"£1,334.93",Manchester Central,,,,,,
Manchester City Council,Chief Executives,Professional fees,03.12.2018,5101007740,"£1,800.00",BDO LLP,,,,,,
Manchester City Council,Chief Executives,Mobilephone Charges,03.12.2018,1906278474,£539.28,EE/T-Mobile,,,,,,
Manchester City Council,Chief Executives,Advertising,03.12.2018,5101007727,"£2,900.00",Moonscape Media Ltd,,,,,,
Manchester City Council,Chief Executives,Advertising,03.12.2018,5101007723,"£2,181.18",Primesight Ltd,,,,,,
Manchester City Council,Chief Executives,Advertising,03.12.2018,1906279447,£800.00,Bold Media Ltd,,,,,,
Manchester City Council,Chief Executives,Advertising,03.12.2018,5101007704,£720.00,MediaCo Outdoor Limited,,,,,,
