Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,01.12.2016,5100891720,"£11,857.00",Mike Stoane Lighting Ltd,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,01.12.2016,5100891729,"£7,600.00",Fairway Landscapes Ltd,
Manchester City Council,Manchester Leisure,Gas,01.12.2016,1905379857,£911.02,Corona Energy Ltd,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,01.12.2016,5100891718,"-£7,167.40",Mike Stoane Lighting Ltd,
Manchester City Council,Hospitality + Trading Services,Compensation Payments,01.12.2016,1905379183,"£29,483.77",Metamorph Law Ltd,
Manchester City Council,Hospitality + Trading Services,Hire of Equipment,01.12.2016,5100891712,"£4,742.49",One Stop Hire Limited,
Manchester City Council,Hospitality + Trading Services,Water Service Charges - Metered,01.12.2016,1905379800,"£2,956.52",United Utilities Water Plc,
Manchester City Council,Hospitality + Trading Services,Gas,01.12.2016,1905379817,"£2,902.32",Corona Energy Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle contract hire and leases,01.12.2016,5100891727,"£1,300.00",S G Equipment Finance Ltd,
Manchester City Council,Hospitality + Trading Services,Professional fees,01.12.2016,1905380104,£600.00,CEDR Services Ltd,
Manchester City Council,Hospitality + Trading Services,Compensation Payments,01.12.2016,1700067028,"-£2,315.00",Bartletts Solicitors Ltd,
Manchester City Council,Hospitality + Trading Services,Compensation Payments,01.12.2016,1700067027,"-£2,500.00",Bartletts Solicitors Ltd,
Manchester City Council,Adult Social Care,Payments for services,01.12.2016,5100891697,"£30,135.75",Creative Support Ltd,
Manchester City Council,Adult Social Care,Extra Care Sheltered Housing Payments,01.12.2016,5100891700,"£15,502.48",Independent Living Alliance,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.12.2016,5100891754,"£13,093.20",The Shaw Centre,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.12.2016,5100891752,"£8,460.00",Redacted Personal Information,
Manchester City Council,Adult Social Care,Payments for services,01.12.2016,5100891764,"£8,369.18",Future Directions CIC,
Manchester City Council,Adult Social Care,Payments for services,01.12.2016,5100891759,"£4,293.60",Rossendale School Priory,
Manchester City Council,Adult Social Care,Payments for services,01.12.2016,5100891758,"£3,698.83",Rossendale School Priory,
Manchester City Council,Adult Social Care,Rents,01.12.2016,5100891710,"£2,688.64",Mosscare Housing Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.12.2016,5100891714,"£2,625.00",Wai Yin Society,
Manchester City Council,Adult Social Care,Training and Development,01.12.2016,5100891690,"£1,813.50",JEB Educational Consultancy Ltd,
Manchester City Council,Adult Social Care,Gas,01.12.2016,1905379840,"£1,252.14",Corona Energy Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.12.2016,5100891724,"£1,034.68",The Guinness Partnership Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.12.2016,5100891724,£972.67,The Guinness Partnership Ltd,
Manchester City Council,Adult Social Care,Gas,01.12.2016,1905379820,£868.19,Corona Energy Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.12.2016,5100891724,£790.60,The Guinness Partnership Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.12.2016,5100891724,£785.72,The Guinness Partnership Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.12.2016,5100891724,£695.74,The Guinness Partnership Ltd,
Manchester City Council,Adult Social Care,Gas,01.12.2016,1905379931,£682.91,Corona Energy Ltd,
Manchester City Council,Adult Social Care,Gas,01.12.2016,1905379821,£632.71,Corona Energy Ltd,
Manchester City Council,Adult Social Care,Gas,01.12.2016,1905379805,£537.79,Corona Energy Ltd,
Manchester City Council,Adult Social Care,Gas,01.12.2016,1905379804,£505.77,Corona Energy Ltd,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,01.12.2016,5100891715,"-£82,014.85",Manchester Working Ltd,
Manchester City Council,Housing Revenue Account,Gas,01.12.2016,1905379814,"£7,565.25",Corona Energy Ltd,
Manchester City Council,Housing Revenue Account,Gas,01.12.2016,1905379813,"£6,047.82",Corona Energy Ltd,
Manchester City Council,Housing Revenue Account,Gas,01.12.2016,1905379829,"£1,254.47",Corona Energy Ltd,
Manchester City Council,Housing Revenue Account,Gas,01.12.2016,1905379826,"£1,146.57",Corona Energy Ltd,
Manchester City Council,Housing Revenue Account,Gas,01.12.2016,1905379825,"£1,145.96",Corona Energy Ltd,
Manchester City Council,Housing Revenue Account,Gas,01.12.2016,1905379827,"£1,099.41",Corona Energy Ltd,
Manchester City Council,Housing Revenue Account,Gas,01.12.2016,1905379831,"£1,001.46",Corona Energy Ltd,
Manchester City Council,Housing Revenue Account,Gas,01.12.2016,1905379832,£919.47,Corona Energy Ltd,
Manchester City Council,Housing Revenue Account,Gas,01.12.2016,1905379838,£911.83,Corona Energy Ltd,
Manchester City Council,Housing Revenue Account,Gas,01.12.2016,1905379899,£897.26,Corona Energy Ltd,
Manchester City Council,Housing Revenue Account,Gas,01.12.2016,1905379824,£881.95,Corona Energy Ltd,
Manchester City Council,Housing Revenue Account,Gas,01.12.2016,1905379828,£869.45,Corona Energy Ltd,
Manchester City Council,Housing Revenue Account,Gas,01.12.2016,1905379834,£828.11,Corona Energy Ltd,
Manchester City Council,Housing Revenue Account,Gas,01.12.2016,1905379835,£801.71,Corona Energy Ltd,
Manchester City Council,Housing Revenue Account,Gas,01.12.2016,1905379839,£776.71,Corona Energy Ltd,
Manchester City Council,Housing Revenue Account,Gas,01.12.2016,1905379837,£756.93,Corona Energy Ltd,
Manchester City Council,Housing Revenue Account,Gas,01.12.2016,1700067026,"-£4,823.09",Corona Energy Ltd,
Manchester City Council,Chief Executives,Mobilephone Charges,01.12.2016,1905380368,"£42,070.10",ORANGE (A/PM/01),
Manchester City Council,Chief Executives,Mobilephone Charges,01.12.2016,1905380365,"£41,666.67",ORANGE (A/PM/01),
Manchester City Council,Chief Executives,Hire of Equipment,01.12.2016,5100891747,"£12,085.12",Xerox Finance Ltd,
Manchester City Council,Chief Executives,Compensation Payments,01.12.2016,1905376139,"£5,560.00",Thompsons Solicitors,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,01.12.2016,5100891749,"£3,550.00",Kenny Bros (Civil Eng) Ltd,
Manchester City Council,Chief Executives,Compensation Payments,01.12.2016,1905379178,"£3,300.00",Redacted Personal Information,
Manchester City Council,Chief Executives,Hire of Machinery,01.12.2016,5100891713,"£2,373.97",One Stop Hire Limited,
Manchester City Council,Chief Executives,Hire of Machinery,01.12.2016,5100891713,"£2,373.96",One Stop Hire Limited,
Manchester City Council,Chief Executives,Advertising,01.12.2016,5100891745,"£1,565.46",Trinity Mirror NW2 Ltd,
Manchester City Council,Chief Executives,Advertising,01.12.2016,5100891684,£900.00,Guardian News and Media Limited,
Manchester City Council,Chief Executives,Vehicle Hire Costs,01.12.2016,5100891734,£773.50,CD Chauffeur Hire,
Manchester City Council,Chief Executives,Advertising,01.12.2016,5100891744,£753.87,Trinity Mirror NW2 Ltd,
Manchester City Council,Chief Executives,Advertising,01.12.2016,5100891751,£700.05,Trinity Mirror NW2 Ltd,
