Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,,,,,,,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,01.02.2016,5100840076,"£91,844.33",University Hospital of South Mcr,,,,,,,,,,,
Manchester City Council,Regeneration Finance,Professional fees,01.02.2016,5100837835,"£57,061.00",Salford City Council,,,,,,,,,,,
Manchester City Council,Regeneration Finance,Professional fees,01.02.2016,5100839319,"£30,000.00",The Carbon and Energy Fund Ltd,,,,,,,,,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,01.02.2016,5100840076,"£20,429.08",University Hospital of South Mcr,,,,,,,,,,,
Manchester City Council,Hospitality + Trading Services,Security,01.02.2016,5100840100,"£1,443.04",Chubb Systems Ltd,,,,,,,,,,,
Manchester City Council,Chief Executives,Building Works,01.02.2016,5100840198,"£1,015.31",SRM Schoberer Rad Messtechnik GmbH,,,,,,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.02.2016,1904973187,£817.23,Brake Bros Foodservice Ltd,,,,,,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.02.2016,1904973163,£693.91,Brake Bros Foodservice Ltd,,,,,,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.02.2016,1904973182,£649.33,Brake Bros Foodservice Ltd,,,,,,,,,,,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,01.02.2016,1904973128,£646.40,Ecomix Concrete Ltd,,,,,,,,,,,
Manchester City Council,Manchester Leisure,Compensation Payments,01.02.2016,1904962748,£630.00,Thompsons Solicitors,,,,,,,,,,,
Manchester City Council,Manchester Leisure,Compensation Payments,01.02.2016,1904927917,£627.00,Department For Work & Pensions,,,,,,,,,,,
Manchester City Council,Adult Social Care,Furniture,01.02.2016,5100830341,£567.78,Zero Six,,,,,,,,,,,
Manchester City Council,Chief Executives,Compensation Payments,01.02.2016,1904964863,£500.00,Redacted Personal Information,,,,,,,,,,,
Manchester City Council,Chief Executives,External repairs and maintenance for buildings,01.02.2016,5100840120,"-£1,618.00",VP Bastion Ltd,,,,,,,,,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,02.02.2016,5100840204,"£1,111,414.15",ISG Construction Limited,
Manchester City Council,Housing Revenue Account,Works and associated costs for Land and Buildings,02.02.2016,5100840370,"£147,868.70",Northwards Housing Limited,
Manchester City Council,Housing General Fund,Surplus property Acquisitions,02.02.2016,1904975424,"£102,125.00",Kuits,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,02.02.2016,5100840474,"£52,495.18",Clearway Drainage Systems Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,02.02.2016,5100840467,"£43,520.60",Manchester Van Hire Ltd,
Manchester City Council,Adult Social Care,Payments for services,02.02.2016,5100840435,"£39,468.00",Greater Manchester West,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,02.02.2016,5100840193,"£38,167.76",Manchester Working Ltd,
Manchester City Council,Corporate Services,Professional fees,02.02.2016,5100833217,"£36,827.84",Trafford M.B.C.,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,02.02.2016,5100840476,"£33,215.83",Park Crescent Hotel Ltd,
Manchester City Council,Adult Social Care,Supported Accommodation,02.02.2016,5100833347,"£31,479.72",Trafford M.B.C.,
Manchester City Council,Adult Social Care,Payments for services,02.02.2016,5100840446,"£30,135.75",Creative Support Ltd,
Manchester City Council,Adult Social Care,Rents,02.02.2016,5100840105,"£29,272.29",Accommodation Links Ltd,
Manchester City Council,Adult Social Care,Supported Accommodation,02.02.2016,5100840234,"£27,365.52",Trafford M.B.C.,
Manchester City Council,Adult Social Care,Supporting People Payments,02.02.2016,5100840200,"£23,028.50",Sanctuary Housing Association,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.02.2016,5100840212,"£17,072.00",Breakthrough Uk Ltd,
Manchester City Council,Environment and Operations,Professional fees,02.02.2016,5100840149,"£16,976.88",Amey OW Limited,
Manchester City Council,GMIST (Greater Mcr Integrated),Seconded Employees,02.02.2016,5100840254,"£12,279.87",Bury M.B.C.,
