Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Professional fees,01.02.2019,5101016349,"£1,973.53",Sport Taekwondo UK Limited
Manchester City Council,Manchester Leisure,Compensation Payments,01.02.2019,1906358860,£647.00,Department For Work & Pensions
Manchester City Council,Manchester Leisure,Library Materials Acquisition,01.02.2019,1906359162,"£12,081.00",NEWSBANK INC
Manchester City Council,Manchester Leisure,Payments for services,01.02.2019,5101016348,"£20,633.12",Belle Vue Manchester
Manchester City Council,Manchester Leisure,Payments for services,01.02.2019,5101016334,"£48,620.33",Manchester Active
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,01.02.2019,5101016297,£546.60,Carlton Fuels Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.02.2019,1906359138,£546.20,Pasta King (Uk) Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.02.2019,1906359145,£837.44,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.02.2019,1906359102,£687.29,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.02.2019,1906359080,£658.65,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.02.2019,1906359070,£646.31,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.02.2019,1906359146,£636.58,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.02.2019,1906359136,£606.24,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.02.2019,1906359110,£600.04,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.02.2019,1906359109,£556.05,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.02.2019,1906359108,£547.15,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.02.2019,1906359104,£523.51,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.02.2019,1906359065,£503.52,Brake Bros Foodservice Ltd
Manchester City Council,Adult Social Care,Internal Repairs and Maintenance for buildings,01.02.2019,5101016315,"£1,223.00",NU3PS
Manchester City Council,Adult Social Care,Rents,01.02.2019,5101016284,"£7,044.77",Eeven Homes Ltd.
Manchester City Council,Adult Social Care,Security,01.02.2019,5101016360,£533.25,WADSWORTH SECURITY PRODUCTS
Manchester City Council,Adult Social Care,Professional fees,01.02.2019,5101016344,"£1,000.00",Chrysalis Family Centre
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,01.02.2019,5101016295,"£7,460.00",St James' Catholic High School
Manchester City Council,Adult Social Care,Payments for services,01.02.2019,5101016274,"£24,654.67",David Lewis Organisation
Manchester City Council,Adult Social Care,Payments for services,01.02.2019,5101016270,"£22,624.00",David Lewis Organisation
Manchester City Council,Adult Social Care,Payments for services,01.02.2019,5101016275,"£21,297.67",David Lewis Organisation
Manchester City Council,Adult Social Care,Payments for services,01.02.2019,5101016273,"£19,989.49",David Lewis Organisation
Manchester City Council,Adult Social Care,Payments for services,01.02.2019,5101016271,"£15,753.40",David Lewis Organisation
Manchester City Council,Adult Social Care,Payments for services,01.02.2019,5101016272,"£15,747.43",David Lewis Organisation
Manchester City Council,Adult Social Care,Payments for services,01.02.2019,5101016329,"£96,376.80",Pathways CIC
Manchester City Council,Adult Social Care,Foster Payments,01.02.2019,1906359164,£656.88,Redacted Personal Information
Manchester City Council,Corporate Services,Professional fees,01.02.2019,5101016320,"£1,458.00",Hesa Services Ltd
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.02.2019,5101016322,"£17,765.03",G & J Seddon Ltd
Manchester City Council,Chief Executives,CRB Fees,01.02.2019,5101016335,£805.50,United Medicare Ltd
Manchester City Council,Chief Executives,Professional fees,01.02.2019,5101016292,"£4,900.00",Studio 404 Ltd t/a
Manchester City Council,Chief Executives,Grant and subscriptions awarded,01.02.2019,5101016307,"£23,276.00",Centre for Chinese Contemporary
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,01.02.2019,5101016381,"£17,950.00",Office for Metropolitan Architectur
Manchester City Council,Chief Executives,Building Works,01.02.2019,1906359174,"£199,333.00",Citylabs 2.0 Ltd
Manchester City Council,Regeneration Finance,Non Housing Rent Receipts,01.02.2019,1906350200,"£2,975.00",Sale Moor Angling Society
Manchester City Council,Highways Services,Grounds Maintenance Costs,01.02.2019,5101016327,"£1,973.00",A T G Access Ltd
Manchester City Council,Highways Services,Building Materials for direct delivery,01.02.2019,5101016277,£891.77,Aggregate Industries T/A Kennedy As
