Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Professional fees,04.01.2021,5101115422,"£1,149.00",Osborne Richardson
Manchester City Council,Manchester Leisure,Professional fees,04.01.2021,5101115423,£572.00,Osborne Richardson
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,04.01.2021,5101115417,£500.00,Christ Church Harpurhey PCC
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,04.01.2021,5101115437,"£7,665.10",Fast Hire UK
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.01.2021,1907086875,"£34,003.38",Ralph Livesey Ltd
Manchester City Council,Childrens & Education Services,Transport Coach Hire,04.01.2021,5101115409,"£6,212.70",MCR Blackcab Ltd
Manchester City Council,Childrens & Education Services,Transport Coach Hire,04.01.2021,5101115411,"£5,246.31",MCR Blackcab Ltd
Manchester City Council,Childrens & Education Services,Transport Coach Hire,04.01.2021,5101115410,"£4,174.43",MCR Blackcab Ltd
Manchester City Council,Childrens & Education Services,Transport Coach Hire,04.01.2021,5101115412,"£1,656.33",MCR Blackcab Ltd
Manchester City Council,Childrens & Education Services,Transport Coach Hire,04.01.2021,5101115413,"£1,273.52",MCR Blackcab Ltd
Manchester City Council,Childrens & Education Services,Transport Coach Hire,04.01.2021,5101115421,"£10,498.50",Sumi Travel Ltd.
Manchester City Council,Childrens & Education Services,Transport Coach Hire,04.01.2021,5101115420,"-£10,498.50",Sumi Travel Ltd.
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,04.01.2021,5101110371,£580.00,MAV Youth Empowerment Programme
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,04.01.2021,5101110377,£580.00,MAV Youth Empowerment Programme
Manchester City Council,Childrens & Education Services,Legal Fees,04.01.2021,1907086995,£850.00,Liberata
Manchester City Council,Childrens & Education Services,Legal Fees,04.01.2021,1907086993,£950.00,Liberata
Manchester City Council,Childrens & Education Services,Legal Fees,04.01.2021,1907086992,"£5,325.00",Liberata
Manchester City Council,Childrens & Education Services,Legal Fees,04.01.2021,1907086994,"£9,830.00",Liberata
Manchester City Council,Childrens & Education Services,Legal Fees,04.01.2021,1907086991,"£17,525.00",Liberata
Manchester City Council,Adult Social Care,Rents,04.01.2021,5101115428,"£12,889.70",K L Properties
Manchester City Council,Adult Social Care,Rents,04.01.2021,5101115424,"£10,028.19",Eeven Homes Ltd.
Manchester City Council,Adult Social Care,Rents,04.01.2021,1907084317,"£1,239.18",Redacted Personal Information
Manchester City Council,Adult Social Care,Rents,04.01.2021,1907084318,£650.00,Redacted Personal Information
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",04.01.2021,5101115432,"£7,510.11",Bluenuit Limited t/a
Manchester City Council,Adult Social Care,Legal Fees,04.01.2021,1907084335,"£1,321.00",Lohawala Medical Services Limited
Manchester City Council,Housing General Fund,Building Works,04.01.2021,1907086775,"£11,431.55",Pollock Lifts Ltd
Manchester City Council,Housing General Fund,Building Works,04.01.2021,1907086777,"£2,803.00",Stannah Lift Services Ltd
Manchester City Council,Housing General Fund,Building Works,04.01.2021,1907086772,"£2,348.00",Stannah Lift Services Ltd
