Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Legal Fees,01.06.2020,1906848312,"£1,050.00",Redacted Personal Information
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,01.06.2020,5101090165,"£2,741.24",Manchester Van Hire Ltd
Manchester City Council,Hospitality + Trading Services,Compensation Payments,01.06.2020,1906873789,"£32,192.00",The Asbestos Law Society
Manchester City Council,Environment and Operations,Legal Fees,01.06.2020,1906873239,"£1,000.00",Redacted Personal Information
Manchester City Council,Childrens & Education Services,CORONA VIRUS D-19,01.06.2020,5101090070,"£1,800.00",Redacted Personal Information
Manchester City Council,Childrens & Education Services,CORONA VIRUS D-19,01.06.2020,5101090071,"£1,650.00",Redacted Personal Information
Manchester City Council,Childrens & Education Services,CORONA VIRUS D-19,01.06.2020,5101090105,"£7,695.00",Sumi Travel Ltd.
Manchester City Council,Childrens & Education Services,Grant and subscriptions awarded,01.06.2020,5101090111,"£2,557.00",Ofsted
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.06.2020,5101090112,"£11,694.65",Brentwood High School
Manchester City Council,Adult Social Care,Cleaning Equipment and Materials,01.06.2020,5101090121,£560.00,Banner Group Limited
Manchester City Council,Adult Social Care,I T Provision,01.06.2020,5101090125,"£8,600.00",Policy Partners Project Ltd
Manchester City Council,Adult Social Care,Compensation Payments,01.06.2020,1906873871,"£1,750.00",Amada Cunliffe Solicitors
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.06.2020,5101090092,"£94,616.16",LendLease Construction(EUROPE) Ltd
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.06.2020,5101090094,"£13,560.40",LendLease Construction(EUROPE) Ltd
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.06.2020,5101090092,"£3,784.65",LendLease Construction(EUROPE) Ltd
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.06.2020,5101090094,£542.42,LendLease Construction(EUROPE) Ltd
Manchester City Council,Housing General Fund,Building Works,01.06.2020,1906874262,"£2,331.00",Stannah Lift Services Ltd
