Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,
Manchester City Council,Adult Social Care,Payments for services,01.03.2019,5101020759,"£3,400.00",The Together Trust,
Manchester City Council,Adult Social Care,Personal needs of client,01.03.2019,5101020825,"£1,223.49",Prism Medical UK Carefree Division,
Manchester City Council,Adult Social Care,Personal needs of client,01.03.2019,5101020824,£992.10,Prism Medical UK Carefree Division,
Manchester City Council,Regeneration Finance,Refuse Collection,01.03.2019,5101020738,£532.06,Initial Medical Services,
Manchester City Council,Regeneration Finance,Refuse Collection,01.03.2019,5101020737,-£778.01,Initial Medical Services,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.03.2019,1906391135,£739.71,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.03.2019,1906391134,£673.77,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.03.2019,1906391129,£642.06,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.03.2019,1906391108,£608.05,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.03.2019,1906391096,£606.65,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.03.2019,1906391116,£591.48,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.03.2019,1906391187,£585.14,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.03.2019,1906391155,£583.81,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.03.2019,1906391143,£580.29,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.03.2019,1906391139,£564.62,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.03.2019,1906391109,£544.44,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.03.2019,1906391169,£515.11,Brake Bros Foodservice Ltd,
Manchester City Council,Chief Executives,Printing,01.03.2019,5101020780,£565.00,Astra Signs,
Manchester City Council,Chief Executives,Equipment,01.03.2019,5101020794,"£3,194.00",Neopost Ltd (Consumables),
Manchester City Council,Highways Services,Compensation Payments,01.03.2019,1906386963,£665.00,Department For Work & Pensions,
Manchester City Council,Highways Services,Compensation Payments,01.03.2019,1906389930,£678.00,Department For Work & Pensions,
Manchester City Council,Highways Services,Compensation Payments,01.03.2019,1906390106,£678.00,Department For Work & Pensions,
Manchester City Council,Adult Social Care,Professional fees,01.03.2019,5101020757,£649.00,Cellmark,
Manchester City Council,Adult Social Care,Professional fees,01.03.2019,5101020758,£504.00,Cellmark,
Manchester City Council,Adult Social Care,Legal Fees,01.03.2019,5101020740,£850.00,Redacted Personal Information,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,01.03.2019,5101020775,£703.80,Manchester Central,
Manchester City Council,Adult Social Care,Legal Fees,01.03.2019,5101020742,"£3,245.58",Matrix Chambers,
Manchester City Council,Chief Executives,Advertising,01.03.2019,1906391240,£700.00,Facebook (CARD ONLY),
Manchester City Council,Chief Executives,Advertising,01.03.2019,1906391227,£617.43,Facebook (CARD ONLY),
Manchester City Council,Adult Social Care,Professional fees,01.03.2019,5101020756,"£2,475.00",JBS-R Associates,
Manchester City Council,Chief Executives,Equipment,01.03.2019,5101020762,"£1,455.00",REV Gomm Ltd,
Manchester City Council,Adult Social Care,Rents,01.03.2019,5101020855,"-£3,981.01",T15 Consultancy Ltd,
Manchester City Council,Adult Social Care,Rents,01.03.2019,5101020856,"-£12,481.67",T15 Consultancy Ltd,
Manchester City Council,Housing General Fund,Surplus property Acquisitions,01.03.2019,1906391354,"£40,058.36",Shoosmiths LLP,
Manchester City Council,Housing General Fund,Surplus property Fees,01.03.2019,1906391354,£900.00,Shoosmiths LLP,
Manchester City Council,Housing General Fund,Building Works,01.03.2019,1906391355,"£75,021.90",Abensons Solicitors,
Manchester City Council,Corporate Services,Long Term Debtors,01.03.2019,5101020842,"£1,704,599.00",Manchester New Square Partnership,
Manchester City Council,Chief Executives,Training and Development,01.03.2019,1906391233,£708.00,PAYPAL (UK) P CARD ONLY,
Manchester City Council,Chief Executives,Building Works,01.03.2019,1906391356,"£221,333.00",Citylabs 2.0 Ltd,
Manchester City Council,Adult Social Care,Travel,01.03.2019,1906391302,£502.00,HOLIDAY PAYMENT VRUK,
Manchester City Council,Manchester Leisure,Professional fees,01.03.2019,1906390711,"£1,470.00",Elaine's Flower Shop,
Manchester City Council,Highways Services,Compensation Payments,01.03.2019,1906390846,"£3,700.00",PJW Legal,
Manchester City Council,Chief Executives,Special Events,01.03.2019,1906391293,"£3,731.25",VOUCHER EXPRESS B2B MO,
Manchester City Council,Highways Services,Compensation Payments,01.03.2019,1906390846,"£2,349.00",PJW Legal,
Manchester City Council,Adult Social Care,Personal needs of client,05.03.2019,5101020834,"£1,476.13",Prism Medical UK Carefree Division,
Manchester City Council,Adult Social Care,Personal needs of client,05.03.2019,5101020835,"£1,450.19",Prism Medical UK Carefree Division,
Manchester City Council,Adult Social Care,Personal needs of client,05.03.2019,5101020837,£877.80,Prism Medical UK Carefree Division,
Manchester City Council,Adult Social Care,Personal needs of client,05.03.2019,5101020838,£781.10,Prism Medical UK Carefree Division,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,05.03.2019,5101020938,"£2,200.00",Wythenshawe Community Initiative,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,05.03.2019,1906393749,£610.55,Bunzl Catering Supplies,
Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,05.03.2019,5101020765,£795.00,The Saville Group Ltd,
Manchester City Council,Regeneration Finance,Contract Cleaning External,05.03.2019,5101020849,£763.17,Mitie Cleaning & Environmental,
Manchester City Council,Regeneration Finance,Contract Cleaning External,05.03.2019,5101020848,-£763.17,Mitie Cleaning & Environmental,
Manchester City Council,Chief Executives,Agency staff provision,05.03.2019,5101020864,"£17,732.00",Sellick Partnership (Legal) Ltd,
Manchester City Council,Manchester Leisure,Special Events,05.03.2019,5101020828,"£2,554.30",Utilities Design & Planning Ltd,
