Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Regeneration Finance,Professional fees,01.05.2018,5100975327,"£66,000.00",GVA Grimley Ltd
Manchester City Council,Regeneration Finance,Professional fees,01.05.2018,5100975329,"£58,500.00",GVA Grimley Ltd
Manchester City Council,Chief Executives,Data Links,01.05.2018,1906026794,"£20,218.80",BT PLC
Manchester City Council,Adult Social Care,Professional fees,01.05.2018,5100975311,"£13,750.00",SCI Assessments Ltd.
Manchester City Council,Collection Fund,Academy NNDR Debtors - Overpayments,01.05.2018,1906029156,"£12,689.84",Firecask Ltd
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,01.05.2018,5100975345,"£12,500.00",OBI Property Limited
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,01.05.2018,5100975347,"£12,500.00",OBI Property Limited
Manchester City Council,Chief Executives,Data Links,01.05.2018,1906021447,"£10,128.00",BT PLC
Manchester City Council,Chief Executives,Data Links,01.05.2018,1906026795,"£9,963.20",BT PLC
Manchester City Council,Chief Executives,Data Links,01.05.2018,1906026796,"£9,702.00",BT PLC
Manchester City Council,Adult Social Care,Personal Needs of Residents - Other Amenities,01.05.2018,1906005090,"£7,313.50",Barnardos Manchester Leaving Care S
Manchester City Council,Adult Social Care,Training and Development,01.05.2018,1906005090,"£7,058.40",Barnardos Manchester Leaving Care S
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,01.05.2018,5100975394,"£6,859.68",IG Doors Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,01.05.2018,5100975390,"£5,511.87",IG Doors Ltd
Manchester City Council,Adult Social Care,Training and Development,01.05.2018,1906010754,"£4,820.40",Barnardos Manchester Leaving Care S
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.05.2018,5100975398,"£4,820.00",The Mount Guest House
Manchester City Council,Adult Social Care,Personal Needs of Residents - Other Amenities,01.05.2018,1906010754,"£4,543.66",Barnardos Manchester Leaving Care S
Manchester City Council,Chief Executives,Mobilephone Charges,01.05.2018,1906018972,"£4,434.03",EE/T-Mobile
Manchester City Council,Adult Social Care,Agency staff provision,01.05.2018,5100975312,"£4,300.11",Manchester Mental Health & Social C
Manchester City Council,Adult Social Care,Fixtures and Fittings,01.05.2018,1906005090,"£3,474.00",Barnardos Manchester Leaving Care S
Manchester City Council,Adult Social Care,Fixtures and Fittings,01.05.2018,1906010754,"£2,977.00",Barnardos Manchester Leaving Care S
