Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,
Manchester City Council,Corporate Services,Building Works,01.05.2020,1906846084,"£947,689.00",Apis Assay Technologies Ltd,
Manchester City Council,Chief Executives,Advertising,01.05.2020,5101086803,"£30,153.00",Reach Publishing Services Ltd,
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,01.05.2020,5101086828,"£19,227.35",Remedi,
Manchester City Council,Adult Social Care,Registered Nursing Homes Permanent Payments,01.05.2020,5101086791,"£14,649.14",Ringway Mews Nursing Home,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.05.2020,5101086783,"£12,600.00",Redacted Personal Information,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,01.05.2020,5101086817,"£7,000.00",Greater M/cr Tree Station Limited,
Manchester City Council,Regeneration Finance,Professional fees,01.05.2020,5101086744,"£6,836.00",Deloitte Mcs Ltd,
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,01.05.2020,5101086831,"£5,174.78",J Greenwood (Builders) Limited,
Manchester City Council,Childrens & Education Services,Payments for services,01.05.2020,1906841453,"£5,089.20",B4L Education Services Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,01.05.2020,5101086760,"£4,468.00",Arawak Walton Housing Association,
Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,01.05.2020,5101086773,"£3,638.00",G E Robinson & Co Ltd,
Manchester City Council,Adult Social Care,Payments for services,01.05.2020,5101086787,"£3,500.00",Cais Ltd,
Manchester City Council,Adult Social Care,Payments for services,01.05.2020,5101086788,"£3,500.00",Cais Ltd,
Manchester City Council,Chief Executives,Agency staff provision,01.05.2020,5101086798,"£3,303.36",Ashberry Recruitment Ltd,
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,01.05.2020,5101086829,"£3,250.00",Remedi,
Manchester City Council,Adult Social Care,Payments for services,01.05.2020,5101086786,"£2,982.00",Delphi Medical,
Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,01.05.2020,5101086772,"£2,953.53",G E Robinson & Co Ltd,
Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,01.05.2020,5101086771,"£2,826.00",G E Robinson & Co Ltd,
Manchester City Council,Childrens & Education Services,Home Care ,01.05.2020,5101086819,"£2,767.99",Vision Support Social Ltd,
Manchester City Council,Hospitality + Trading Services,Rents,01.05.2020,1906846551,"£2,573.25",CBRE Ltd,
Manchester City Council,Hospitality + Trading Services,Rents,01.05.2020,1906846552,"£2,573.25",CBRE Ltd,
Manchester City Council,Adult Social Care,Payments for services,01.05.2020,5101086789,"£2,500.00",Cais Ltd,
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,01.05.2020,5101086780,"£1,500.00",LABOSPORT,
Manchester City Council,Adult Social Care,Home Care ,01.05.2020,5101086790,"£1,492.26",Standwalk Ltd,
Manchester City Council,Regeneration Finance,Professional fees,01.05.2020,5101086744,"£1,429.00",Deloitte Mcs Ltd,
Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,01.05.2020,5101086775,"£1,388.00",G E Robinson & Co Ltd,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.05.2020,5101086745,"£1,198.00",Friends of Beech Road Park,
Manchester City Council,Childrens & Education Services,Home Care ,01.05.2020,5101086818,£892.90,Vision Support Social Ltd,
Manchester City Council,Childrens & Education Services,Day Care Payments,01.05.2020,5101086804,£611.00,Bizzie Kidz Nursery Ltd,
