Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",01.11.2017,5100945626,"£1,934.29",The Furnishing Service Ltd,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",01.11.2017,5100945624,"£1,778.10",The Furnishing Service Ltd,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",01.11.2017,5100945625,£840.00,The Furnishing Service Ltd,,,
Manchester City Council,Adult Social Care,General Office expenses,01.11.2017,1905799388,£600.00,txtlocal Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.11.2017,5100945598,"£7,850.00",4CT Limited,,,
Manchester City Council,Adult Social Care,Supported Accommodation,01.11.2017,1905807847,"£6,350.00",Revolve Therapy,,,
Manchester City Council,Adult Social Care,Supported Accommodation,01.11.2017,1700075476,"-£6,350.00",Revolve Therapy,,,
Manchester City Council,Adult Social Care,Personal needs of client,01.11.2017,5100945600,£559.00,Drive Devilbiss Healthcare Ltd,,,
Manchester City Council,Chief Executives,Agency staff provision,01.11.2017,5100945611,"£4,220.00",Hays Personnel,,,
Manchester City Council,Chief Executives,Printing,01.11.2017,5100945581,£810.00,Astra Signs,,,
Manchester City Council,Chief Executives,Printing,01.11.2017,5100945578,£580.00,Astra Signs,,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,02.11.2017,5100945693,£913.00,Osborne Richardson,,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,02.11.2017,5100945690,£680.75,Osborne Richardson,,,
Manchester City Council,Manchester Leisure,Training and Development,02.11.2017,5100945651,£908.25,Ocr,,,
Manchester City Council,Manchester Leisure,Grant Payments,02.11.2017,5100945822,£625.00,Oxford University Press,,,
Manchester City Council,Manchester Leisure,Grant Payments,02.11.2017,5100945839,"£1,938.00",Tree Of Life Centre Wythenshawe,,,
Manchester City Council,Manchester Leisure,Postage,02.11.2017,5100945671,£787.00,Royal Mail Group Plc,,,
Manchester City Council,Manchester Leisure,Postage,02.11.2017,5100945681,£787.00,Royal Mail,,,
Manchester City Council,Manchester Leisure,Cash Collection,02.11.2017,5100940614,"£17,314.50",National Car Parks Ltd Season Ticke,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,02.11.2017,5100945658,"£1,750.00",Friends of Clayton Park,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,02.11.2017,5100945827,£500.00,Levenshulme Inspire,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,02.11.2017,5100945694,"£3,511.52",Active Communities Network Limited,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,02.11.2017,5100945786,"£1,500.00",Dimobi Childrens Disability Trust,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,02.11.2017,5100945757,"£2,083.30",Enterprise Flex-E-Rent,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,02.11.2017,5100945759,"£1,805.10",Enterprise Flex-E-Rent,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,02.11.2017,5100945754,£989.24,Enterprise Flex-E-Rent,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,02.11.2017,5100945795,"£5,901.60",Specialist Vehicle rental,,,
Manchester City Council,Hospitality + Trading Services,"Clothes, Uniform and Laundry",02.11.2017,5100945828,"£1,232.20",E & E Workwear,,,
Manchester City Council,Hospitality + Trading Services,Advertising,02.11.2017,5100945606,"£1,000.00",Edge Entertainment Consultants Ltd,,,
Manchester City Council,Hospitality + Trading Services,Goods purchased for resale in Council outlets,02.11.2017,5100945684,"£1,023.40",Thomas Group (Marble & Granite) Ltd,,,
Manchester City Council,Chief Executives,Compensation Payments,02.11.2017,1905807814,£599.70,Redacted Personal Information,,,
Manchester City Council,Adult Social Care,Electricity,02.11.2017,5100945657,"£1,574.45",Paintpots (Sale Road),,,
Manchester City Council,Adult Social Care,Electricity,02.11.2017,5100945659,"£1,033.19",Paintpots (Sale Road),,,
Manchester City Council,Adult Social Care,Electricity,02.11.2017,5100945656,£616.21,Paintpots (Sale Road),,,
Manchester City Council,Adult Social Care,Rents,02.11.2017,5100945748,"£55,580.00",B & A Properties,,,
Manchester City Council,Adult Social Care,Rents,02.11.2017,5100945654,£597.60,Paintpots (Sale Road),,,
Manchester City Council,Adult Social Care,Rents,02.11.2017,5100945749,"£4,682.14",Eeven Homes Ltd.,,,
