Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Chief Executives,Security,01.11.2019,5101055464,"£8,552.28",Showsec International Ltd
Manchester City Council,Chief Executives,Security,01.11.2019,5101055463,"£8,212.20",Showsec International Ltd
Manchester City Council,Adult Social Care,Transport Coach Hire,01.11.2019,5101055480,£950.00,Connect Cars Ltd
Manchester City Council,Adult Social Care,Transport Coach Hire,01.11.2019,5101055472,-£950.00,Connect Cars Ltd
Manchester City Council,Manchester Leisure,Equipment,01.11.2019,5101055483,£970.00,Niche Event Hire
Manchester City Council,Chief Executives,Printing,01.11.2019,5101055459,£894.00,Wallace Printers Ltd
Manchester City Council,Manchester Leisure,Professional fees,01.11.2019,5101055453,"£2,980.11",Eville & Jones Commercial Services
Manchester City Council,Adult Social Care,Professional fees,01.11.2019,5101055475,"£1,360.00",Dr N P Alwin Ltd
Manchester City Council,Chief Executives,I T Provision,01.11.2019,5101055471,"£25,145.40",Insight Direct (Uk) Ltd
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.11.2019,5101055462,£782.11,New Longsight Housing Co-Op
Manchester City Council,Adult Social Care,Payments for services,01.11.2019,5101055476,"£25,690.40",H.G. Care Services Ltd
Manchester City Council,Adult Social Care,Payments for services,01.11.2019,5101055488,"£9,211.75",Pure Innovations Ltd
Manchester City Council,Adult Social Care,Payments for services,01.11.2019,5101055489,"£6,767.25",Cedar House School
Manchester City Council,Adult Social Care,Payments for services,01.11.2019,5101055486,"£3,545.45",Broadstones Independent Special Sch
Manchester City Council,Adult Social Care,Payments for services,01.11.2019,5101055487,"£3,545.45",Broadstones Independent Special Sch
Manchester City Council,Adult Social Care,Payments for services,01.11.2019,5101055485,"£3,090.91",Broadstones Independent Special Sch
Manchester City Council,Corporate Services,Long Term Debtors,01.11.2019,5101055525,"£2,173,036.00",Manchester New Square Partnership
Manchester City Council,Regeneration Finance,Legal Fees,01.11.2019,5101055491,£850.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Internal Repairs and Maintenance for buildings,04.11.2019,5101055542,"£6,528.10",Manchester School Services Limited
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,04.11.2019,5101055550,"£10,590.00",Sheridan Lifts Ltd
Manchester City Council,Adult Social Care,Rents,04.11.2019,1906655056,"£2,530.66",Commercial Real Estates Management
Manchester City Council,Regeneration Finance,Rents,04.11.2019,1906653895,"£14,441.27",Bruntwood Estates Alpha
Manchester City Council,Regeneration Finance,Rents,04.11.2019,1906542144,£552.00,Manchester Airport Plc
Manchester City Council,Hospitality + Trading Services,Contract Cleaning External,04.11.2019,5101055481,"£28,311.58",Biffa Municipal Limited
Manchester City Council,Hospitality + Trading Services,Window Cleaning,04.11.2019,5101055563,£518.48,CG Cleaning Ltd
Manchester City Council,Manchester Leisure,Refuse Collection,04.11.2019,5101055535,"£3,142.22",Scrutiny Cleaning Services
Manchester City Council,Manchester Leisure,Refuse Collection,04.11.2019,5101055536,"£3,142.22",Scrutiny Cleaning Services
Manchester City Council,Manchester Leisure,Refuse Collection,04.11.2019,5101055537,"£3,142.22",Scrutiny Cleaning Services
Manchester City Council,Regeneration Finance,Refuse Collection,04.11.2019,1906652765,"£3,542.27",Shred-It Ltd
Manchester City Council,Manchester Leisure,Security,04.11.2019,5101055466,"£14,644.40",Showsec International Ltd
Manchester City Council,Manchester Leisure,Security,04.11.2019,5101055460,"£4,628.40",Showsec International Ltd
Manchester City Council,Adult Social Care,Hire of Premises,04.11.2019,5101055561,£680.00,The St Thomas Centre Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,04.11.2019,5101055593,"£3,974.40",Specialist Vehicle rental
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,04.11.2019,5101055608,-£671.71,Specialist Vehicle rental
Manchester City Council,Corporate Services,Transport Taxis,04.11.2019,1906655683,"£16,987.80",Mantax Radio Taxis Ltd
Manchester City Council,Corporate Services,Transport Taxis,04.11.2019,1906655709,"£4,486.70",Manchester Cars
Manchester City Council,Adult Social Care,Transport Coach Hire,04.11.2019,5101055673,"£33,333.33",Mantax Radio Taxis Ltd
Manchester City Council,Adult Social Care,Transport Coach Hire,04.11.2019,5101055683,"£27,387.37",Mantax Radio Taxis Ltd
Manchester City Council,Adult Social Care,Transport Coach Hire,04.11.2019,5101055621,"£24,538.10",Mantax Radio Taxis Ltd
Manchester City Council,Adult Social Care,Transport Coach Hire,04.11.2019,5101055588,"£8,106.54",Redacted Personal Information
Manchester City Council,Adult Social Care,Transport Coach Hire,04.11.2019,5101055539,"£9,048.00",School Transport Solutions
Manchester City Council,Adult Social Care,Transport Coach Hire,04.11.2019,5101055527,"£4,628.00",Transportation Direct Ltd
Manchester City Council,Adult Social Care,Equipment,04.11.2019,5101055495,"£1,610.00",Tunstall Healthcare (UK) Ltd
Manchester City Council,Adult Social Care,Equipment,04.11.2019,5101055624,"£6,000.00",Invacare Limited
Manchester City Council,Adult Social Care,Equipment,04.11.2019,5101055556,"£2,700.00",Ultimate Healthcare
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,04.11.2019,5101055468,£600.00,Cornthwaite Tree Care
Manchester City Council,Manchester Leisure,Hire of Equipment,04.11.2019,5101055458,"£5,730.00",Mahood Marquees Ltd
Manchester City Council,Manchester Leisure,Hire of Equipment,04.11.2019,5101055482,"£5,392.00",Niche Event Hire
Manchester City Council,Manchester Leisure,Hire of Equipment,04.11.2019,5101055589,"£1,681.50",Niche Event Hire
Manchester City Council,Manchester Leisure,Hire of Equipment,04.11.2019,5101055607,£617.50,Niche Event Hire
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.11.2019,1906655420,"£1,151.88",Brake Bros Foodservice Ltd
Manchester City Council,Chief Executives,Publications,04.11.2019,5101055575,"£12,830.84",NLA Media Access Ltd
Manchester City Council,Manchester Leisure,Professional fees,04.11.2019,5101055554,"£3,500.00",Redacted Personal Information
Manchester City Council,Manchester Leisure,Professional fees,04.11.2019,5101055609,"£1,976.00",Niche Event Hire
Manchester City Council,Manchester Leisure,Professional fees,04.11.2019,5101055505,"£1,740.00",Redacted Personal Information
Manchester City Council,Environment and Operations,Professional fees,04.11.2019,5101055531,£595.00,Solution Talk LLP
