Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Agency staff provision,03.10.2016,5100881498,"£18,546.16",University Of Manchester
Manchester City Council,Manchester Leisure,Agency staff provision,03.10.2016,1905300158,"£4,095.00",Hays Personnel
Manchester City Council,Manchester Leisure,Agency staff provision,03.10.2016,1905300159,"£4,095.00",Hays Personnel
Manchester City Council,Manchester Leisure,Agency staff provision,03.10.2016,1905300160,"£4,095.00",Hays Personnel
Manchester City Council,Manchester Leisure,Agency staff provision,03.10.2016,1905300157,"£3,685.50",Hays Personnel
Manchester City Council,Manchester Leisure,Levies,03.10.2016,1905300120,"£1,074,149.75",GMWDA (LEVY)
Manchester City Council,Hospitality + Trading Services,Agency staff provision,03.10.2016,5100881430,£772.08,Search Consultancy Ltd
Manchester City Council,Hospitality + Trading Services,Stationery,03.10.2016,5100881620,£835.89,Banner Group Ltd
Manchester City Council,Adult Social Care,Agency staff provision,03.10.2016,5100881420,"£8,100.00",HCL Social Care
Manchester City Council,Adult Social Care,Agency staff provision,03.10.2016,5100881420,"£2,012.50",HCL Social Care
Manchester City Council,Adult Social Care,Agency staff provision,03.10.2016,5100881428,£600.09,Network Ventures Ltd T/A Topcare
Manchester City Council,Adult Social Care,Agency staff provision,03.10.2016,5100881444,£967.75,Randstad Care
Manchester City Council,Adult Social Care,Agency staff provision,03.10.2016,1905300148,£737.80,Hays Personnel
Manchester City Council,Adult Social Care,Agency staff provision,03.10.2016,1905300149,£737.80,Hays Personnel
Manchester City Council,Adult Social Care,Agency staff provision,03.10.2016,1905300146,£659.16,Hays Personnel
Manchester City Council,Adult Social Care,Agency staff provision,03.10.2016,1905300144,£596.77,Hays Personnel
Manchester City Council,Adult Social Care,Agency staff provision,03.10.2016,5100881419,£725.81,PULSE
Manchester City Council,Adult Social Care,Agency staff provision,03.10.2016,5100881464,£967.75,Liquid Personnel Ltd
Manchester City Council,Adult Social Care,Agency staff provision,03.10.2016,5100881464,£967.75,Liquid Personnel Ltd
Manchester City Council,Adult Social Care,Foster Payments,03.10.2016,1905300119,"£4,436.50",Kids in bloom Children Nursery
Manchester City Council,Adult Social Care,Home Care ,03.10.2016,5100881495,£594.00,Longsight (Aisha) Nursery
Manchester City Council,Adult Social Care,Payments for services,03.10.2016,5100881478,"£30,135.75",Creative Support Ltd
Manchester City Council,Adult Social Care,Payments for services,03.10.2016,5100881519,"£23,847.21",David Lewis Organisation
Manchester City Council,Adult Social Care,Payments for services,03.10.2016,5100881520,"£20,028.28",David Lewis Organisation
Manchester City Council,Adult Social Care,Payments for services,03.10.2016,5100881521,"£16,770.16",David Lewis Organisation
