Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,I T Provision,01.09.2017,5100935746,"£4,475.00",Idox Software Ltd
Manchester City Council,Manchester Leisure,I T Provision,01.09.2017,5100935745,"£3,250.00",Idox Software Ltd
Manchester City Council,Manchester Leisure,I T Provision,01.09.2017,5100935744,"£2,750.00",Idox Software Ltd
Manchester City Council,Manchester Leisure,I T Provision,01.09.2017,5100935743,"£1,250.00",Idox Software Ltd
Manchester City Council,Manchester Leisure,I T Provision,01.09.2017,5100935742,£950.00,Idox Software Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.09.2017,1905728569,£766.02,Brake Bros Foodservice Ltd
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.09.2017,5100935750,"£13,566.50",G & A Taylor Hotels Ltd
Manchester City Council,Adult Social Care,Hire of Premises,01.09.2017,5100935768,"£3,500.00",Manchester Central
Manchester City Council,Adult Social Care,Hire of Premises,01.09.2017,5100935776,£500.00,Manchester Central
Manchester City Council,Adult Social Care,Hire of Premises,01.09.2017,5100935777,£500.00,Manchester Central
Manchester City Council,Adult Social Care,Hire of Premises,01.09.2017,5100935778,£500.00,Manchester Central
Manchester City Council,Adult Social Care,Personal Needs of Residents - Holidays,01.09.2017,1905728712,£700.00,St Helens RLFC
Manchester City Council,Adult Social Care,Rents,01.09.2017,5100935756,"£3,969.16",Eastlands Homes Partnership Ltd
Manchester City Council,Adult Social Care,Rents,01.09.2017,5100935754,"£2,747.88",Eastlands Homes Partnership Ltd
Manchester City Council,Adult Social Care,Rents,01.09.2017,5100935755,"£2,442.56",Eastlands Homes Partnership Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.09.2017,5100935807,"£11,869.50",Water Adventure Centre
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.09.2017,5100935808,"£1,650.00",Barlow Moor Community Association
Manchester City Council,Housing General Fund,Surplus property Fees,01.09.2017,1905728711,"£2,000.00",Solis Law LTD
Manchester City Council,Chief Executives,Examination Fees,01.09.2017,5100935740,£687.20,LGC (Forensics) Limited
Manchester City Council,Chief Executives,Training and Development,01.09.2017,5100935801,"£1,712.70",QA Ltd
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,01.09.2017,5100935804,"£33,782.74",Manchester Working Ltd
Manchester City Council,Highways Services,Payments to Sub-Contractors,01.09.2017,5100935805,"£68,124.14",Dowhigh Ltd
Manchester City Council,Manchester Leisure,Cash Collection,04.09.2017,5100935913,"£17,141.15",National Car Parks Ltd Season Ticke
Manchester City Council,Manchester Leisure,Catering,04.09.2017,5100935869,"£2,937.24",Manchester City Galleries Dev Co
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,04.09.2017,5100935975,"£5,000.00",Northenden Neighbourhood Forum
Manchester City Council,Manchester Leisure,Professional fees,04.09.2017,5100935835,"£15,000.00",Juice Festivals
Manchester City Council,Manchester Leisure,Professional fees,04.09.2017,5100935832,"£5,250.00",Phar Partnerships Limited
Manchester City Council,Manchester Leisure,Special Events,04.09.2017,5100935834,"£2,108.00",Mako
Manchester City Council,Manchester Leisure,Third party payments relating to Voluntary Organisations,04.09.2017,5100935842,"£9,018.00",Reform Radio CIC
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.09.2017,1905730537,£746.35,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.09.2017,1905730538,£658.20,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,04.09.2017,1905730535,£577.24,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,04.09.2017,5100935918,"£71,296.17",Winners Contract Hire Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,04.09.2017,5100936015,"£6,174.40",Specialist Vehicle rental
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,04.09.2017,5100929964,"£2,990.00",Gullivers Truck Hire Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,04.09.2017,5100935911,"£3,076.01",Winners Contract Hire Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,04.09.2017,5100935915,"£1,664.03",Winners Contract Hire Ltd
Manchester City Council,Environment and Operations,Long Term Debtors,04.09.2017,1905730555,"£71,374.00",Biffa Municipal Limited
Manchester City Council,Adult Social Care,Building Materials for direct delivery,04.09.2017,5100935894,£724.08,Invacare Limited
Manchester City Council,Adult Social Care,Equipment,04.09.2017,5100935848,"£1,833.10",Aidapt Bathrooms Ltd
Manchester City Council,Adult Social Care,Equipment,04.09.2017,5100935870,£910.08,NRS Healthcare
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,04.09.2017,5100935932,"£69,027.42",Manchester Working Ltd
Manchester City Council,Adult Social Care,Extra Care Sheltered Housing Payments,04.09.2017,5100935948,"£15,932.54",Creative Support Ltd
