Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,General Fund,Levies - Cash Limit,13-Jul-22,1907606870,GMCA,"£3,755,400.00"
Manchester City Council,Collection Fund,Ctax Preceptr Pymnts,18-Jul-22,1907606905,GMCA,"£3,733,897.00"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,20-Jul-22,5105825026,Laing O'Rourke Construction Ltd,"£3,270,194.00"
Manchester City Council,Corporate Services,Energy Rebate,04-Jul-22,1907794330,Post Office Ltd - Postal Order Pay,"£3,254,200.00"
Manchester City Council,General Fund,BRP Top Up Payments,15-Jul-22,1907606840,DCLG,"£3,152,946.00"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,18-Jul-22,5105824778,LendLease Construction(EUROPE) Ltd,"£3,029,946.34"
Manchester City Council,General Fund,BRP Top Up Payments,29-Jul-22,1907788878,DCLG,"£2,802,619.00"
Manchester City Council,Manchester Leisure,Levies,20-Jul-22,1907824777,GMCA,"£2,496,000.00"
Manchester City Council,Childrens Services,Building Works,28-Jul-22,5105826717,Sir Robert McAlpine Limited,"£2,236,454.48"
Manchester City Council,Adult Social Care,Works and associated costs for Land and Buildings,05-Jul-22,5105823352,Morgan Sindall C & I Ltd,"£2,012,501.76"
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,06-Jul-22,5105823353,ISG Construction Limited,"£1,927,952.37"
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,15-Jul-22,5105824517,Manchester Active,"£1,830,098.48"
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,22-Jul-22,5105825869,Renaissance Miles Platting Ltd,"£1,434,526.29"
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,11-Jul-22,5105823981,Laing O'Rourke Construction Ltd,"£1,413,198.18"
Manchester City Council,Manchester Leisure,Refuse Collection,18-Jul-22,5105824015,Biffa Municipal Limited,"£1,152,854.79"
Manchester City Council,Childrens & Education Services,Payments for services,15-Jul-22,5105824850,The Manchester College,"£909,586.42"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,15-Jul-22,5105823784,Morgan Sindall C & I Ltd,"£882,275.69"
Manchester City Council,Housing Revenue Account,Works and associated costs for Land and Buildings,29-Jul-22,5105826965,Rowlinson Constructions Ltd,"£832,653.20"
