,,,,,,"£71,241,827.70"
,,,,,,
Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,Housing General Fund,Building Works,03-Jan-23,1907973310,A & K Building Services Ltd,"£37,180.80"
Manchester City Council,Manchester Leisure,Hire of Equipment,03-Jan-23,5105850954,Arena Group,£785.00
Manchester City Council,Chief Executives,Advertising,03-Jan-23,5105850879,Asian Sound Radio Ltd,"£4,000.00"
Manchester City Council,Childrens & Education Services,Hire of Premises,03-Jan-23,1907973304,Benchill Community Centre,£860.50
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,03-Jan-23,5105850953,Biffa Municipal Limited,"£6,718.50"
Manchester City Council,Childrens & Education Services,Professional fees,03-Jan-23,5105850912,Bright Futures Educational Trust,"£8,800.00"
Manchester City Council,Chief Executives,Training and Development,03-Jan-23,5105850867,Centre for Assessment,"£1,295.00"
Manchester City Council,Adult Social Care,Training and Development,03-Jan-23,5105850863,Centre for Assessment,£595.00
Manchester City Council,Adult Social Care,Training and Development,03-Jan-23,5105850866,Centre for Assessment,£595.00
Manchester City Council,Adult Social Care,Training and Development,03-Jan-23,5105850869,Centre for Assessment,£595.00
Manchester City Council,Adult Social Care,Training and Development,03-Jan-23,5105850891,Centre for Assessment,£595.00
Manchester City Council,Adult Social Care,Training and Development,03-Jan-23,5105850892,Centre for Assessment,£595.00
Manchester City Council,Adult Social Care,Training and Development,03-Jan-23,5105850895,Centre for Assessment,£595.00
Manchester City Council,Adult Social Care,Training and Development,03-Jan-23,5105850900,Centre for Assessment,£595.00
Manchester City Council,Adult Social Care,Training and Development,03-Jan-23,5105850905,Centre for Assessment,£595.00
Manchester City Council,Adult Social Care,Training and Development,03-Jan-23,5105850907,Centre for Assessment,£595.00
Manchester City Council,Adult Social Care,Training and Development,03-Jan-23,5105850908,Centre for Assessment,£595.00
Manchester City Council,Corporate Services,HH Support Fund,03-Jan-23,1907973313,Citizens Advice Manchester,"£200,000.00"
Manchester City Council,Childrens Services,Building Works,03-Jan-23,5105850944,Co-op Academy Belle Vue,"£20,629.12"
Manchester City Council,Adult Social Care,Rents,03-Jan-23,1907973311,Redacted Personal Information,"£1,600.00"
