,,,,,,"£89,122,069.61"
,,,,,,
Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,Hospitality + Trading Services,Grant Payments,01-Mar-23,5105859335,Advanced Computer Software Ltd,"£8,438.46"
Manchester City Council,Highways Services,Professional fees,01-Mar-23,5105859334,AECOM Limited,"£16,880.77"
Manchester City Council,Hospitality + Trading Services,Goods purchased for resale in Council outlets,01-Mar-23,5105859355,Albert Jones Memorials,"£2,493.72"
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",01-Mar-23,5105859446,All 4 Pets Limited,-£854.00
Manchester City Council,Corporate Services,Equipment,01-Mar-23,5105859386,Avr Transcription Ltd,£807.93
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01-Mar-23,5105859329,Baguley Hall Primary School,"£1,316.66"
Manchester City Council,Childrens & Education Services,Water - Metered,01-Mar-23,5105859361,Brighter Beginnings (Newton Heath),"£1,055.15"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01-Mar-23,5105859324,Brooklands Primary School,"£1,953.00"
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,01-Mar-23,5105859347,Bury M.B.C.,"£19,003.00"
Manchester City Council,Housing Revenue Account,Professional fees,01-Mar-23,5105859350,Capita Property & Infras'ture Ltd,"£25,020.00"
Manchester City Council,Childrens & Education Services,Professional fees,01-Mar-23,5105859427,Career Connect,"£4,999.00"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01-Mar-23,5105859321,Cheadle Primary School,£953.75
Manchester City Council,Manchester Leisure,Refuse Collection,01-Mar-23,5105859426,CPD Property Services,£595.00
Manchester City Council,Childrens & Education Services,Transport Taxis,01-Mar-23,5105859385,Cresta Car Hire,£557.30
Manchester City Council,General Fund,Rtnd Bus Supp Grant,01-Mar-23,1908034504,DCLG,"£12,494,816.00"
Manchester City Council,Corporate Services,Compensation Payments,01-Mar-23,1908034477,DRISCOLL KINGSTON & CO LTD,£950.00
Manchester City Council,Corporate Services,Legal Fees,01-Mar-23,1908034477,DRISCOLL KINGSTON & CO LTD,"£4,500.00"
Manchester City Council,Adult Social Care,Rents,01-Mar-23,5105859293,Eeven Homes Ltd.,"£2,121.42"
Manchester City Council,Adult Social Care,Rents,01-Mar-23,5105859296,Eeven Homes Ltd.,"£2,902.91"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01-Mar-23,5105859322,Egerton High School,"£17,430.00"
Manchester City Council,Manchester Leisure,Legal Fees,01-Mar-23,1908034475,EMERALD LAW,"£14,237.00"
Manchester City Council,Childrens & Education Services,Professional fees,01-Mar-23,5105859416,Forensic Testing Service Ltd,"£3,108.00"
Manchester City Council,Adult Social Care,Furniture,01-Mar-23,5105859351,Furniture Resource Centre Ltd,£526.75
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01-Mar-23,5105859411,Great Places Housing Association,"£2,290.00"
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01-Mar-23,5105859414,Great Places Housing Association,"£20,096.98"
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,01-Mar-23,5105859294,Greater M/cr Tree Station Limited,£885.13
Manchester City Council,Adult Social Care,Rents,01-Mar-23,5105859412,Housing Social Ltd,"£40,953.68"
Manchester City Council,Adult Social Care,Rents,01-Mar-23,1908034502,HUNTERS PROPERTY GROUP,"£8,584.61"
Manchester City Council,Corporate Services,I T Provision,01-Mar-23,5105859424,Insight Direct (Uk) Ltd,£699.80
Manchester City Council,Chief Executives,Agency staff provision,01-Mar-23,5105859320,Isherwood Legal Limited,"£1,000.00"
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,01-Mar-23,5105859360,Jacobs UK Ltd,"£1,696.00"
Manchester City Council,Adult Social Care,Rents,01-Mar-23,5105859332,K L Properties,"£15,561.00"
Manchester City Council,Childrens & Education Services,Hire of Premises,01-Mar-23,5105859352,Kimpton Clocktower Hotel,"£3,000.00"
Manchester City Council,Regeneration Finance,Professional fees,01-Mar-23,5105859343,Manchester Professional,"£21,000.00"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01-Mar-23,5105859429,New Bridge School,"£67,678.70"
Manchester City Council,Highways Services,Payments to Sub-Contractors,01-Mar-23,5105859311,Northern Marking Limited,"£3,019.95"
Manchester City Council,Manchester Leisure,Legal Fees,01-Mar-23,1908034476,Peasegoods,"£6,381.66"
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,01-Mar-23,5105859401,PPG Architectural Coatings UK Ltd,£941.17
Manchester City Council,Adult Social Care,Supporting People Payments,01-Mar-23,5105859377,Praxis Care Group,"£6,013.67"
Manchester City Council,Manchester Leisure,Compensation Payments,01-Mar-23,1908034473,PROWSE PHILLIPS LAW,"£6,250.00"
Manchester City Council,Childrens & Education Services,Payments for services,01-Mar-23,5105859374,Pure Innovations Ltd,"£18,000.00"
Manchester City Council,Chief Executives,Legal Fees,01-Mar-23,5105859341,Redacted Personal Information,"£1,793.00"
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,01-Mar-23,5105859397,Redacted Personal Information,"£3,233.00"
Manchester City Council,Adult Social Care,Housing Rents Debit,01-Mar-23,1908032142,Redacted Personal Information,"£1,311.00"
Manchester City Council,Childrens & Education Services,Transport Coach Hire,01-Mar-23,5105859375,Redacted Personal Information,"£10,114.50"
Manchester City Council,Chief Executives,Examination Fees,01-Mar-23,5105859367,ROAR Forensics Ltd,£940.50
