,,,,,,"£107,056,954.67"
,,,,,,
Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,Chief Executives,Counsel Costs,01-Nov-22,1907916220,18 St John Street Chambers,£770.00
Manchester City Council,Hospitality + Trading Services,Professional fees,01-Nov-22,1907916132,Absolute DJ’s Ltd,"£24,750.00"
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01-Nov-22,5105840926,Albert Kennedy Trust,£758.33
Manchester City Council,Corporate Services,Legal Fees,01-Nov-22,1907916327,Bond Turner Solicitors,"£3,000.00"
Manchester City Council,Adult Social Care,Extra Care Sheltd HP,01-Nov-22,5105840980,CRG Homecare Limited,"£3,295.77"
Manchester City Council,Manchester Leisure,Professional fees,01-Nov-22,5105841031,Daly Drains Ltd,"£3,556.58"
Manchester City Council,Hospitality + Trading Services,Compensation Payments,01-Nov-22,1907916064,Department For Work & Pensions,"£8,665.80"
Manchester City Council,Hospitality + Trading Services,Compensation Payments,01-Nov-22,1907916229,Department For Work & Pensions,"£45,839.45"
Manchester City Council,Adult Social Care,Rents,01-Nov-22,5105840909,Eeven Homes Ltd.,"£14,322.86"
Manchester City Council,Corporate Services,WPS Awards,01-Nov-22,5105840972,Furniture Resource Centre Ltd,£542.66
Manchester City Council,Corporate Services,WPS Awards,01-Nov-22,5105840964,Furniture Resource Centre Ltd,£880.71
Manchester City Council,Corporate Services,WPS Awards,01-Nov-22,5105840969,Furniture Resource Centre Ltd,£880.71
Manchester City Council,Hospitality + Trading Services,Equipment,01-Nov-22,1907916239,Green Goblet Ltd,"£5,810.00"
Manchester City Council,Chief Executives,Counsel Costs,01-Nov-22,1907916227,Kenworthy's Chambers,£550.00
Manchester City Council,Hospitality + Trading Services,Hire of Equipment,01-Nov-22,1907916134,MCD Manchester Ltd,"£2,259.95"
Manchester City Council,Hospitality + Trading Services,Equipment,01-Nov-22,1907915445,Monster Mesh,£780.00
Manchester City Council,Hospitality + Trading Services,Professional fees,01-Nov-22,1907916133,Murray Rix (Northern) Ltd,£595.00
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01-Nov-22,5105840989,Nacro,"-£117,306.02"
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01-Nov-22,5105841001,Nacro,"-£117,306.02"
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01-Nov-22,5105840990,Nacro,"-£65,696.80"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,01-Nov-22,5105840908,NHS Supply Chain,£516.60
Manchester City Council,Manchester Leisure,Subsistence and Conference Expenses,01-Nov-22,5105841005,Ocean Media Group Ltd,£565.00
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,01-Nov-22,5105841083,Office for Metropolitan Architectur,"£4,621.00"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,01-Nov-22,5105841086,Office for Metropolitan Architectur,"£4,621.00"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,01-Nov-22,5105841087,Office for Metropolitan Architectur,"£4,621.00"
Manchester City Council,Chief Executives,Agency staff provision,01-Nov-22,5105840974,Pertemps Professional Recruitment L,"£22,516.19"
Manchester City Council,Adult Social Care,Personal needs of client,01-Nov-22,5105840913,Prism Medical UK Carefree Division,£879.38
Manchester City Council,Highways Services,Grounds Maintenance,01-Nov-22,5105840994,Ramora Ltd,"£2,590.00"
Manchester City Council,Chief Executives,Payments to Sub-Contractors,01-Nov-22,5105840955,Redacted Personal Information,£654.50
Manchester City Council,Chief Executives,Payments to Sub-Contractors,01-Nov-22,5105840918,Redacted Personal Information,£677.00
Manchester City Council,Chief Executives,Payments to Sub-Contractors,01-Nov-22,5105840958,Redacted Personal Information,£680.75
Manchester City Council,Manchester Leisure,Equipment,01-Nov-22,5105840960,Redacted Personal Information,£600.00
Manchester City Council,Manchester Leisure,Equipment,01-Nov-22,5105840962,Redacted Personal Information,£600.00
Manchester City Council,Chief Executives,Counsel Costs,01-Nov-22,1907916228,Redacted Personal Information,£970.83
Manchester City Council,Chief Executives,Legal Fees,01-Nov-22,1907916235,Redacted Personal Information,£750.00
Manchester City Council,Manchester Leisure,Professional fees,01-Nov-22,1907915994,Redacted Personal Information,£640.79
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,01-Nov-22,5105840953,Revive CIO,"£30,000.00"
Manchester City Council,Manchester Leisure,Subsistence and Conference Expenses,01-Nov-22,5105840977,Salford City Council,£500.00
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,01-Nov-22,5105840927,Standard Fuels Oils,"£23,019.46"
Manchester City Council,Manchester Leisure,Publications,01-Nov-22,5105840914,T/A Spectrum Plast,"£1,983.00"
Manchester City Council,Adult Social Care,Personal needs of client,01-Nov-22,5105840916,Tynetec,"-£16,243.90"
Manchester City Council,Adult Social Care,Personal needs of client,01-Nov-22,5105840956,Tynetec,"-£8,846.30"
Manchester City Council,Adult Social Care,Personal needs of client,01-Nov-22,5105840957,Tynetec,"£8,846.30"
Manchester City Council,Adult Social Care,Personal needs of client,01-Nov-22,5105840917,Tynetec,"£13,926.90"
Manchester City Council,Adult Social Care,Professional fees,01-Nov-22,5105840965,UNIQUE SPECIALIST SERVICES,"£3,213.00"
Manchester City Council,Adult Social Care,Professional fees,01-Nov-22,5105840966,UNIQUE SPECIALIST SERVICES,"£3,213.00"
Manchester City Council,Adult Social Care,Professional fees,01-Nov-22,5105840968,UNIQUE SPECIALIST SERVICES,"£3,213.00"
Manchester City Council,Adult Social Care,Professional fees,01-Nov-22,5105840970,UNIQUE SPECIALIST SERVICES,"£3,213.00"
Manchester City Council,Adult Social Care,Professional fees,01-Nov-22,5105840975,UNIQUE SPECIALIST SERVICES,"£3,213.00"
Manchester City Council,Chief Executives,Legal Fees,01-Nov-22,1907916251,Weightmans LLP Solicitors,"£10,849.50"
Manchester City Council,Chief Executives,Counsel Costs,02-Nov-22,1907916271,18 St John Street Chambers,£500.00
Manchester City Council,Chief Executives,Counsel Costs,02-Nov-22,1907916272,18 St John Street Chambers,£500.00
Manchester City Council,Chief Executives,Counsel Costs,02-Nov-22,1907916289,18 St John Street Chambers,£650.00
Manchester City Council,Manchester Leisure,Professional fees,02-Nov-22,1907914962,360 Youth,"£9,950.00"
Manchester City Council,Adult Social Care,Rents,02-Nov-22,5105841138,AJD Property Limited,"£2,417.73"
Manchester City Council,Adult Social Care,Rents,02-Nov-22,5105841137,AJD Property Limited,"£3,333.03"
Manchester City Council,Highways Services,Purchase of stores for re-distribution,02-Nov-22,5105841127,Arco Group Ltd,£752.76
Manchester City Council,Manchester Leisure,Library Materials Acquisition,02-Nov-22,1907919112,Azhar Enterprises Ltd,"£3,005.00"
Manchester City Council,Adult Social Care,Rents,02-Nov-22,5105841110,B & A Properties,"£40,707.14"
Manchester City Council,Manchester Leisure,Professional fees,02-Nov-22,5105840928,Barlows (UK) Ltd,£658.72
Manchester City Council,Corporate Services,Grant and subscriptions awarded,02-Nov-22,5105841151,BCIS,"£3,858.00"
Manchester City Council,Manchester Leisure,Refuse Collection,02-Nov-22,5105841007,Biffa Municipal Limited,"£51,528.66"
Manchester City Council,Adult Social Care,Payments for services,02-Nov-22,5105841139,Brook,"£13,405.00"
Manchester City Council,Childrens & Education Services,Supported Accommodation,02-Nov-22,5105841050,Care & Support Initiatives@ Rectory,"£3,600.00"
Manchester City Council,Chief Executives,Counsel Costs,02-Nov-22,1907916285,Central Chambers,£500.00
Manchester City Council,Chief Executives,Counsel Costs,02-Nov-22,1907916311,Central Chambers,£550.00
Manchester City Council,Chief Executives,Counsel Costs,02-Nov-22,1907916284,Central Chambers,£600.00
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,02-Nov-22,5105841180,Combined Book Services Ltd,£682.96
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,02-Nov-22,5105840963,Community on Solid Ground,"£30,000.00"
