Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,Hospitality + Trading Services,Goods purchased for resale in Council outlets,01-Sep-22,5105832237,Albert Jones Memorials,"2,567.00"
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",01-Sep-22,5105832300,All 4 Pets Limited,"1,017.50"
Manchester City Council,Adult Social Care,Professional fees,01-Sep-22,5105832276,ANS Group Plc,"2,750.00"
Manchester City Council,Childrens & Education Services,Training and Development,01-Sep-22,5105832236,Associated Optical Products,"-2,923.75"
Manchester City Council,Adult Social Care,Furniture,01-Sep-22,5105832271,Back Care Solutions Ltd,920.00
Manchester City Council,Childrens & Education Services,Personal needs of client,01-Sep-22,5105832254,Care Solutions Recruitment,"19,505.68"
Manchester City Council,Adult Social Care,Cleaning Equipment and Materials,01-Sep-22,5105832256,Concept Care,880.00
Manchester City Council,Regeneration Finance,Gas,01-Sep-22,1907861014,Corona Energy Ltd,"33,532.86"
Manchester City Council,Housing Revenue Account,Gas,01-Sep-22,1907861015,Corona Energy Ltd,"13,849.84"
Manchester City Council,Housing Revenue Account,Gas,01-Sep-22,1907860880,Corona Energy Ltd,"13,573.30"
Manchester City Council,Childrens & Education Services,Gas,01-Sep-22,1907861033,Corona Energy Ltd,"11,935.73"
Manchester City Council,Manchester Leisure,Gas,01-Sep-22,1907861017,Corona Energy Ltd,"10,400.03"
Manchester City Council,Manchester Leisure,Gas,01-Sep-22,1907860844,Corona Energy Ltd,"6,390.61"
Manchester City Council,Manchester Leisure,Gas,01-Sep-22,1907860971,Corona Energy Ltd,"5,920.98"
Manchester City Council,Manchester Leisure,Gas,01-Sep-22,1907860947,Corona Energy Ltd,"5,836.30"
Manchester City Council,Regeneration Finance,Gas,01-Sep-22,1907860905,Corona Energy Ltd,"5,546.11"
Manchester City Council,Manchester Leisure,Gas,01-Sep-22,1907860886,Corona Energy Ltd,"4,785.51"
Manchester City Council,Manchester Leisure,Gas,01-Sep-22,1907860935,Corona Energy Ltd,"4,425.59"
Manchester City Council,Manchester Leisure,Gas,01-Sep-22,1907860960,Corona Energy Ltd,"3,757.09"
Manchester City Council,Regeneration Finance,Gas,01-Sep-22,1907860833,Corona Energy Ltd,"2,778.62"
Manchester City Council,Adult Social Care,Gas,01-Sep-22,1907860892,Corona Energy Ltd,"2,377.85"
Manchester City Council,Manchester Leisure,Gas,01-Sep-22,1907860936,Corona Energy Ltd,"2,335.39"
Manchester City Council,Manchester Leisure,Gas,01-Sep-22,1907860923,Corona Energy Ltd,"2,260.87"
Manchester City Council,Manchester Leisure,Gas,01-Sep-22,1907860921,Corona Energy Ltd,"2,160.34"
Manchester City Council,Manchester Leisure,Gas,01-Sep-22,1907860862,Corona Energy Ltd,"2,017.41"
Manchester City Council,Manchester Leisure,Gas,01-Sep-22,1907860857,Corona Energy Ltd,"2,000.93"
Manchester City Council,Manchester Leisure,Gas,01-Sep-22,1907860951,Corona Energy Ltd,"1,994.76"
Manchester City Council,Regeneration Finance,Gas,01-Sep-22,1907860932,Corona Energy Ltd,"1,869.70"
Manchester City Council,Manchester Leisure,Gas,01-Sep-22,1907860937,Corona Energy Ltd,"1,860.14"
Manchester City Council,Manchester Leisure,Gas,01-Sep-22,1907860989,Corona Energy Ltd,"1,846.77"
Manchester City Council,Manchester Leisure,Gas,01-Sep-22,1907860994,Corona Energy Ltd,"1,674.59"
Manchester City Council,Manchester Leisure,Gas,01-Sep-22,1907860842,Corona Energy Ltd,"1,651.37"
Manchester City Council,Hospitality + Trading Services,Gas,01-Sep-22,1907860847,Corona Energy Ltd,"1,564.09"
