Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Childrens Services,Agency staff provision,02.04.2012,5100541339,"1,450.00",Randstad Education
Manchester City Council,Childrens Services,Agency staff provision,02.04.2012,5100541351,"1,450.00",Randstad Education
Manchester City Council,Childrens Services,Agency staff provision,02.04.2012,5100541353,"1,300.00",Randstad Education
Manchester City Council,Childrens Services,Agency staff provision,02.04.2012,5100541352,"1,200.00",Randstad Education
Manchester City Council,Childrens Services,Agency staff provision,02.04.2012,5100541340,"1,118.60",Randstad Education
Manchester City Council,Childrens Services,Agency staff provision,02.04.2012,5100541337,675,Randstad Education
Manchester City Council,Childrens Services,Agency staff provision,02.04.2012,5100541338,675,Randstad Education
Manchester City Council,Childrens Services,Agency staff provision,02.04.2012,5100541341,675,Randstad Education
Manchester City Council,Childrens Services,Agency staff provision,02.04.2012,5100541342,675,Randstad Education
Manchester City Council,Childrens Services,Agency staff provision,02.04.2012,5100541354,675,Randstad Education
Manchester City Council,Chief Executives,Agency staff provision,02.04.2012,5100541426,"3,947.97",Bs Project Services Ltd T/A
Manchester City Council,Chief Executives,Agency staff provision,02.04.2012,5100541419,"1,851.01",Eden Brown Ltd
Manchester City Council,Hospitality + Trading Services,Contract Cleaning External,02.04.2012,5100541388,"23,569.09",Ocean Contract Cleaning Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,02.04.2012,5100541356,"1,670.03",Edmundson Electrical Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,02.04.2012,5100541358,"11,343.23",Permadoor
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,02.04.2012,5100541367,"5,544.66",Permadoor
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,02.04.2012,5100541366,"4,529.70",Permadoor
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,02.04.2012,5100541370,"2,538.86",Permadoor
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,02.04.2012,5100541363,"1,996.74",Permadoor
Manchester City Council,Adult Social Care,Furniture,02.04.2012,5100541403,656.64,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,02.04.2012,5100541397,602.09,The Furnishing Service Ltd
Manchester City Council,Chief Executives,Grant and subscriptions awarded,02.04.2012,1903085617,500,Jewish Woman's Aid
Manchester City Council,Libraries and Theatres,Hire of Premises,02.04.2012,5100541424,"2,742.50",Manchester Metropolitan University
Manchester City Council,Childrens Services,Personal needs of client,02.04.2012,5100541420,895,Stagecoach Manchester
Manchester City Council,Childrens Services,Public Transport,02.04.2012,5100541446,812.5,Quayside Care Ltd
Manchester City Council,Childrens Services,Public Transport,02.04.2012,5100541443,520,Quayside Care Ltd
Manchester City Council,Chief Executives,Telecoms Equip,02.04.2012,5100541371,"2,360.00",T-Mobile
Manchester City Council,Chief Executives,Telecoms Equip,02.04.2012,5100541368,"1,770.00",T-Mobile
Manchester City Council,Chief Executives,Telecoms Equip,02.04.2012,5100541369,590,T-Mobile
Manchester City Council,Childrens Services,Transport Taxis,02.04.2012,5100541447,"5,526.95",Cresta Car Hire
Manchester City Council,Hospitality + Trading Services,Vehicle Costs,02.04.2012,5100541375,"1,009.10",Approved Hydraulics
