Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Training and Development,01.04.2016,5100852112,£545.70,Redacted Personal Information
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,01.04.2016,5100852105,"£1,900.00",Arboricultural Services Treework
Manchester City Council,Hospitality + Trading Services,Agency staff provision,01.04.2016,5100852331,"£2,227.94",Hays Personnel
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,01.04.2016,1905059128,£565.60,Ecomix Concrete Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.04.2016,5100852142,£623.10,R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.04.2016,1905059085,£797.30,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Cash Collection,01.04.2016,5100852206,£599.48,G4S Cash Solutions (Uk) Ltd
Manchester City Council,Hospitality + Trading Services,Cash Collection,01.04.2016,5100852211,£599.48,G4S Cash Solutions (Uk) Ltd
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,01.04.2016,5100852337,"£1,939.76",Marshalls Mono Ltd
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,01.04.2016,5100852103,"£1,911.00",Kloeckner Metals UK
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,01.04.2016,5100852138,"£4,103.48",Howarth Timber
Manchester City Council,Adult Social Care,Payments for services,01.04.2016,5100852136,"£10,050.00",Cais Ltd
Manchester City Council,Adult Social Care,Supporting People Payments,01.04.2016,5100852095,"£4,889.00",Adactus Housing Group Ltd
Manchester City Council,Adult Social Care,Supporting People Payments,01.04.2016,5100852095,"£2,780.00",Adactus Housing Group Ltd
Manchester City Council,Adult Social Care,Residential Care Homes Payments,01.04.2016,1905059284,"£16,716.42",Alexandra Lodge Care Centre
Manchester City Council,Adult Social Care,Residential Care Homes Payments,01.04.2016,1905059284,"£6,174.30",Alexandra Lodge Care Centre
Manchester City Council,Adult Social Care,Residential Care Homes Payments,01.04.2016,1905059284,"£1,757.64",Alexandra Lodge Care Centre
Manchester City Council,Adult Social Care,Residential Care Homes Payments,01.04.2016,1905059284,"£1,646.48",Alexandra Lodge Care Centre
Manchester City Council,Adult Social Care,Residential Care Homes Payments,01.04.2016,1905059284,"£1,646.48",Alexandra Lodge Care Centre
Manchester City Council,Adult Social Care,Registered Nursing Homes Permanent Payments,01.04.2016,1905059284,"£6,988.16",Alexandra Lodge Care Centre
Manchester City Council,Adult Social Care,Personal needs of client,01.04.2016,5100852180,"£2,960.00",Ultimate Healthcare
Manchester City Council,Adult Social Care,Personal needs of client,01.04.2016,5100852170,"£1,200.00",Ultimate Healthcare
Manchester City Council,Adult Social Care,Charges for Permanent Residential Home Care,01.04.2016,1905059284,-£586.25,Alexandra Lodge Care Centre
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,01.04.2016,5100852145,"£20,819.48",Manchester Working Ltd
Manchester City Council,Chief Executives,Agency staff provision,01.04.2016,5100852329,"£1,500.00",Hays Personnel
Manchester City Council,Chief Executives,Infrastructure Fees,01.04.2016,5100852333,"£2,025.00",Hays Personnel
Manchester City Council,Chief Executives,Infrastructure Fees,01.04.2016,5100852328,"£1,437.50",Hays Personnel
Manchester City Council,Regeneration Finance,Agency staff provision,01.04.2016,5100852330,"£1,377.88",Hays Personnel
Manchester City Council,Regeneration Finance,Cleaning Equipment and Materials,01.04.2016,5100852335,£611.85,Alliance Disposables Ltd
Manchester City Council,Insurance Fund,Insurance,01.04.2016,5100852208,"£2,205.00",Redacted Personal Information
Manchester City Council,Manchester Leisure,Agency staff provision,04.04.2016,5100852340,"£7,000.00",Manchester Rugby Union
Manchester City Council,Manchester Leisure,Agency staff provision,04.04.2016,5100852343,"£4,500.00",Manchester Rugby Union
Manchester City Council,Manchester Leisure,Agency staff provision,04.04.2016,5100852339,"£3,650.00",Manchester Rugby Union
Manchester City Council,Manchester Leisure,Agency staff provision,04.04.2016,5100852341,"£1,550.00",Manchester Rugby Union
Manchester City Council,Manchester Leisure,Agency staff provision,04.04.2016,5100852342,"£1,550.00",Manchester Rugby Union
Manchester City Council,Manchester Leisure,Grounds Maintenance Costs,04.04.2016,5100852104,"£1,000.00",Arboricultural Services Treework
