Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Electricity,01.08.2013,1903765130,"£1,751.38",Scottish & Southern Energy Plc
Manchester City Council,Manchester Leisure,Electricity,01.08.2013,1903765097,"£1,393.67",Scottish & Southern Energy Plc
Manchester City Council,Manchester Leisure,Electricity,01.08.2013,1903764864,"£1,277.78",Scottish & Southern Energy Plc
Manchester City Council,Manchester Leisure,Electricity,01.08.2013,1903765061,"£1,183.27",Scottish & Southern Energy Plc
Manchester City Council,Manchester Leisure,Electricity,01.08.2013,1903765120,"£1,003.02",Scottish & Southern Energy Plc
Manchester City Council,Manchester Leisure,Electricity,01.08.2013,1903765107,£673.90,Scottish & Southern Energy Plc
Manchester City Council,Manchester Leisure,Electricity,01.08.2013,1903765076,£628.88,Scottish & Southern Energy Plc
Manchester City Council,Manchester Leisure,Electricity,01.08.2013,1903764874,£619.58,Scottish & Southern Energy Plc
Manchester City Council,Manchester Leisure,Electricity,01.08.2013,1700044128,-£556.44,Scottish & Southern Energy Plc
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,01.08.2013,5100657671,£690.00,Clean-Up UK Limited
Manchester City Council,Manchester Leisure,Proffesional fees,01.08.2013,1903765231,"£167,672.70",NBA Properties Inc
Manchester City Council,Libraries and Theatres,Training and Development,01.08.2013,5100657731,"-£1,182.50",Enterprise Manchester TRADE
Manchester City Council,Libraries and Theatres,Electricity,01.08.2013,1903765073,"£2,105.15",Scottish & Southern Energy Plc
Manchester City Council,Libraries and Theatres,Electricity,01.08.2013,1903764849,"£1,876.32",Scottish & Southern Energy Plc
Manchester City Council,Libraries and Theatres,Electricity,01.08.2013,1903764868,£671.53,Scottish & Southern Energy Plc
Manchester City Council,Libraries and Theatres,Electricity,01.08.2013,1903765062,£528.99,Scottish & Southern Energy Plc
Manchester City Council,Libraries and Theatres,Payments to Sub-Contractors,01.08.2013,5100657620,"-£1,638.00",Crosby'S
Manchester City Council,Hospitality + Trading Services,Electricity,01.08.2013,1700044150,"-£1,854.57",Scottish & Southern Energy Plc
Manchester City Council,Hospitality + Trading Services,Car Parking Permits,01.08.2013,5100657629,£600.00,Ncc Services Limited
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,01.08.2013,5100657628,"£1,807.99",Killgerm Chemicals Ltd
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,01.08.2013,5100657571,£552.00,Arco Group Ltd
Manchester City Council,Environment and Operations,Electricity,01.08.2013,1903764863,£795.52,Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Agency staff provision,01.08.2013,5100657610,£548.03,Network Ventures Ltd T/A Topcare
Manchester City Council,Adult Social Care,Gas,01.08.2013,1903765183,£528.10,British Gas Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903765119,"£2,219.71",Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903765159,"£1,380.58",Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903764856,"£1,315.48",Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903764880,"£1,029.98",Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903764893,"£1,004.80",Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903765151,£969.54,Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903765123,£882.72,Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903764855,£802.11,Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903765125,£740.80,Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903765140,£732.32,Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903764881,£712.50,Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903765160,£693.12,Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903765092,£682.34,Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903764884,£664.69,Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903765134,£644.58,Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903765058,£643.86,Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903764851,£617.66,Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903765174,£604.32,Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903765015,£593.41,Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903764910,£549.89,Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903764902,£532.67,Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903764965,£531.32,Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1903764987,£530.65,Scottish & Southern Energy Plc
Manchester City Council,Adult Social Care,Electricity,01.08.2013,1700044127,-£812.86,Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765068,"£1,987.36",Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765112,"£1,568.23",Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765139,"£1,560.92",Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765069,"£1,557.00",Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765100,"£1,538.21",Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765056,"£1,438.09",Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765101,"£1,403.04",Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765150,"£1,345.70",Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765129,"£1,171.91",Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765093,"£1,106.41",Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765170,"£1,044.55",Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903764903,"£1,002.00",Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765171,"£1,000.17",Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765147,£889.51,Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765057,£881.68,Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765135,£846.39,Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765060,£787.52,Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903764875,£737.76,Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765105,£698.95,Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903764854,£679.49,Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765172,£670.44,Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903764901,£641.13,Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765071,£574.01,Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765117,£542.70,Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903765065,£542.13,Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Electricity,01.08.2013,1903764859,£516.05,Scottish & Southern Energy Plc
Manchester City Council,Childrens Services,Payments for services,01.08.2013,5100657563,"£18,000.00",After Adoption
Manchester City Council,Childrens Services,Legal Fees,01.08.2013,5100657605,"-£1,260.00",Redacted Personal Information
Manchester City Council,Corporate Services,Usable Capital Rec,01.08.2013,1903765232,"£367,131.82",DCLG
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765099,"£2,625.81",Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765114,"£2,605.16",Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765072,"£2,526.49",Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765080,"£2,503.85",Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765082,"£2,471.05",Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765111,"£2,347.59",Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765149,"£2,332.16",Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765059,"£2,233.07",Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765078,"£2,196.65",Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765162,"£2,180.21",Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765081,"£1,856.89",Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765136,"£1,524.19",Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765164,"£1,439.25",Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765109,"£1,431.78",Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765127,"£1,313.02",Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765110,"£1,229.27",Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765098,"£1,169.13",Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765176,£961.93,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765177,£960.75,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903764895,£952.41,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765175,£908.05,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903764861,£891.25,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903764885,£816.25,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903764870,£811.92,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903764889,£799.02,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903764873,£784.70,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765077,£767.37,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903764857,£766.23,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903764876,£668.60,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903764852,£665.76,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903765079,£610.73,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903764883,£605.32,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903764904,£559.37,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1903764879,£520.82,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1700044126,-£569.39,Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1700044149,"-£3,169.07",Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Electricity,01.08.2013,1700044148,"-£6,363.83",Scottish & Southern Energy Plc
Manchester City Council,Corporate Services,Travel Season TLS,01.08.2013,5100657638,£707.75,Transport for Greater Manchester
Manchester City Council,Corporate Services,Photocopying,01.08.2013,5100657635,"-£1,108.40",Royal Mail
Manchester City Council,Corporate Services,Photocopying,01.08.2013,5100657637,"-£1,213.27",Royal Mail
Manchester City Council,Corporate Services,Photocopying,01.08.2013,5100657636,"-£4,259.23",Royal Mail
Manchester City Council,Corporate Services,Proffesional fees,01.08.2013,5100657627,"-£1,990.06",NPS North West Ltd
Manchester City Council,Corporate Services,Proffesional fees,01.08.2013,5100657627,"-£2,671.12",NPS North West Ltd
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.08.2013,5100657608,"£83,227.00",Cruden Group Ltd
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.08.2013,5100657609,"£62,158.00",Cruden Group Ltd
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.08.2013,5100657606,"-£62,158.00",Cruden Group Ltd
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.08.2013,5100657604,"-£83,227.00",Cruden Group Ltd
Manchester City Council,Housing General Fund,Building Works,01.08.2013,1903764844,"£3,500.00",Redacted Personal Information
