Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Amount,Supplier Name
Manchester City Council,Chief Executives,Reference Materials,01.12.2010,1902373176,1200.00,Tommys
Manchester City Council,Libraries and Theatres,Books-Adult Fiction,01.12.2010,1902375265,666.36,Zaylai Books
Manchester City Council,Libraries and Theatres,"Papers,Periodic Mags",01.12.2010,1902375283,2245.73,Swets Information Services
Manchester City Council,Libraries and Theatres,SR-Music,01.12.2010,1902375295,1368.00,W.F.Howes Ltd
Manchester City Council,Libraries and Theatres,SR-Music,01.12.2010,1902375296,1970.80,W.F.Howes Ltd
Manchester City Council,Highways Services,Compensation Expense,01.12.2010,1902384421,8435.66,Tranter Cleere & Co
Manchester City Council,Housing Revenue Account,Compensation Expense,01.12.2010,1902384438,8350.00,Thompsons Solicitors
Manchester City Council,Childrens Services,Foster Payments,01.12.2010,1902384504,1179.42,REDACTED PERSONAL DATA
Manchester City Council,Childrens Services,Foster Payments,01.12.2010,1902384505,1995.00,REDACTED PERSONAL DATA
Manchester City Council,Childrens Services,Foster Payments,01.12.2010,1902384506,628.80,REDACTED PERSONAL DATA
Manchester City Council,Chief Executives,Agency staff provision,01.12.2010,5100395574,688.86,Reed Employment Plc
Manchester City Council,Chief Executives,Agency staff provision,01.12.2010,5100395576,9993.47,Reed Employment Plc
Manchester City Council,Environment and Operations,Grant and subscriptions awarded,01.12.2010,5100395590,500.00,Merci Ltd
Manchester City Council,Grtr Manchester Urban Traffic,Legal Fees,01.12.2010,5100395616,15803.75,REDACTED PERSONAL DATA
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,01.12.2010,5100395627,1894.20,Burdens Ltd
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,01.12.2010,5100395627,3132.90,Burdens Ltd
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,01.12.2010,5100395636,551.20,Marshalls Mono Ltd
Manchester City Council,Childrens Services,Supported Accom,01.12.2010,5100395667,804.51,St Vincents Housing Association Ltd
Manchester City Council,Leasing,Vehicle contract hire and leases,01.12.2010,5100395674,1000.00,S G Equipment Finance Ltd
Manchester City Council,Leasing,Vehicle contract hire and leases,01.12.2010,5100395681,2100.00,S G Equipment Finance Ltd
Manchester City Council,Grtr Manchester County Records,Equipment,01.12.2010,5100395683,1443.04,Chubb Systems Ltd
Manchester City Council,Leasing,Vehicle contract hire and leases,01.12.2010,5100395688,-2100.00,S G Equipment Finance Ltd
Manchester City Council,Leasing,Vehicle contract hire and leases,01.12.2010,5100395691,2100.00,S G Equipment Finance Ltd
Manchester City Council,Childrens Services,Supported Accom,01.12.2010,5100395692,574.65,St Vincents Housing Association Ltd
Manchester City Council,Adult Social Care,Training and Development,01.12.2010,5100395703,1400.00,KD Training Consultants Ltd
Manchester City Council,Chief Executives,Building Works,01.12.2010,5100395706,9750.00,Urban Splash
Manchester City Council,Childrens Services,Oth Professional Fee,01.12.2010,5100395707,4590.43,Venture Arts Ltd
Manchester City Council,Chief Executives,Payments for services,01.12.2010,5100395709,508.40,Mimosa Recovery Ltd
Manchester City Council,Childrens Services,Grant and subscriptions awarded,01.12.2010,5100395710,6077.92,Pro-Contact
Manchester City Council,Childrens Services,Prof Servs Curriculu,01.12.2010,5100395711,1000.00,Education Business Solutions
Manchester City Council,Chief Executives,Agency staff provision,01.12.2010,5100395716,560.56,Search Consultancy Ltd
Manchester City Council,Chief Executives,Agency staff provision,01.12.2010,5100395721,780.51,Search Consultancy Ltd
Manchester City Council,Grtr Manchester Transport Unit,Payments to Sub-Contractors,01.12.2010,5100395726,2870.00,CTS Traffic and Transportation Ltd
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,01.12.2010,5100395728,-609.84,Marshalls Mono Ltd
Manchester City Council,Adult Social Care,Consummables,01.12.2010,5100395731,1574.33,REDACTED PERSONAL DATA
Manchester City Council,Chief Executives,Agency staff provision,01.12.2010,5100395732,1336.44,Swiis Uk Limited
Manchester City Council,Childrens Services,Third party payments to Health Authority,01.12.2010,5100395733,8644.00,Tameside Metropolitan Borough
Manchester City Council,Chief Executives,Payments for services,01.12.2010,5100395750,1365.00,Mimosa Recovery Ltd
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,01.12.2010,5100395754,609.84,Marshalls Mono Ltd
Manchester City Council,Chief Executives,Payments for services,01.12.2010,5100395758,1950.00,Mimosa Recovery Ltd
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,01.12.2010,5100395760,44294.83,Manchester Working Ltd
Manchester City Council,Environment and Operations,Cleaning Equipment and Materials,01.12.2010,5100395761,3434.53,Manchester Working Ltd
Manchester City Council,Libraries and Theatres,Oth Professional Fee,01.12.2010,5100395763,574.80,The Agency
Manchester City Council,Libraries and Theatres,Oth Professional Fee,01.12.2010,5100395763,625.00,The Agency
Manchester City Council,Childrens Services,Oth Professional Fee,01.12.2010,5100395767,2686.44,Scope
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,01.12.2010,5100395771,540.16,Marshalls Mono Ltd
Manchester City Council,Childrens Services,Legal Fees,01.12.2010,5100395776,750.00,REDACTED PERSONAL DATA
Manchester City Council,Chief Executives,Payments to Sub-Contractors,01.12.2010,5100395796,-3622.50,Networkers International (UK) Plc
Manchester City Council,Housing Revenue Account,Heat Management,01.12.2010,5100395799,36123.93,Manchester Energy Company Limited
Manchester City Council,Housing Revenue Account,Relet Security,01.12.2010,5100395805,4709.50,Safe Estates Services Ltd
Manchester City Council,Housing Revenue Account,Responsive Work,01.12.2010,5100395820,1251.20,Manchester Working Ltd
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,01.12.2010,5100395822,11665.54,Manchester Working Ltd
Manchester City Council,Adult Social Care,Training and Development,01.12.2010,5100395824,1170.00,Matrix Training Associates Ltd
Manchester City Council,Corporate Services,Hire of Premises,01.12.2010,5100395828,1425.00,Manchester Cathedral Visitor Centre
Manchester City Council,Corporate Services,Hire of Premises,01.12.2010,5100395829,900.00,Manchester Cathedral Visitor Centre
Manchester City Council,Childrens Services,Grant and subscriptions awarded,01.12.2010,5100395848,11470.00,Nacro Operations
Manchester City Council,Libraries and Theatres,Oth Professional Fee,01.12.2010,5100395871,-625.00,The Agency
Manchester City Council,Libraries and Theatres,Oth Professional Fee,01.12.2010,5100395871,-574.80,The Agency
Manchester City Council,Libraries and Theatres,Oth Professional Fee,01.12.2010,5100395872,575.00,The Agency
Manchester City Council,Libraries and Theatres,Oth Professional Fee,01.12.2010,5100395872,625.00,The Agency
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,01.12.2010,5100395875,12086.00,Cruden Group Ltd
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,01.12.2010,5100395882,34989.00,Cruden Property Services Limited
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,01.12.2010,5100395891,1585.00,A1 Drainmasters Ltd
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,01.12.2010,5100395893,2110.00,A1 Drainmasters Ltd
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,01.12.2010,5100395895,2550.00,A1 Drainmasters Ltd
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,01.12.2010,5100395896,2275.00,A1 Drainmasters Ltd
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,01.12.2010,5100395897,2247.39,A1 Drainmasters Ltd
Manchester City Council,Chief Executives,Grant and subscriptions awarded,01.12.2010,5100395979,-7910.00,The Pennine Acute Hospitals
Manchester City Council,Regeneration Finance,Travel,01.12.2010,5100396045,667.73,Uniglobe Diamond Travel Limited
Manchester City Council,Adult Social Care,Landline Telephone,02.12.2010,1902305336,1437.00,BT PLC
Manchester City Council,Childrens Services,Oth Professional Fee,02.12.2010,1902354264,2195.54,Temperley Taylor LLP
Manchester City Council,Childrens Services,Compensation Expense,02.12.2010,1902355171,750.76,Bromley Hyde & Robinson
Manchester City Council,Childrens Services,Compensation Expense,02.12.2010,1902355174,1504.18,Bromley Hyde & Robinson
Manchester City Council,Childrens Services,Compensation Expense,02.12.2010,1902355182,569.57,Bromley Hyde & Robinson
Manchester City Council,Childrens Services,Compensation Expense,02.12.2010,1902355184,1106.28,Bromley Hyde & Robinson
