Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Libraries and Theatres,Training and Development,01.12.2011,5100505630,"4,957.28",Read - The Reading Agency
Manchester City Council,Hospitality + Trading Services,"Consumable items eg Toilet rolls, soap etc",01.12.2011,1902909449,590.65,Arrow Cleaning and Hygiene
Manchester City Council,Hospitality + Trading Services,"Consumable items eg Toilet rolls, soap etc",01.12.2011,1902909327,533.77,Arrow Cleaning and Hygiene
Manchester City Council,Hospitality + Trading Services,Postage,01.12.2011,5100505686,"1,875.00",Dx Network Services Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.12.2011,1902909566,555.11,Berkeley Care Management Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.12.2011,1902909567,555.11,Berkeley Care Management Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.12.2011,1902909646,794.84,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.12.2011,1902909503,777.69,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.12.2011,1902909645,745.08,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.12.2011,1902909404,740.25,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.12.2011,1902909618,700.34,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.12.2011,1902909330,630.25,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.12.2011,1902909570,582.05,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.12.2011,1902909605,578.32,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.12.2011,1902909419,557.95,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.12.2011,5100505677,"6,705.50",Worsley Plant Ltd
Manchester City Council,Environment and Operations,Refuse Collection,01.12.2011,5100505685,"1,430.00",Clean-Up UK Limited
Manchester City Council,Adult Social Care,Equipment,01.12.2011,1902910210,"2,621.00",Patterson Medical Ltd
Manchester City Council,Adult Social Care,Equipment,01.12.2011,1902910212,"2,270.00",Patterson Medical Ltd
Manchester City Council,Adult Social Care,Equipment,01.12.2011,1902910208,"1,826.00",Patterson Medical Ltd
Manchester City Council,Adult Social Care,Equipment,01.12.2011,1902910211,988,Patterson Medical Ltd
Manchester City Council,Adult Social Care,Equipment,01.12.2011,1902910215,797.5,Patterson Medical Ltd
Manchester City Council,Adult Social Care,Equipment,01.12.2011,1902910206,689,Patterson Medical Ltd
Manchester City Council,Adult Social Care,Equipment,01.12.2011,5100505646,"1,065.00",Safe Partnership Ltd
Manchester City Council,Adult Social Care,Legal Fees,01.12.2011,5100505610,735,Hilton Harrop-Griffiths
Manchester City Council,Adult Social Care,Equipment,01.12.2011,5100505678,"3,800.00",Safe and Sound Products Ltd
Manchester City Council,Childrens Services,Training and Development,01.12.2011,5100505491,"1,120.00",Peel Mount Contract Furnishings Ltd
Manchester City Council,Childrens Services,Grant and subscriptions awarded,01.12.2011,5100505634,"4,005.00",Greater Manchester Coalition Of Dis
Manchester City Council,Childrens Services,Foster Payments,01.12.2011,1902910228,795.2,Faith Groves
Manchester City Council,Childrens Services,Proffesional fees,01.12.2011,5100505684,"2,475.06",Edmund Kirby & Sons Mgmt Services
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.12.2011,5100505593,"87,150.00",Ian Simpson Architects
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.12.2011,5100505591,"12,348.00",Ian Simpson Architects
Manchester City Council,Corporate Services,Rents,01.12.2011,5100505590,"1,979.54",Zion Arts Centre Ltd
Manchester City Council,Corporate Services,Rents,01.12.2011,5100505592,"1,979.52",Zion Arts Centre Ltd
Manchester City Council,Corporate Services,Rents,01.12.2011,5100505587,965.64,Zion Arts Centre Ltd
Manchester City Council,Corporate Services,Rents,01.12.2011,5100505586,-605.84,Zion Arts Centre Ltd
Manchester City Council,Corporate Services,Grant and subscriptions awarded,01.12.2011,1902901781,579,The Royal Institution Of Chartered
Manchester City Council,Corporate Services,Service Charges,01.12.2011,1902893882,"17,558.22",GB Building Solutions Ltd
Manchester City Council,Corporate Services,Non Housing Rent Receipts,01.12.2011,1902893882,"11,319.19",GB Building Solutions Ltd
Manchester City Council,Housing General Fund,Building Works,01.12.2011,1902910233,"140,057.04",H L F Berry & Co
Manchester City Council,Housing Revenue Account,Building Works,01.12.2011,1902910231,"101,697.40","Sleigh, Son & Booth Solicitors"
Manchester City Council,Housing Revenue Account,Compensation Payments,01.12.2011,1902908973,525,Smith Jones Solicitors
Manchester City Council,Chief Executives,Agency staff provision,01.12.2011,5100505651,"3,108.85",Morson International
Manchester City Council,Chief Executives,Photocopying,01.12.2011,1902909005,"1,150.00",Irwin Mitchell Solicitors
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,01.12.2011,5100505564,"3,510.00",Mather & Co Limited
Manchester City Council,Chief Executives,Legal Fees,01.12.2011,5100505611,"1,500.00",Landmark Chambers
Manchester City Council,Chief Executives,Funeral and coroner related services,01.12.2011,1902909014,"1,438.20",GOURMAY & ROGERS LTD
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,01.12.2011,1902909022,"1,850.00",Newton Heath Eco Youth
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,01.12.2011,1902909020,800,Newton Heath Eco Youth
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,01.12.2011,1902909021,725,Newton Heath Eco Youth
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,01.12.2011,1902909025,"1,293.00",King William IV Angling Society
Manchester City Council,Highways Services,Compensation Payments,01.12.2011,1902907822,"1,240.00",Department For Work & Pensions
Manchester City Council,Highways Services,Compensation Payments,01.12.2011,1902909024,585,Department For Work & Pensions
Manchester City Council,Highways Services,Compensation Payments,01.12.2011,1902907887,"1,575.00",Freeclaim Solicitors
Manchester City Council,Manchester Leisure,Electricity,02.12.2011,1902910396,"13,161.47",Scottish & Southern Energy Plc
Manchester City Council,Manchester Leisure,Electricity,02.12.2011,1902910403,"5,235.58",Scottish & Southern Energy Plc
Manchester City Council,Manchester Leisure,Electricity,02.12.2011,1902910392,"4,044.74",Scottish & Southern Energy Plc
Manchester City Council,Manchester Leisure,Electricity,02.12.2011,1902910390,635.39,Scottish & Southern Energy Plc
Manchester City Council,Manchester Leisure,Equipment,02.12.2011,1902880168,593.46,Adt Fire & Security
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,02.12.2011,5100505767,925,People's History Museum
Manchester City Council,Manchester Leisure,Subsistence and Conference Expenses,02.12.2011,5100506115,"-4,992.00",People's History Museum
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,02.12.2011,5100505774,554.35,Select Cards UK Ltd
Manchester City Council,Manchester Leisure,Payments for services,02.12.2011,5100505697,"7,500.00",England Netball
Manchester City Council,Manchester Leisure,Payments for services,02.12.2011,5100505867,"850,000.00",Manchester Sports & Leisure Trust
Manchester City Council,Manchester Leisure,Payments for services,02.12.2011,5100505698,"5,000.00",Manchester Sports & Leisure Trust
Manchester City Council,Manchester Leisure,Equipment,02.12.2011,5100506192,500,Nemisis Pyrotechnics Ltd
Manchester City Council,Manchester Leisure,Equipment,02.12.2011,5100506196,500,Nemisis Pyrotechnics Ltd
Manchester City Council,Libraries and Theatres,Electricity,02.12.2011,1902910376,"1,132.16",Scottish & Southern Energy Plc
Manchester City Council,Libraries and Theatres,Library Materials Acquisition,02.12.2011,1902910675,"4,889.94",Overdrive
