Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Chief Executives,Mobilephone Charges,01.02.2011,1902452838,"1,497.59",T-Mobile
Manchester City Council,Housing General Fund,Building Works,01.02.2011,1902463074,"2,720.00",Westholme Ltd
Manchester City Council,Housing General Fund,Building Works,01.02.2011,1902463082,"3,316.02",Manchester Working Ltd
Manchester City Council,Housing General Fund,Building Works,01.02.2011,1902463085,"8,701.61",Wessex Medical Lift Co Ltd
Manchester City Council,Housing General Fund,Building Works,01.02.2011,1902467521,"10,917.00",Redacted Personal Information
Manchester City Council,Housing General Fund,Building Works,01.02.2011,1902467602,"13,500.00",A & K Building Services Ltd
Manchester City Council,Housing General Fund,Building Works,01.02.2011,1902467604,"1,981.00",AJC Builders Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.02.2011,1902467734,611.54,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.02.2011,1902467756,897.04,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.02.2011,1902467797,600.93,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Works and associated costs for Land and Buildings,01.02.2011,1902467799,"732,000.00",Cobbetts LLP
Manchester City Council,Housing General Fund,Surplus property Acquisitions,01.02.2011,1902467920,"21,860.03",AST HAMPSONS
Manchester City Council,Hospitality + Trading Services,Floral Decorations,01.02.2011,5100415682,539.48,Crosby'S
Manchester City Council,Hospitality + Trading Services,Floral Decorations,01.02.2011,5100415683,832.5,Crosby'S
Manchester City Council,Chief Executives,Agency staff provision,01.02.2011,5100415693,904.42,Bennett Staff Bureau
Manchester City Council,Childrens Services,Transport Coach Hire,01.02.2011,5100415711,"6,324.79",Mr Blackcab
Manchester City Council,Childrens Services,Transport Coach Hire,01.02.2011,5100415712,"4,364.60",Mr Blackcab
Manchester City Council,Chief Executives,Agency staff provision,01.02.2011,5100415713,"9,450.10",Semester Recruitment Ltd
Manchester City Council,Grtr Manchester Transport Unit,I T Provision,01.02.2011,5100415723,723.75,Computerland Uk Ltd
Manchester City Council,Adult Social Care,Residential Furniture,01.02.2011,5100415727,"1,246.19",The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Residential Furniture,01.02.2011,5100415732,824.21,The Furnishing Service Ltd
Manchester City Council,Childrens Services,Transport Coach Hire,01.02.2011,5100415770,"5,024.65",Mr Blackcab
Manchester City Council,Childrens Services,Transport Coach Hire,01.02.2011,5100415772,"6,975.55",Mr Blackcab
Manchester City Council,Childrens Services,Transport Coach Hire,01.02.2011,5100415779,"7,803.50",Mr Blackcab
Manchester City Council,Childrens Services,Agency staff provision,01.02.2011,5100415784,"3,962.33",NHS Manchester Primary Care Trust
Manchester City Council,Childrens Services,Transport Coach Hire,01.02.2011,5100415785,"12,929.96",Mr Blackcab
