Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495664,"£2,610.90",Chiltern Invadex Ltd,
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495663,"£1,875.27",Chiltern Invadex Ltd,
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495691,"£1,822.90",Chiltern Invadex Ltd,
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495665,"£1,720.40",Chiltern Invadex Ltd,
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495667,"£3,581.00",Stannah Lift Services Ltd,
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495677,"£1,931.00",Stannah Lift Services Ltd,
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495670,"£9,247.06",Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495687,"£8,135.35",Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495675,"£7,584.93",Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495682,"£7,245.96",Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495680,"£7,063.86",Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495696,"£6,652.86",Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495673,"£6,201.96",Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495683,"£5,922.07",Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495695,"£5,751.07",Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495690,"£5,657.21",Kier Services Ltd - Maint West
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495671,"£5,629.03",Kier Services Ltd - Maint West
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495681,"£5,570.50",Kier Services Ltd - Maint West
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495678,"£5,036.64",Kier Services Ltd - Maint West
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495693,"£5,018.47",Kier Services Ltd - Maint West
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495689,"£4,976.95",Kier Services Ltd - Maint West
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495694,"£4,751.13",Kier Services Ltd - Maint West
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495679,"£4,625.06",Kier Services Ltd - Maint West
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495688,"£4,366.54",Kier Services Ltd - Maint West
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495668,"£4,282.07",Kier Services Ltd - Maint West
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495692,"£4,142.34",Kier Services Ltd - Maint West
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495685,"£4,102.52",Kier Services Ltd - Maint West
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495666,"£4,025.38",Kier Services Ltd - Maint West
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495674,"£4,013.96",Kier Services Ltd - Maint West
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495672,"£3,782.23",Kier Services Ltd - Maint West
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495669,"£3,226.90",Kier Services Ltd - Maint West
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495684,"£2,890.56",Kier Services Ltd - Maint West
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495676,"£1,238.00",Kier Services Ltd - Maint West
Manchester City Council,Housing General Fund,Building Works,02.02.2015,1904495686,"£1,094.87",Kier Services Ltd - Maint West
Manchester City Council,Adult Social Care,Childminding Fee Pay,02.02.2015,1904484379,£564.00,Bright Eyes Young Adventurers
Manchester City Council,Adult Social Care,Compensation Payments,02.02.2015,1904491843,"£8,000.00",Abney Garsden Mcdonald
Manchester City Council,Adult Social Care,Compensation Payments,02.02.2015,1904491813,"£5,890.97",Abney Garsden Mcdonald
Manchester City Council,Adult Social Care,Compensation Payments,02.02.2015,1904491841,"£5,874.58",Abney Garsden Mcdonald
Manchester City Council,Adult Social Care,Compensation Payments,02.02.2015,1904491840,"£4,600.00",Abney Garsden Mcdonald
Manchester City Council,Adult Social Care,Compensation Payments,02.02.2015,1904491661,£500.00,Abney Garsden Mcdonald
Manchester City Council,Adult Social Care,Compensation Payments,02.02.2015,1904492639,"£5,313.50",Weightmans LLP Solicitors
Manchester City Council,Adult Social Care,Compensation Payments,02.02.2015,1904495835,"£1,022.00",Brodies
Manchester City Council,Hospitality + Trading Services,Contract Cleaning External,02.02.2015,5100770921,"£5,668.39",Mitie Cleaning & Environmental
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,02.02.2015,5100769308,"£15,428.84",Manchester Working Ltd
Manchester City Council,Corporate Services,Hire of Equipment,02.02.2015,5100770913,"£12,085.12",Xerox Finance Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,02.02.2015,5100770934,"£2,614.47",One Stop Hire Limited
Manchester City Council,Regeneration Finance,Merchandise Sales,02.02.2015,1904492666,"£1,304.50",Total Merchandising Ltd.
Manchester City Council,Childrens Services,Payments for services,02.02.2015,5100770926,£825.00,Action For Children
Manchester City Council,Adult Social Care,Professional fees,02.02.2015,5100770977,"£12,473.35",NWG Network
Manchester City Council,Adult Social Care,Professional fees,02.02.2015,5100770944,"£5,500.00","People, Dialogue and Change Ltd"
Manchester City Council,Childrens Services,Subsistence and Conference Expenses,02.02.2015,5100770928,£833.00,Hemingways Marketing Services Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.02.2015,5100770992,"£2,959.00",Brighter Beginnings (Cheetham)
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.02.2015,5100770994,"£2,509.88",Brighter Beginnings (Cheetham)
Manchester City Council,Corporate Services,Training and Development,02.02.2015,5100740370,"£1,864.57",Kaplan Financial - Manchester
Manchester City Council,Adult Social Care,Agency staff provision,03.02.2015,5100771211,£712.60,Eden Brown Ltd
Manchester City Council,Adult Social Care,Agency staff provision,03.02.2015,5100771212,£570.08,Eden Brown Ltd
Manchester City Council,Adult Social Care,Agency staff provision,03.02.2015,5100771207,£805.56,Eden Brown Ltd
Manchester City Council,Adult Social Care,Agency staff provision,03.02.2015,5100771209,£712.60,Eden Brown Ltd
Manchester City Council,Adult Social Care,Agency staff provision,03.02.2015,5100771216,"£1,146.63",Eden Brown Ltd
Manchester City Council,Adult Social Care,Agency staff provision,03.02.2015,5100771203,£916.30,Eden Brown Ltd
Manchester City Council,Adult Social Care,Agency staff provision,03.02.2015,5100771218,£570.08,Eden Brown Ltd
Manchester City Council,Adult Social Care,Agency staff provision,03.02.2015,5100771205,£619.15,Eden Brown Ltd
Manchester City Council,Adult Social Care,Agency staff provision,03.02.2015,5100771027,£817.04,HR GO Recruitment Healthcare
