Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,02.01.2014,5100690178,"£13,477.60",Edmundson Electrical Ltd
Manchester City Council,Chief Executives,Postage,02.01.2014,1903957258,"£2,284.03",Royal Mail Group Plc
Manchester City Council,Chief Executives,Postage,02.01.2014,1903963370,"£1,774.09",Royal Mail Group Plc
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,02.01.2014,5100690295,"£4,142.40",Instarmac Group Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,02.01.2014,5100690304,"£1,347.76",Aggregate Industries T/A Kennedy As
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,02.01.2014,5100690291,"£1,106.80",Aggregate Industries T/A Kennedy As
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,02.01.2014,5100690318,"£1,090.32",Aggregate Industries T/A Kennedy As
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,02.01.2014,5100690297,£934.00,Aggregate Industries T/A Kennedy As
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,02.01.2014,5100690321,£871.60,Aggregate Industries T/A Kennedy As
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,02.01.2014,5100690290,£522.72,Aggregate Industries T/A Kennedy As
Manchester City Council,Adult Social Care,Supporting People Payments,02.01.2014,5100690174,"£5,927.64",Making Space
Manchester City Council,Adult Social Care,Supporting People Payments,02.01.2014,5100690174,"£3,887.13",Making Space
Manchester City Council,Adult Social Care,Supporting People Payments,02.01.2014,5100690174,"£1,257.26",Making Space
Manchester City Council,Hospitality + Trading Services,Cash Collection,02.01.2014,1903956288,£599.48,G4S Cash Services (Uk) Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,02.01.2014,5100690283,"£1,378.26",Tarmac Central Ltd
Manchester City Council,Adult Social Care,Personal needs of client,02.01.2014,5100690319,"£1,892.00",Jenx Ltd
Manchester City Council,Housing Revenue Account,Compensation Payments,02.01.2014,1903949453,"£1,500.00",Linder Myers Solicitors
Manchester City Council,Manchester Leisure,Re-investment Fund,02.01.2014,5100690312,"£1,865.40",Fairway Landscapes Ltd
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,02.01.2014,5100690300,"£1,515.90",University Of Manchester
Manchester City Council,Childrens Services,Compensation Payments,02.01.2014,1903963200,"£6,600.00",Abney Garsden Mcdonald
Manchester City Council,Childrens Services,Compensation Payments,02.01.2014,1903942685,"£2,000.00",Abney Garsden Mcdonald
Manchester City Council,Childrens Services,Compensation Payments,02.01.2014,1903940914,"£19,250.00",Abney Garsden Mcdonald
Manchester City Council,Childrens Services,Compensation Payments,02.01.2014,1903963404,"£14,000.00",Abney Garsden Mcdonald
Manchester City Council,Childrens Services,Compensation Payments,02.01.2014,1903949839,"£11,500.00",Abney Garsden Mcdonald
Manchester City Council,Childrens Services,Grant and subscriptions awarded,02.01.2014,5100690213,"£7,870.50",Back On Track
Manchester City Council,Regeneration Finance,Third party payments relating to Voluntary Organisations,02.01.2014,5100690215,"£9,782.00",Back On Track
Manchester City Council,Housing Revenue Account,Compensation Payments,02.01.2014,1903955474,£615.00,Department For Work & Pensions
Manchester City Council,Housing Revenue Account,Compensation Payments,02.01.2014,1903949934,£566.00,Department For Work & Pensions
Manchester City Council,Childrens Services,Transport Coach Hire,02.01.2014,5100690168,"£7,388.00",T/A TC Travel Svs Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,02.01.2014,5100690196,"£8,457.77",Stapletons Tyre Services
