Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,,,,,,,,,
Manchester City Council,Manchester Leisure,Refuse Collection,04.01.2016,1904937495,"£3,515.12",Enterprise Manchester TRADE,,,,,,,,,,,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,04.01.2016,1904936325,"£1,266.00",Dandy Booksellers,,,,,,,,,,,
Manchester City Council,Manchester Leisure,Payments for services,04.01.2016,1904934269,"£6,220.00",United Kingdom Cheerleading Associa,,,,,,,,,,,
Manchester City Council,Hospitality + Trading Services,Agency staff provision,04.01.2016,5100835380,"£1,086.80",Hays Personnel,,,,,,,,,,,
Manchester City Council,Hospitality + Trading Services,Refuse Collection,04.01.2016,1904937497,"£3,819.31",Enterprise Manchester TRADE,,,,,,,,,,,
Manchester City Council,Hospitality + Trading Services,Refuse Collection,04.01.2016,1904937498,"£3,739.92",Enterprise Manchester TRADE,,,,,,,,,,,
Manchester City Council,Hospitality + Trading Services,Refuse Collection,04.01.2016,1904937496,"£2,493.26",Enterprise Manchester TRADE,,,,,,,,,,,
Manchester City Council,Hospitality + Trading Services,Refuse Collection,04.01.2016,1904937501,"£1,134.65",Enterprise Manchester TRADE,,,,,,,,,,,
Manchester City Council,Hospitality + Trading Services,Refuse Collection,04.01.2016,1904937499,£900.14,Enterprise Manchester TRADE,,,,,,,,,,,
Manchester City Council,Hospitality + Trading Services,Refuse Collection,04.01.2016,1904937500,£786.59,Enterprise Manchester TRADE,,,,,,,,,,,
Manchester City Council,Hospitality + Trading Services,ClothsUniformLaundry,04.01.2016,5100835405,"£1,822.47",E & E Workwear,,,,,,,,,,,
Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,04.01.2016,5100835265,£548.80,G E Robinson & Co Ltd,,,,,,,,,,,
Manchester City Council,Environment and Operations,Hire of Machinery,04.01.2016,1904929530,"£2,854.00",Friends of Debdale Park,,,,,,,,,,,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904927497,"£15,000.00",Gorvins,,,,,,,,,,,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904927896,"£4,500.00",Redacted Personal Information,,,,,,,,,,,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904934906,"£2,025.75",Redacted Personal Information,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904927878,"£2,020.00",Peasegoods,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904927913,"£1,500.00",Redacted Personal Information,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904934897,"£1,500.00",Blaser Mills LLP,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904927904,"£16,650.00",Alker Ball Healds Solicitors,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904927131,"£13,690.00",Azmi Rana Solicitors,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904934905,"£10,000.00",Barings Solicitors,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904934814,"£8,000.00",Themis Lawyers,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904927930,"£5,000.00",Department For Work & Pensions,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904934901,"£4,870.00",Clifford Johnston and Co.,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904927749,"£3,630.20",Peasegoods,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904927910,"£2,899.00",Tranter Cleere & Co,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904927907,"£2,461.00",Slater & Gordon (UK) LLP,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904934891,"£1,137.50",Blaser Mills LLP,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904934815,£720.00,Themis Lawyers,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904935770,£643.80,Sterling Costs,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904927595,£637.00,Department For Work & Pensions,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904934817,£637.00,Department For Work & Pensions,
Manchester City Council,Environment and Operations,Compensation Payments,04.01.2016,1904934845,£585.00,Department For Work & Pensions,
Manchester City Council,Adult Social Care,Agency staff provision,04.01.2016,5100835322,"£1,050.70",Semester Recruitment Ltd,
