Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Adult Social Care,Agency staff provision,02.07.2012,5100562315,738.15,Semester Recruitment Ltd
Manchester City Council,Adult Social Care,Agency staff provision,02.07.2012,5100562314,734.4,Semester Recruitment Ltd
Manchester City Council,Childrens Services,Agency staff provision,02.07.2012,5100562316,"1,485.58",Semester Recruitment Ltd
Manchester City Council,Childrens Services,Agency staff provision,02.07.2012,5100562313,839.65,Semester Recruitment Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.07.2012,1903214055,763.43,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.07.2012,1903214108,619.58,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.07.2012,1903214109,565.75,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.07.2012,1903214066,536.56,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.07.2012,1903214085,514.69,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.07.2012,1903214077,500.4,Brake Bros Foodservice Ltd
Manchester City Council,Corporate Services,Compensation Payments,02.07.2012,1903214324,"479,235.02",Hague Lambert
Manchester City Council,Hospitality + Trading Services,Compensation Payments,02.07.2012,1903192824,585,Department For Work & Pensions
Manchester City Council,Corporate Services,Fees,02.07.2012,1903203235,"29,137.02",Equita Ltd
Manchester City Council,Corporate Services,Fees,02.07.2012,1903203235,"-29,137.02",Equita Ltd
Manchester City Council,Corporate Services,Fees,02.07.2012,1903203237,"24,470.71",Rossendales Ltd
Manchester City Council,Corporate Services,Fees,02.07.2012,1903203237,"-24,470.71",Rossendales Ltd
Manchester City Council,Childrens Services,Furniture,02.07.2012,5100562201,866.7,Eps Supplies Ltd
Manchester City Council,Regeneration Finance,Home Care ,02.07.2012,5100562175,533.54,Cooperative Childcare
Manchester City Council,Housing Revenue Account,I T Provision,02.07.2012,5100562136,516.34,Computerland Uk Ltd
Manchester City Council,Corporate Services,Income Tax Payable,02.07.2012,1903214324,"-6,009.40",Hague Lambert
Manchester City Council,Adult Social Care,Legal Fees,02.07.2012,5100562212,"1,050.00",Redacted Personal Information
Manchester City Council,Regeneration Finance,Payments for services,02.07.2012,1903207672,500,Zest Team North Mcr FAD008422
Manchester City Council,Childrens Services,Proffesional fees,02.07.2012,5100562217,810,Manchester Climbing Centre Ltd
Manchester City Council,Childrens Services,Proffesional fees,02.07.2012,5100562221,720,Manchester Climbing Centre Ltd
Manchester City Council,Childrens Services,Proffesional fees,02.07.2012,5100562206,-720,Manchester Climbing Centre Ltd
Manchester City Council,Childrens Services,Proffesional fees,02.07.2012,5100562207,-810,Manchester Climbing Centre Ltd
Manchester City Council,Manchester Leisure,Proffesional fees,02.07.2012,1903213797,"1,000.00",Doom and Son LLP
Manchester City Council,Regeneration Finance,Stationery,02.07.2012,5100555907,809.82,Waterstone's Booksellers Limited
Manchester City Council,Regeneration Finance,Subsistence and Conference Expenses,02.07.2012,5100562281,863.52,Cresta World Travel t/a Uniglobe
Manchester City Council,Chief Executives,Third party payments to other Local Authorities,02.07.2012,5100562220,"5,700.00",University Of Warwick
Manchester City Council,Regeneration Finance,Travel,02.07.2012,5100562261,"1,737.00",Cresta World Travel t/a Uniglobe
Manchester City Council,Regeneration Finance,Travel,02.07.2012,5100562244,871.11,Cresta World Travel t/a Uniglobe
Manchester City Council,Regeneration Finance,Travel,02.07.2012,5100562246,699.6,Cresta World Travel t/a Uniglobe
Manchester City Council,Chief Executives,Advertising,03.07.2012,5100562510,"9,125.78",MEN Media Ltd
Manchester City Council,Chief Executives,Advertising,03.07.2012,5100562512,"6,425.68",MEN Media Ltd
Manchester City Council,Chief Executives,Advertising,03.07.2012,5100562515,"5,955.72",MEN Media Ltd
Manchester City Council,Chief Executives,Advertising,03.07.2012,5100562513,"4,702.11",MEN Media Ltd
Manchester City Council,Chief Executives,Advertising,03.07.2012,5100562515,"4,330.71",MEN Media Ltd
Manchester City Council,Chief Executives,Advertising,03.07.2012,5100562512,"1,377.21",MEN Media Ltd
Manchester City Council,Chief Executives,Advertising,03.07.2012,5100562510,"1,193.59",MEN Media Ltd
Manchester City Council,Chief Executives,Advertising,03.07.2012,5100562513,"1,039.58",MEN Media Ltd
Manchester City Council,Chief Executives,Advertising,03.07.2012,5100562368,"5,000.00",MediaCo Outdoor Limited
Manchester City Council,Chief Executives,Advertising,03.07.2012,5100562369,"5,000.00",MediaCo Outdoor Limited
Manchester City Council,Chief Executives,Advertising,03.07.2012,5100562366,"1,440.00",MediaCo Outdoor Limited
Manchester City Council,Chief Executives,Advertising,03.07.2012,5100562486,"1,370.00",MediaCo Outdoor Limited
Manchester City Council,Chief Executives,Advertising,03.07.2012,5100562349,780,MediaCo Outdoor Limited
Manchester City Council,Chief Executives,Advertising,03.07.2012,5100562485,780,MediaCo Outdoor Limited
Manchester City Council,Chief Executives,Advertising,03.07.2012,5100562461,780,MediaCo Outdoor Limited
Manchester City Council,Chief Executives,Advertising,03.07.2012,5100562367,720,MediaCo Outdoor Limited
Manchester City Council,Childrens Services,Agency staff provision,03.07.2012,5100562318,"1,056.40",Reed Employment Plc
Manchester City Council,Environment and Operations,Agency staff provision,03.07.2012,5100562256,"1,694.00",Interaction Recruitment
Manchester City Council,Environment and Operations,Agency staff provision,03.07.2012,5100562259,847,Interaction Recruitment
Manchester City Council,Regeneration Finance,Agency staff provision,03.07.2012,5100562318,"2,775.84",Reed Employment Plc
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,03.07.2012,5100562434,906.08,Burdens Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,03.07.2012,5100562436,636,Burdens Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,03.07.2012,5100562490,516.24,Lafarge Aggregates Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,03.07.2012,1903214408,695,Ecomix Concrete Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,03.07.2012,1903214405,656.1,Ecomix Concrete Ltd
Manchester City Council,Housing General Fund,Building Works,03.07.2012,1903214484,"1,446.00",Aidservice Ltd
Manchester City Council,Housing General Fund,Building Works,03.07.2012,1903214553,"100,000.00",Lovell Partnerships Ltd
Manchester City Council,Housing General Fund,Building Works,03.07.2012,1700028836,"-100,000.00",Lovell Partnerships Ltd
Manchester City Council,Corporate Services,Cleaning Equipment and Materials,03.07.2012,5100562392,930,Alliance Disposables Ltd
Manchester City Council,Childrens Services,Compensation Payments,03.07.2012,1903192827,"7,827.00",Abney Garsden Mcdonald
Manchester City Council,Childrens Services,Compensation Payments,03.07.2012,1903192825,"6,200.00",Abney Garsden Mcdonald
Manchester City Council,Childrens Services,Compensation Payments,03.07.2012,1903192826,500,Abney Garsden Mcdonald
Manchester City Council,Childrens Services,Compensation Payments,03.07.2012,1903210764,600,Redacted Personal Information
Manchester City Council,Environment and Operations,Compensation Payments,03.07.2012,1903210754,585,Department For Work & Pensions
Manchester City Council,Corporate Services,Fees,03.07.2012,5100556005,"1,113.30",Cobbetts LLP
Manchester City Council,Childrens Services,Fixtures and Fitting,03.07.2012,1903200912,900,Barnardos Manchester Leaving Care S
Manchester City Council,Childrens Services,Foster Payments,03.07.2012,1903200912,"1,683.00",Barnardos Manchester Leaving Care S
Manchester City Council,Childrens Services,Foster Payments,03.07.2012,1903191820,843.75,Barnardos Manchester Leaving Care S
Manchester City Council,Adult Social Care,Furniture,03.07.2012,5100562455,666.53,The Furnishing Service Ltd
Manchester City Council,Section 48,Grant and subscriptions awarded,03.07.2012,5100562269,"13,700.00",Manchester Camerata
Manchester City Council,Section 48,Grant and subscriptions awarded,03.07.2012,5100562272,"3,750.00",LGBT Youth North West
Manchester City Council,Section 48,Grant and subscriptions awarded,03.07.2012,5100562262,"22,500.00",Noise Festival Ltd
Manchester City Council,Chief Executives,Land Registry fees,03.07.2012,1903214534,"1,925.00",H.M. Land Registry
Manchester City Council,Corporate Services,Land Registry fees,03.07.2012,1903214527,"1,254.00",H.M. Land Registry
Manchester City Council,Childrens Services,Legal Fees,03.07.2012,5100562539,"-1,200.00",Matrix Chambers
Manchester City Council,Childrens Services,Payments for services,03.07.2012,5100562500,"2,906.88",The Together Trust
Manchester City Council,Childrens Services,Payments for services,03.07.2012,5100562498,"2,266.96",The Together Trust
Manchester City Council,Childrens Services,Payments for services,03.07.2012,5100562499,"1,585.60",The Together Trust
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,03.07.2012,5100562350,"20,036.25",Kenny Bros (Civil Eng) Ltd
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,03.07.2012,5100562462,"4,310.92",Community Security (North West)
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,03.07.2012,5100562644,-759.03,Amey LG Ltd
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,03.07.2012,5100562507,"27,580.27",J.Hopkins (Contractors) Ltd.
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,03.07.2012,5100562346,"21,935.30",J.Hopkins (Contractors) Ltd.
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,03.07.2012,5100562507,"17,176.40",J.Hopkins (Contractors) Ltd.
