Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Adult Social Care,Agency staff provision,01.07.2013,5100650861,£679.45,Semester Recruitment Ltd
Manchester City Council,Adult Social Care,Agency staff provision,01.07.2013,5100650835,£603.03,Semester Recruitment Ltd
Manchester City Council,Adult Social Care,Agency staff provision,01.07.2013,5100650851,£584.50,Semester Recruitment Ltd
Manchester City Council,Adult Social Care,Agency staff provision,01.07.2013,5100650854,£548.24,Semester Recruitment Ltd
Manchester City Council,Childrens Services,Agency staff provision,01.07.2013,5100651043,£896.50,Semester Recruitment Ltd
Manchester City Council,Childrens Services,Agency staff provision,01.07.2013,5100650844,£702.53,Semester Recruitment Ltd
Manchester City Council,Childrens Services,Agency staff provision,01.07.2013,5100650841,£694.40,Semester Recruitment Ltd
Manchester City Council,Childrens Services,Agency staff provision,01.07.2013,5100650849,£685.30,Semester Recruitment Ltd
Manchester City Council,Childrens Services,Agency staff provision,01.07.2013,5100650864,£685.30,Semester Recruitment Ltd
Manchester City Council,Childrens Services,Agency staff provision,01.07.2013,5100650853,£671.65,Semester Recruitment Ltd
Manchester City Council,Childrens Services,Agency staff provision,01.07.2013,5100650838,£521.15,Semester Recruitment Ltd
Manchester City Council,Childrens Services,Agency staff provision,01.07.2013,5100650847,£517.30,Semester Recruitment Ltd
Manchester City Council,Learning Disabilities PB,Agency staff provision,01.07.2013,5100650848,"£1,450.00",Semester Recruitment Ltd
Manchester City Council,Learning Disabilities PB,Agency staff provision,01.07.2013,5100650857,£721.35,Semester Recruitment Ltd
Manchester City Council,Learning Disabilities PB,Agency staff provision,01.07.2013,5100650856,£721.35,Semester Recruitment Ltd
Manchester City Council,Learning Disabilities PB,Agency staff provision,01.07.2013,5100650858,£721.35,Semester Recruitment Ltd
Manchester City Council,Chief Executives,Water - Metered,01.07.2013,1903714421,£886.02,Bruntwood LG Ltd Rent Account
Manchester City Council,Corporate Services,Transport Taxis,01.07.2013,1903714584,"£5,353.30",Manchester Cars
Manchester City Council,Corporate Services,Transport Taxis,01.07.2013,1903714583,"£3,552.20",Manchester Cars
Manchester City Council,Adult Social Care,Furniture,01.07.2013,5100650945,£625.14,The Furnishing Service Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.07.2013,5100650925,"£1,178.50",R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.07.2013,5100650924,"£1,103.50",R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.07.2013,5100650921,£961.37,R & M Developments Ltd
