Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,01.06.2012,5100556595,521.38,Bookpoint Limited
Manchester City Council,Libraries and Theatres,Hire of Machinery,01.06.2012,5100556596,"1,674.52",Byrne Surfacing Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,01.06.2012,5100556613,"1,019.26",Tarmac Central Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.06.2012,5100556474,"1,440.00",R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.06.2012,5100556475,"1,440.00",R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.06.2012,5100556476,"1,307.55",R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.06.2012,5100556479,"1,182.55",R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.06.2012,5100556480,"1,182.55",R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.06.2012,5100556482,"1,061.37",R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,01.06.2012,5100556611,"1,503.87",Tarmac Central Ltd
Manchester City Council,Environment and Operations,I T Provision,01.06.2012,5100556578,"5,943.76",Intec For Business Ltd
Manchester City Council,Environment and Operations,I T Provision,01.06.2012,5100556581,"2,857.57",Intec For Business Ltd
Manchester City Council,Adult Social Care,Agency staff provision,01.06.2012,5100556573,671.72,Sanctuary Social Care
Manchester City Council,Adult Social Care,Rents,01.06.2012,5100556471,"9,829.47",Happy Homes Uk Ltd
Manchester City Council,Childrens Services,Agency staff provision,01.06.2012,5100556563,803,Entrust Social Care
Manchester City Council,Childrens Services,Agency staff provision,01.06.2012,5100556574,824.68,Sanctuary Social Care
Manchester City Council,Childrens Services,Grant and subscriptions awarded,01.06.2012,5100556599,"1,471.25",Youth on Solid Ground
Manchester City Council,Childrens Services,Grant and subscriptions awarded,01.06.2012,5100556598,"1,250.00",Youth on Solid Ground
Manchester City Council,Childrens Services,Carer Support Payments ,01.06.2012,1903171268,900,Redacted Personal Information
Manchester City Council,Corporate Services,Electricity,01.06.2012,1903121916,"1,250.00",Northern Way Properties Limited
Manchester City Council,Corporate Services,Compensation Payments,01.06.2012,1903169876,"4,250.00",Redacted Personal Information
Manchester City Council,Corporate Services,Compensation Payments,01.06.2012,1903169857,"4,000.00",Redacted Personal Information
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.06.2012,5100556585,"22,790.00",Mace Ltd
