Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.03.2013,5100622164,"£1,130.53",R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.03.2013,5100622163,£961.37,R & M Developments Ltd
Manchester City Council,Housing Revenue Account,Legal Fees,01.03.2013,1903549754,"£2,010.50",Sph Costing Services Ltd
Manchester City Council,Hospitality + Trading Services,Cleaning Equipment,01.03.2013,5100622184,£761.75,Panztel (Uk) Limited
Manchester City Council,Hospitality + Trading Services,Cleaning Equipment,01.03.2013,5100622181,£735.62,Panztel (Uk) Limited
Manchester City Council,Childrens Services,Payments for services,01.03.2013,5100622254,"£8,897.00",Caritas Diocese of Salford
Manchester City Council,Childrens Services,Transport Coach Hire,01.03.2013,5100622117,"£9,558.46",Wigan Metropolitan Borough Council
Manchester City Council,Childrens Services,Transport Coach Hire,01.03.2013,5100622173,"£5,626.73",Wigan Metropolitan Borough Council
Manchester City Council,Childrens Services,Proffesional fees,01.03.2013,5100622136,"£3,288.03",Scope
Manchester City Council,Childrens Services,Proffesional fees,01.03.2013,5100622177,"£3,156.20",Scope
Manchester City Council,Hospitality + Trading Services,Refuse Collection,01.03.2013,5100622194,£664.20,Hadfield Wood Recyclers
Manchester City Council,Chief Executives,ICT Sup & Maintnance,01.03.2013,5100622197,"£2,307.95",Jadu Ltd
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.03.2013,5100622252,"£4,373.50",DY:DX Consulting Limited
Manchester City Council,Childrens Services,Catering,01.03.2013,5100622186,-£863.66,Hochtief Faclilty Management
Manchester City Council,Hospitality + Trading Services,Expenditure re Internal Trading Ordered Externally,01.03.2013,5100622105,"£1,825.00",Stephensons Enterprise Fork Trucks
Manchester City Council,Hospitality + Trading Services,Contract Cleaning External,01.03.2013,5100622112,"£21,133.10",Ocean Contract Cleaning Ltd
Manchester City Council,Chief Executives,I T Provision,01.03.2013,5100622128,"£1,800.00",Meridian Law Ltd
Manchester City Council,Environment and Operations,Proffesional Fees,01.03.2013,5100622124,"£25,596.36",AMEC Earth & Environmental (UK) Ltd
Manchester City Council,Regeneration Finance,Travel,01.03.2013,5100622242,£611.84,Cresta World Travel t/a Uniglobe
Manchester City Council,Chief Executives,Funeral and coroner related services,01.03.2013,5100622245,"£1,388.41",Cresta World Travel t/a Uniglobe
Manchester City Council,Environment and Operations,Subsistence and Conference Expenses,01.03.2013,5100622188,£568.00,Cresta World Travel t/a Uniglobe
Manchester City Council,Childrens Services,Foster Payments,01.03.2013,1903552271,£808.23,Redacted Personal Information
Manchester City Council,Environment and Operations,Compensation Payments,01.03.2013,1903508287,"£10,000.00",Redacted Personal Information
Manchester City Council,Environment and Operations,Compensation Payments,01.03.2013,1903552236,£600.00,Bentley Solicitors
Manchester City Council,GMIST (Greater Mcr Integrated),Proffesional fees,01.03.2013,1903552267,"£3,600.00",SKV Communications
Manchester City Council,Manchester Leisure,Library Materials Acquisition,01.03.2013,1903552268,"£16,813.24",Overdrive Inc
Manchester City Council,Adult Social Care,Rents,05.03.2013,5100622572,"£3,000.00",Manchester Deaf Centre Ltd
Manchester City Council,Chief Executives,Agency staff provision,05.03.2013,5100622382,£866.58,Berkeley Scott Group PLC
Manchester City Council,Childrens Services,Car Parking Permits,05.03.2013,5100622352,"£1,105.64",National Car Parks Manchester Ltd
