Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Regeneration Finance,Home Care ,01.05.2012,5100548856,594,Aisha Childcare Ltd
Manchester City Council,Hospitality + Trading Services,Cleaning Equipment and Materials,01.05.2012,5100548815,744.57,Amtoll Ltd
Manchester City Council,Chief Executives,Grant and subscriptions awarded,01.05.2012,1903122472,"10,222.00",Barlow Moor Community Association
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.05.2012,1903122888,581.72,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.05.2012,1903122857,575.37,Brake Bros Foodservice Ltd
Manchester City Council,Childrens Services,Payments for services,01.05.2012,5100548864,"4,743.00",Building Blocks Nursery
Manchester City Council,Housing Revenue Account,Landline Telephone,01.05.2012,1903116088,753.75,Cable & Wireless UK
Manchester City Council,Housing Revenue Account,Compensation Payments,01.05.2012,1903102065,649.68,Camps Solicitors
Manchester City Council,Housing Revenue Account,Compensation Payments,01.05.2012,1903101512,547,Department For Work & Pensions
Manchester City Council,Insurance Fund,Insurance,01.05.2012,1903118522,"14,000.00",Fentons Solicitors LLP
Manchester City Council,Housing Revenue Account,Compensation Payments,01.05.2012,1903118519,"9,000.00",Glaisyers Solicitors
Manchester City Council,Environment and Operations,Land Registry fees,01.05.2012,1903122988,"1,414.00",H.M. Land Registry
Manchester City Council,Corporate Services,Land Registry fees,01.05.2012,1903123020,"3,988.00",H.M. Land Registry
Manchester City Council,Corporate Services,Land Registry fees,01.05.2012,1903123026,572,H.M. Land Registry
Manchester City Council,Chief Executives,Land Registry fees,01.05.2012,1903123000,"3,335.00",H.M. Land Registry
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,01.05.2012,5100548758,547.87,Hartley & Marks Publishers Ltd
Manchester City Council,Childrens Services,Grant and subscriptions awarded,01.05.2012,5100548879,"4,701.96",Manchester United Foundation
Manchester City Council,Childrens Services,Car Parking Permits,01.05.2012,5100548881,"1,021.66",National Car Parks Ltd Season Ticke
Manchester City Council,Housing Revenue Account,Compensation Payments,01.05.2012,1903118567,"1,213.52",Nicholls Solicitors
Manchester City Council,Chief Executives,Grant and subscriptions awarded,01.05.2012,5100548784,"4,000.00",Oldham Borough Council
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.05.2012,5100548860,"5,492.00",Partners Of Prisoners & Families
Manchester City Council,Insurance Fund,Insurance,01.05.2012,1903118595,"5,250.00",Redacted Personal Information
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,01.05.2012,5100548753,615.18,Select Cards UK Ltd
Manchester City Council,Insurance Fund,Insurance,01.05.2012,5100548780,"1,985.73",Sph Costing Services Ltd
Manchester City Council,Manchester Leisure,Equipment,01.05.2012,5100548778,959.54,Swift Fire & Security Group Plc
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,02.05.2012,5100548901,"1,885.00",A & K Building Services Ltd
Manchester City Council,Childrens Services,Equipment,02.05.2012,5100548950,920.87,Adt Fire & Security Plc
Manchester City Council,Childrens Services,Third party payments to other Local Authorities,02.05.2012,5100549058,"2,006.10",Assessment & Qualifications Allianc
Manchester City Council,Childrens Services,Third party payments to other Local Authorities,02.05.2012,5100549055,"1,391.60",Assessment & Qualifications Allianc
Manchester City Council,Childrens Services,Third party payments to other Local Authorities,02.05.2012,5100548953,520,Assessment & Qualifications Allianc
Manchester City Council,Manchester Leisure,Proffesional fees,02.05.2012,1903122981,768.21,Atelier Sur Exposes
Manchester City Council,Chief Executives,I T Provision,02.05.2012,5100549100,538.66,Banner Business Services Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2012,1903127167,824.09,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2012,1903127124,674.85,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2012,1903127159,634.07,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2012,1903127158,527.13,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2012,1903127145,524.14,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2012,1903127131,506.02,Brake Bros Foodservice Ltd
Manchester City Council,Childrens Services,Proffesional fees,02.05.2012,5100549109,"5,199.90",Davis Langdon
Manchester City Council,Childrens Services,Proffesional fees,02.05.2012,5100549110,"3,636.80",Davis Langdon
Manchester City Council,Childrens Services,Consultants Fees,02.05.2012,5100549069,"3,126.20",Davis Langdon
Manchester City Council,Childrens Services,Consultants Fees,02.05.2012,5100549070,"2,913.05",Davis Langdon
Manchester City Council,Housing Revenue Account,Other Insurance,02.05.2012,5100548908,"13,674.00",Eastlands Homes Partnership Ltd
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,02.05.2012,5100548954,"71,515.00",FC United of Manchester
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,02.05.2012,5100548951,"15,802.00",FC United of Manchester
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,02.05.2012,5100548956,"-15,802.00",FC United of Manchester
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,02.05.2012,5100548952,"-55,713.00",FC United of Manchester
Manchester City Council,Childrens Services,Supported Accommodation,02.05.2012,5100548896,600,First step Accomadation Ltd
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,02.05.2012,5100548940,"318,010.33",GB Building Solutions Ltd
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,02.05.2012,5100548942,"18,881.36",GB Building Solutions Ltd
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,02.05.2012,5100548938,"-336,891.69",GB Building Solutions Ltd
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,02.05.2012,5100548944,500,Great Places Housing Association
Manchester City Council,Childrens Services,External repairs and maintenance for buildings,02.05.2012,5100549062,"9,656.00",Harry Fairclough Limited
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,02.05.2012,5100549062,"4,988.00",Harry Fairclough Limited
Manchester City Council,Chief Executives,Occupational Health services,02.05.2012,1903127603,719.6,Healthwork Ltd
Manchester City Council,Childrens Services,Legal Fees,02.05.2012,1903127569,"8,475.00",HMCTS (Manchester County Court)
Manchester City Council,Childrens Services,Legal Fees,02.05.2012,1903127569,"7,420.00",HMCTS (Manchester County Court)
Manchester City Council,Childrens Services,Legal Fees,02.05.2012,1903127569,"6,395.00",HMCTS (Manchester County Court)
Manchester City Council,Childrens Services,Legal Fees,02.05.2012,1903127569,"6,070.00",HMCTS (Manchester County Court)
Manchester City Council,Childrens Services,Legal Fees,02.05.2012,1903127569,"4,100.00",HMCTS (Manchester County Court)
Manchester City Council,Highways Services,Proffesional fees,02.05.2012,1903118566,"8,250.00",Just Costs Solicitors
Manchester City Council,Manchester Leisure,Proffesional fees,02.05.2012,1903122973,"196,755.06",NBA Properties
Manchester City Council,Manchester Leisure,Proffesional fees,02.05.2012,1903122970,"75,675.02",NBA Properties
Manchester City Council,Manchester Leisure,Proffesional fees,02.05.2012,1903122971,"75,675.02",NBA Properties
Manchester City Council,Childrens Services,Grant and subscriptions awarded,02.05.2012,5100548888,"-1,222.22",N-Gage Project
Manchester City Council,Chief Executives,Agency staff provision,02.05.2012,5100549071,"3,365.68",Northern Employment Services Ltd
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,02.05.2012,5100549113,"25,117.62",NU3PS
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,02.05.2012,5100549111,"13,539.00",NU3PS
Manchester City Council,Adult Social Care,Travel,02.05.2012,5100549107,814.6,R.S.P. Ltd Br Business Systems Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.05.2012,1903127198,556.17,Ralph Livesey Ltd
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,02.05.2012,5100548909,"1,463.08",Redacted Personal Information
Manchester City Council,Regeneration Finance,Proffesional fees,02.05.2012,1903122855,"1,500.00",RIGHT ON COURSE TRAINING
Manchester City Council,Childrens Services,Proffesional fees,02.05.2012,5100549061,946.89,Safehands Network Ltd
Manchester City Council,Chief Executives,Training and Development,02.05.2012,5100548979,"1,560.00",Sap (Uk) Ltd
Manchester City Council,Chief Executives,Training and Development,02.05.2012,5100548981,"1,560.00",Sap (Uk) Ltd
Manchester City Council,Highways Services,Compensation Payments,02.05.2012,1903118599,"10,000.00",Shoosmiths
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,02.05.2012,5100549073,"2,371.55",SIG Roofing Supplies
Manchester City Council,Adult Social Care,Subsistence and Conference Expenses,02.05.2012,5100548914,890,University of Keele
Manchester City Council,Housing Revenue Account,Concessionary Decorating ,02.05.2012,5100548918,"1,030.36",W.H. Morris & Co
Manchester City Council,Insurance Fund,Insurance,02.05.2012,1903109453,"11,587.61",Zurich Municipal
Manchester City Council,Highways Services,Private Finance and Public Private partnership initiatives,03.05.2012,5100549063,"382,645.97",Amey Highways Lighting (Manchester)
Manchester City Council,Highways Services,Private Finance and Public Private partnership initiatives,03.05.2012,5100549063,"205,172.31",Amey Highways Lighting (Manchester)
Manchester City Council,Hospitality + Trading Services,"Consumable items eg Toilet rolls, soap etc",03.05.2012,1903128459,596.51,Arrow Cleaning and Hygiene
Manchester City Council,Libraries and Theatres,I T Provision,03.05.2012,5100549172,"5,750.00",Axiell Ltd
Manchester City Council,Childrens Services,Home Care ,03.05.2012,5100549487,567.74,Bedspace Resource Ltd
Manchester City Council,Chief Executives,Agency staff provision,03.05.2012,5100549161,"1,365.89",Berkeley Scott Group PLC
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2012,1903128376,544.62,Brake Bros Foodservice Ltd
Manchester City Council,Childrens Services,Advertising,03.05.2012,5100549521,863,British Assoc. For Adoption &
Manchester City Council,Childrens Services,Advertising,03.05.2012,5100549506,699,British Assoc. For Adoption &
Manchester City Council,Adult Social Care,Gas,03.05.2012,1903128176,"1,125.04",British Gas Plc
Manchester City Council,Chief Executives,Agency staff provision,03.05.2012,5100549158,"7,404.38",Bs Project Services Ltd T/A
Manchester City Council,Chief Executives,Landline Telephone,03.05.2012,1903116293,782.05,BT PLC
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,03.05.2012,5100549019,"1,430.40",Burdens Ltd
Manchester City Council,Childrens Services,Building Works,03.05.2012,5100549051,"-7,597.00",Capita IT Services (BSF) Limited
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,03.05.2012,5100548776,"11,983.93",Carlton Fuels Ltd
Manchester City Council,Chief Executives,I T Provision,03.05.2012,5100549029,"43,000.00",Computerland Uk Ltd
Manchester City Council,Chief Executives,I T Provision,03.05.2012,5100549127,"43,000.00",Computerland Uk Ltd
Manchester City Council,Chief Executives,I T Provision,03.05.2012,5100549128,"43,000.00",Computerland Uk Ltd
Manchester City Council,Chief Executives,I T Provision,03.05.2012,5100549049,"1,664.44",Computerland Uk Ltd
Manchester City Council,Chief Executives,I T Provision,03.05.2012,5100549124,"-43,000.00",Computerland Uk Ltd
Manchester City Council,Hospitality + Trading Services,Compensation Payments,03.05.2012,1903118506,547,Department For Work & Pensions
Manchester City Council,Manchester Leisure,Equipment,03.05.2012,5100549450,825,E Jordon (Refrigeration) Ltd
Manchester City Council,Childrens Services,Agency staff provision,03.05.2012,5100549201,501.3,Entrust Social Care
Manchester City Council,Chief Executives,Agency staff provision,03.05.2012,5100549201,622.35,Entrust Social Care
Manchester City Council,Adult Social Care,Electricity,03.05.2012,1903128175,571.12,E-On
Manchester City Council,Hospitality + Trading Services,Vehicle Parts/Spares,03.05.2012,5100549244,"1,294.05",F T Factors
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,03.05.2012,5100549245,"21,110.30",F.R.Sharrock Ltd
Manchester City Council,Childrens Services,Home Care ,03.05.2012,5100549505,626.88,Great Places Housing Association
Manchester City Council,Chief Executives,Printing,03.05.2012,5100549001,"4,563.20",Liberty  Services Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.05.2012,5100548865,"52,502.00",Lifeline Project Limited
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.05.2012,5100548851,"17,966.00",Lifeline Project Limited
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.05.2012,5100548857,"12,544.00",Lifeline Project Limited
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.05.2012,5100548852,"6,164.00",Lifeline Project Limited
Manchester City Council,Childrens Services,Grant and subscriptions awarded,03.05.2012,5100549483,"19,960.00",Manchester Foster Care Association
Manchester City Council,Childrens Services,Electricity,03.05.2012,5100549179,"6,508.95",Manchester School Services Limited
Manchester City Council,Chief Executives,Advertising,03.05.2012,5100549319,"2,876.73",MEN Media Ltd
Manchester City Council,Chief Executives,Advertising,03.05.2012,5100549319,"1,611.09",MEN Media Ltd
Manchester City Council,Adult Social Care,Equipment,03.05.2012,5100548970,"5,643.60",Mountway Ltd
Manchester City Council,Childrens Services,Grant and subscriptions awarded,03.05.2012,5100549449,666.67,North West Media Ltd
Manchester City Council,Childrens Services,Grant and subscriptions awarded,03.05.2012,5100549438,-666.67,North West Media Ltd
