Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Childrens Services,Third party payments relating to Voluntary Organisations,01.10.2014,5100747102,"£46,491.16",Barnardo's North West
Manchester City Council,Chief Executives,Mobilephone Charges,01.10.2014,1904323297,"£44,414.08",T-Mobile (UK) Ltd
Manchester City Council,Childrens Services,Payments for services,01.10.2014,5100746956,"£19,319.50",Pure Innovations Ltd
Manchester City Council,Childrens Services,Proffesional fees,01.10.2014,5100747033,"£8,373.73",Birch Community Association
Manchester City Council,Learning Disabilities PB,Rents,01.10.2014,5100746959,"£8,189.98",Great Places Housing Association
Manchester City Council,Chief Executives,Agency staff provision,01.10.2014,5100747097,"£7,200.00",Hays Personnel
Manchester City Council,Childrens Services,Payments for services,01.10.2014,5100746957,"£6,426.00",Ramillies Hall School Ltd
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,01.10.2014,5100747042,"£6,415.00",Redacted Personal Information
Manchester City Council,Childrens Services,Legal Fees,01.10.2014,1904331475,"£6,380.00",HMCTS (Manchester County Court)
Manchester City Council,Childrens Services,Proffesional fees,01.10.2014,5100746981,"£6,050.00",T-Three Public Sector Consulting
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,01.10.2014,5100747064,"£5,773.53",BT PLC
Manchester City Council,Childrens Services,Payments for services,01.10.2014,5100746965,"£5,165.00",Pure Innovations Ltd
Manchester City Council,Chief Executives,Compensation Payments,01.10.2014,1904331475,"£4,720.00",HMCTS (Manchester County Court)
Manchester City Council,Childrens Services,Payments for services,01.10.2014,5100746963,"£4,605.00",Pure Innovations Ltd
Manchester City Council,Childrens Services,Legal Fees,01.10.2014,1904331475,"£4,325.00",HMCTS (Manchester County Court)
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,01.10.2014,5100747089,"£3,969.86",Killgerm Chemicals Ltd
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,01.10.2014,5100747056,"£3,925.00",Birch Community Association
Manchester City Council,Hospitality + Trading Services,Agency staff provision,01.10.2014,5100747092,"£3,406.80",Hays Personnel
Manchester City Council,Childrens Services,Supported Accommodation,01.10.2014,5100746970,"£3,400.00",Future Horizons
Manchester City Council,Childrens Services,Supported Accommodation,01.10.2014,5100746971,"£3,000.00",Future Horizons
Manchester City Council,Childrens Services,Rents,01.10.2014,5100747048,"£2,804.17",Brighter Beginnings (Cheetham)
Manchester City Council,Childrens Services,Legal Fees,01.10.2014,1904331475,"£2,665.00",HMCTS (Manchester County Court)
Manchester City Council,Chief Executives,Agency staff provision,01.10.2014,5100747096,"£1,720.00",Hays Personnel
Manchester City Council,Childrens Services,Contract Cleaning External,01.10.2014,5100747057,"£1,575.00",Brighter Beginnings (Cheetham)
Manchester City Council,Childrens Services,Contract Cleaning External,01.10.2014,5100747059,"£1,566.00",Brighter Beginnings (Cheetham)
Manchester City Council,Childrens Services,Grant and subscriptions awarded,01.10.2014,5100747081,"£1,350.00",The National Youth Agency
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2014,1904331211,"£1,294.43",Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2014,1904331210,"£1,221.70",Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2014,1904331495,"£1,054.35",Brake Bros Foodservice Ltd
Manchester City Council,Childrens Services,Payments for services,01.10.2014,5100746958,£960.00,Ramillies Hall School Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2014,1904331222,£937.96,Brake Bros Foodservice Ltd
Manchester City Council,Adult Social Care,Agency staff provision,01.10.2014,5100746982,£916.30,Semester Recruitment Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2014,1904331220,£879.77,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2014,1904331218,£850.76,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2014,1904331221,£841.60,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Goods purchased for resale in Council outlets,01.10.2014,5100747075,£800.30,Treasured Memories Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2014,1904331500,£777.03,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,01.10.2014,5100747250,£730.15,Arco Group Ltd
Manchester City Council,Regeneration Finance,Agency staff provision,01.10.2014,5100747093,£724.13,Hays Personnel
Manchester City Council,Manchester Leisure,Equipment,01.10.2014,5100746962,£716.00,Abel Alarm Company Ltd
Manchester City Council,Adult Social Care,Agency staff provision,01.10.2014,5100746986,£712.60,Semester Recruitment Ltd
Manchester City Council,Adult Social Care,Agency staff provision,01.10.2014,5100746987,£712.60,Semester Recruitment Ltd
Manchester City Council,Childrens Services,Rents,01.10.2014,5100747055,£708.33,Brighter Beginnings (Cheetham)
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2014,1904331083,£614.76,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2014,1904331234,£584.81,Brake Bros Foodservice Ltd
Manchester City Council,Corporate Services,Fees,01.10.2014,5100747082,£570.00,Pannone Corporate LLP
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2014,1904331057,£542.04,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2014,1904331157,£540.86,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2014,1904331587,£504.91,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2014,1904331143,£502.85,Brake Bros Foodservice Ltd
Manchester City Council,Adult Social Care,Proffesional fees,01.10.2014,1904326280,£500.00,Redacted Personal Information
Manchester City Council,Chief Executives,Publications,01.10.2014,1904331550,£500.00,GOOGLE
Manchester City Council,Chief Executives,Hospitality,01.10.2014,1904326019,£500.00,MCC Lord Mayor's Office FAD 009422
Manchester City Council,Corporate Services,Fees,01.10.2014,5100747077,-£570.00,Pannone Corporate LLP
Manchester City Council,Adult Social Care,Third party payments to Health Authority,02.10.2014,5100747157,"£137,260.67",University Hospital of South Mcr
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,02.10.2014,1904331480,"£68,345.00",V J Donegan & Co Limited
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.10.2014,1904332704,"£64,423.84",Ralph Livesey Ltd
Manchester City Council,Childrens Services,Transport Coach Hire,02.10.2014,5100747211,"£43,546.50",Communitytransportservices.co.uk
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,02.10.2014,5100747299,"£42,955.32",Manchester Van Hire Ltd
Manchester City Council,Childrens Services,Transport Coach Hire,02.10.2014,5100747215,"£37,323.00",Communitytransportservices.co.uk
Manchester City Council,Childrens Services,Transport Coach Hire,02.10.2014,5100747226,"£29,898.00",APTSL
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,02.10.2014,5100747298,"£29,540.20",Specialist Vehicle rental
Manchester City Council,Manchester Leisure,Security,02.10.2014,5100747471,"£22,720.83",Community Security (North West)
Manchester City Council,Corporate Services,External repairs and maintenance for buildings,02.10.2014,5100747173,"£13,780.89",Manchester Working Ltd
Manchester City Council,Childrens Services,Supported Accommodation,02.10.2014,5100747189,"£12,471.43",Next Step Care Management Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Costs,02.10.2014,5100747514,"£10,983.00",Stapletons Tyre Services
Manchester City Council,Childrens Services,Payments for services,02.10.2014,5100747180,"£10,895.67",Royal Nat. College for the Blind
Manchester City Council,Childrens Services,Payments for services,02.10.2014,5100747175,"£10,483.33",Royal Nat. College for the Blind
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,02.10.2014,5100747225,"£7,835.12",G & A Taylor Hotels Ltd
Manchester City Council,Manchester Leisure,Proffesional fees,02.10.2014,5100746979,"£6,499.00",Clearview Event Services Limited
Manchester City Council,Manchester Leisure,Equipment,02.10.2014,5100747130,"£6,055.00",Planned Maintenance (Pennine) Ltd
Manchester City Council,Adult Social Care,Rents,02.10.2014,5100747252,"£5,249.04",B & A Properties
Manchester City Council,Childrens Services,Third party payments relating to Voluntary Organisations,02.10.2014,5100747320,"£5,130.00",Community Minded Ltd
Manchester City Council,Hospitality + Trading Services,Equipment,02.10.2014,5100747206,"£4,507.98",Technology Solutions Ltd
Manchester City Council,Chief Executives,CAMC/Not assigned,02.10.2014,5100747174,"£4,017.24",Trinity Mirror NW2 Ltd
Manchester City Council,Childrens Services,Payments for services,02.10.2014,5100747178,"£3,992.25",Cumberland & Westmorland
Manchester City Council,Adult Social Care,Payments for services,02.10.2014,5100747159,"£3,991.00",Priory Healthcare Limited
Manchester City Council,Housing General Fund,Building Works,02.10.2014,1904331477,"£3,695.00",Carebase
Manchester City Council,Chief Executives,CAMC/Not assigned,02.10.2014,5100747133,"£3,600.00",Bay Media
Manchester City Council,Chief Executives,CAMC/Not assigned,02.10.2014,5100747194,"£3,312.65",Trinity Mirror NW2 Ltd
Manchester City Council,Hospitality + Trading Services,Compensation Payments,02.10.2014,1904331248,"£3,000.00",Redacted Personal Information
Manchester City Council,Childrens Services,Security,02.10.2014,5100747230,"£2,906.48",Chubb Systems Ltd
Manchester City Council,Chief Executives,CAMC/Not assigned,02.10.2014,5100747174,"£2,668.93",Trinity Mirror NW2 Ltd
Manchester City Council,Childrens Services,External repairs and maintenance for buildings,02.10.2014,5100747014,"£2,421.00",Manchester Working Ltd
Manchester City Council,Hospitality + Trading Services,ClothsUniformLaundry,02.10.2014,5100747236,"£2,332.88",Arco Group Ltd
Manchester City Council,Manchester Leisure,Rents,02.10.2014,5100747171,"£2,132.86",The East Manchester Academy
Manchester City Council,Childrens Services,Payments for services,02.10.2014,5100747176,"£1,650.00",KS1/2 Bridgelea PRU
Manchester City Council,Adult Social Care,Equipment,02.10.2014,5100729111,"£1,604.00",Aidapt Bathrooms Ltd
Manchester City Council,Childrens Services,Training and Development,02.10.2014,5100747181,"£1,500.00",I Can Charity
