Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Equipment,03.09.2012,5100577121,"£3,400.00",Manchester United Football Club Pub
Manchester City Council,Manchester Leisure,Improvements Expendi,03.09.2012,1903297299,"£5,215.70",GREEN MONSTER ARTS
Manchester City Council,Manchester Leisure,Proffesional fees,03.09.2012,5100577140,"£1,522.50",W S Education
Manchester City Council,Manchester Leisure,Proffesional fees,03.09.2012,5100577145,"£1,522.50",W S Education
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.09.2012,1903297957,£701.68,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.09.2012,1903297928,£670.20,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.09.2012,1903297933,£607.97,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.09.2012,1903297947,£503.45,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Equipment,03.09.2012,5100577168,£550.00,Norton Hiab Services Ltd
Manchester City Council,Hospitality + Trading Services,Equipment,03.09.2012,5100577170,£550.00,Norton Hiab Services Ltd
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,03.09.2012,5100577095,"£3,009.60",Instarmac Group Ltd
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,03.09.2012,5100577093,£748.80,Instarmac Group Ltd
Manchester City Council,Hospitality + Trading Services,Refuse Collection,03.09.2012,5100577088,£793.80,Hadfield Wood Recyclers
Manchester City Council,Hospitality + Trading Services,Refuse Collection,03.09.2012,5100577086,£579.00,Hadfield Wood Recyclers
Manchester City Council,Hospitality + Trading Services,Refuse Collection,03.09.2012,5100577077,£567.67,G.G. Rentals Ltd
Manchester City Council,Hospitality + Trading Services,Rents,03.09.2012,1903267362,"£3,989.61",Danish UK Property Management Ltd
Manchester City Council,Hospitality + Trading Services,Rodent &Pest Control,03.09.2012,5100577182,£900.00,Pestproof Ltd
Manchester City Council,Environment and Operations,Agency staff provision,03.09.2012,5100577096,£847.00,Interaction Recruitment
