Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Insurance Fund,Bal of Rsk InsPrem,01.09.2014,1904252271,"£2,681.94",Irk Valley Community School
Manchester City Council,Insurance Fund,Bal of Rsk InsPrem,01.09.2014,1904261127,£572.08,St Lukes C.E.Primary School
Manchester City Council,Insurance Fund,Bal of Rsk InsPrem,01.09.2014,1904260220,"£3,483.13",All Saints Primary School (Gorton)
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,01.09.2014,1904287933,£646.40,Ecomix Concrete Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,01.09.2014,1904287935,£525.20,Ecomix Concrete Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.09.2014,1904287902,£907.54,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.09.2014,1904287914,£841.19,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.09.2014,1904287923,£515.77,Brake Bros Foodservice Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,01.09.2014,5100740913,"£2,389.19",Wrekin Windows
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,01.09.2014,5100740916,£884.48,Wrekin Windows
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,01.09.2014,5100740936,£865.88,SIG Roofing Supplies
Manchester City Council,Hospitality + Trading Services,External repairs and maintenance for buildings,01.09.2014,5100740865,"£4,398.10",Amtoll Ltd
Manchester City Council,Hospitality + Trading Services,External repairs and maintenance for buildings,01.09.2014,5100740870,"£2,374.30",Amtoll Ltd
Manchester City Council,Adult Social Care,Extra Care Sheltd HP,01.09.2014,5100740961,"£19,423.92",Homecare Support
Manchester City Council,Corporate Services,Fees,01.09.2014,1904285372,"£35,684.45",Marston Group Limited
Manchester City Council,Corporate Services,Fees,01.09.2014,1904286101,"£16,902.11",Marston Group Limited
Manchester City Council,Corporate Services,Fees,01.09.2014,1904286101,"-£16,902.11",Marston Group Limited
Manchester City Council,Corporate Services,Fees,01.09.2014,1904285372,"-£35,684.45",Marston Group Limited
Manchester City Council,Corporate Services,Fees,01.09.2014,1904276994,"£1,132.00",Equita Ltd
Manchester City Council,Corporate Services,Fees,01.09.2014,1904233776,"£26,299.37",Rossendales Ltd
Manchester City Council,Corporate Services,Fees,01.09.2014,1904285951,"£1,036.60",Rossendales Ltd
Manchester City Council,Corporate Services,Fees,01.09.2014,1904233777,£743.00,Rossendales Ltd
Manchester City Council,Corporate Services,Fees,01.09.2014,1904233777,-£743.00,Rossendales Ltd
Manchester City Council,Corporate Services,Fees,01.09.2014,1904285951,"-£1,036.60",Rossendales Ltd
Manchester City Council,Corporate Services,Fees,01.09.2014,1904233776,"-£26,299.37",Rossendales Ltd
Manchester City Council,Corporate Services,Fees,01.09.2014,1904277824,"£1,007.10",Bristow & Sutor
Manchester City Council,Corporate Services,Fees,01.09.2014,1904277824,"-£1,007.10",Bristow & Sutor
Manchester City Council,Adult Social Care,Furniture,01.09.2014,5100741158,"£1,164.57",The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,01.09.2014,5100741133,"£1,052.60",The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,01.09.2014,5100741122,£984.23,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,01.09.2014,5100741117,£912.47,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,01.09.2014,5100741155,£897.04,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,01.09.2014,5100741127,£878.56,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,01.09.2014,5100741114,£805.68,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,01.09.2014,5100741184,£805.68,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,01.09.2014,5100741149,£782.20,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,01.09.2014,5100741137,£715.76,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,01.09.2014,5100741152,£701.50,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,01.09.2014,5100741128,£651.93,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,01.09.2014,5100741132,£651.93,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,01.09.2014,5100741147,£651.93,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,01.09.2014,5100741148,£651.93,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,01.09.2014,5100741120,£611.58,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,01.09.2014,5100741154,£600.95,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,01.09.2014,5100741129,£593.68,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,Furniture,01.09.2014,5100741157,"-£1,164.57",The Furnishing Service Ltd
Manchester City Council,Regeneration Finance,I T Provision,01.09.2014,5100740841,£884.17,Computerland Uk Ltd
Manchester City Council,Insurance Fund,Insurance,01.09.2014,1904250285,"£26,286.25",Peasegoods
Manchester City Council,Insurance Fund,Insurance,01.09.2014,5100740805,£500.00,Redacted Personal Information
Manchester City Council,Insurance Fund,Insurance,01.09.2014,1904243005,"£17,940.23",Thompsons Solicitors
Manchester City Council,Insurance Fund,Insurance,01.09.2014,1904277811,"£15,760.00",Binas Solicitors
Manchester City Council,Insurance Fund,Insurance,01.09.2014,1904287361,"£10,000.00",Dac Beachcroft Claims Limited
Manchester City Council,Insurance Fund,Insurance,01.09.2014,1904259730,"£7,835.00",Grindeys
Manchester City Council,Insurance Fund,Insurance,01.09.2014,1904261901,"£3,750.00",Slater and Gordon
