Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Hospitality + Trading Services,Electricity,01.04.2021,1907193117,"£1,773.66",Npower
Manchester City Council,Childrens & Education Services,Electricity,01.04.2021,1907193103,£849.99,Npower
Manchester City Council,Adult Social Care,Electricity,01.04.2021,1907193116,"£1,476.97",Npower
Manchester City Council,Corporate Services,Electricity,01.04.2021,1907193115,"£2,885.27",Npower
Manchester City Council,Corporate Services,Electricity,01.04.2021,1907193108,£799.25,Npower
Manchester City Council,Corporate Services,Electricity,01.04.2021,1907193107,£743.54,Npower
Manchester City Council,Corporate Services,Electricity,01.04.2021,1907193119,£704.03,Npower
Manchester City Council,Corporate Services,Electricity,01.04.2021,1700116890,-£689.70,Npower
Manchester City Council,Corporate Services,Electricity,01.04.2021,1700116889,-£750.95,Npower
Manchester City Council,Regeneration Finance,Electricity,01.04.2021,1907193109,"£2,955.02",Npower
Manchester City Council,Regeneration Finance,Electricity,01.04.2021,1907193111,"£2,844.44",Npower
Manchester City Council,Regeneration Finance,Electricity,01.04.2021,1907193110,"£1,727.54",Npower
Manchester City Council,Regeneration Finance,Electricity,01.04.2021,1907193104,"£1,452.52",Npower
Manchester City Council,Regeneration Finance,Electricity,01.04.2021,1907193105,"£1,381.50",Npower
Manchester City Council,Regeneration Finance,Electricity,01.04.2021,1907193106,£995.91,Npower
Manchester City Council,Regeneration Finance,Electricity,01.04.2021,1907193102,£785.45,Npower
Manchester City Council,Regeneration Finance,Electricity,01.04.2021,1700116886,-£830.15,Npower
Manchester City Council,Regeneration Finance,Electricity,01.04.2021,1700116888,-£978.49,Npower
Manchester City Council,Regeneration Finance,Electricity,01.04.2021,1700116887,"-£1,306.49",Npower
Manchester City Council,Regeneration Finance,Electricity,01.04.2021,1700116891,"-£1,668.68",Npower
Manchester City Council,Regeneration Finance,Electricity,01.04.2021,1700116892,"-£2,914.50",Npower
Manchester City Council,Corporate Services,Rents,01.04.2021,1907174343,"£2,880.90",Savills (UK) Ltd
Manchester City Council,Adult Social Care,Security,01.04.2021,5101127352,"£2,142.00",UNIQUE SPECIALIST SERVICES
Manchester City Council,Adult Social Care,Security,01.04.2021,5101127349,"£1,071.00",UNIQUE SPECIALIST SERVICES
Manchester City Council,Highways Services,Payments to Sub-Contractors,01.04.2021,5101127329,"£13,052.34",Rosgal Ltd
Manchester City Council,Highways Services,Payments to Sub-Contractors,01.04.2021,5101127324,"-£3,330.00",Utilities Design & Planning Ltd
Manchester City Council,Manchester Leisure,Recycling Facilities,01.04.2021,5101127386,"£37,358.00",Redgate Holdings Ltd
Manchester City Council,Chief Executives,Stationery,01.04.2021,5101127364,"£3,543.00",Banner Group Limited
Manchester City Council,Manchester Leisure,Professional fees,01.04.2021,5101127361,"£2,918.15",Bury M.B.C.
Manchester City Council,Manchester Leisure,Professional fees,01.04.2021,1907191843,"£1,075.68",Swan Films Ltd
Manchester City Council,Childrens & Education Services,Professional fees,01.04.2021,1906824797,£812.50,Redacted Personal Information
Manchester City Council,Adult Social Care,Professional fees,01.04.2021,5101127345,"£8,750.00",The Children'S Society Services Ltd
Manchester City Council,Adult Social Care,Professional fees,01.04.2021,1700116898,"-£24,826.67",Victoria Warehouse Hotel
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,01.04.2021,5101127347,"£18,310.00",Common Practices Ltd
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,01.04.2021,1907147005,"£18,310.00",Common Practices Ltd
Manchester City Council,Highways Services,Purchase of stores for re-distribution,01.04.2021,5101127370,£667.52,Benchmark Building Supplies Ltd
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,01.04.2021,5101127343,"£37,221.25",The Children'S Society Services Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.04.2021,5101127334,"£13,974.02",Breakthrough Uk Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.04.2021,5101127334,"£3,516.00",Breakthrough Uk Ltd
Manchester City Council,Adult Social Care,Housing Rents Debit,01.04.2021,1700116897,"-£3,493.87",Redacted Personal Information
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,01.04.2021,5101127332,"£16,682.69",Seddon Construction Ltd
Manchester City Council,Childrens & Education Services,Training and Development,06.04.2021,5101127658,"£3,300.00",University Of Birmingham
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,06.04.2021,1907193803,"£2,612.03",Savills (UK) Ltd
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,06.04.2021,5101127631,"£14,011.00",Laing O'Rourke Construction Ltd
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,06.04.2021,5101127330,"£3,618.54",SWARCO Traffic Ltd
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,06.04.2021,5101127631,"£3,144.05",Laing O'Rourke Construction Ltd
Manchester City Council,Housing Revenue Account,Responsive Repairs Work,06.04.2021,1907114920,£881.27,Northwards Housing Limited
Manchester City Council,Regeneration Finance,Gas,06.04.2021,1907159437,"£1,827.41",APAM Limited
Manchester City Council,Hospitality + Trading Services,Rents,06.04.2021,1907193870,"£2,068.66",St Modwen Corporate Services Ltd
Manchester City Council,Adult Social Care,Rents,06.04.2021,1907193923,"£3,600.00",1ST PREMIER PROPERTIES
Manchester City Council,Regeneration Finance,Rents,06.04.2021,1907163456,"£46,641.92",DUK Property Management Ltd
Manchester City Council,Regeneration Finance,Rents,06.04.2021,1907177309,"£10,909.50",The Arch Company Properties Ltd
Manchester City Council,Regeneration Finance,Rents,06.04.2021,1907193675,"£7,309.12",Regus Management (UK) Ltd
Manchester City Council,Regeneration Finance,Rents,06.04.2021,1906903166,"£3,229.92",Tesco (Rent Only)
Manchester City Council,Regeneration Finance,Rents,06.04.2021,1700116901,"-£46,641.92",DUK Property Management Ltd
Manchester City Council,Childrens & Education Services,Contract Cleaning External,06.04.2021,5101127408,"£6,142.50",Tiddlywinks Nursery-Clayton No.4 Ac
Manchester City Council,Regeneration Finance,Window Cleaning,06.04.2021,5101127513,£760.00,Ferguson Cleaning Services LLP
Manchester City Council,Manchester Leisure,Refuse Collection,06.04.2021,5101127390,"£34,355.50",Redgate Holdings Ltd
Manchester City Council,Hospitality + Trading Services,Refuse Collection,06.04.2021,5101127407,"£1,200.00",Fairfield Environmental Serv Ltd
Manchester City Council,Manchester Leisure,Cleaning Equipment and Materials,06.04.2021,5101127393,"£12,817.90",Redgate Holdings Ltd
Manchester City Council,Regeneration Finance,Security,06.04.2021,5101127597,"£9,000.00",Ridge Park Security Ltd
Manchester City Council,Regeneration Finance,Security,06.04.2021,5101127829,£515.00,Community Security (North West)
Manchester City Council,Manchester Leisure,Grounds Maintenance Costs,06.04.2021,5101127392,"£45,617.90",Redgate Holdings Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,06.04.2021,5101127398,"£9,771.82",Standard Fuels Oils
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,06.04.2021,5101127397,"£9,743.68",Standard Fuels Oils
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,06.04.2021,5101127429,£627.03,Standard Fuels Oils
Manchester City Council,Childrens & Education Services,Transport Coach Hire,06.04.2021,5101127607,"£5,751.00",AA Buses
Manchester City Council,Childrens & Education Services,Transport Coach Hire,06.04.2021,5101127711,£842.00,Cresta Car Hire
Manchester City Council,Childrens & Education Services,Transport Coach Hire,06.04.2021,5101127696,£735.00,Cresta Car Hire
Manchester City Council,Childrens & Education Services,Transport Coach Hire,06.04.2021,5101127700,£615.00,Cresta Car Hire
