Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Childrens & Education Services,Transport Coach Hire,03.08.2020,5101096262,"£19,351.00",M Travel
Manchester City Council,Childrens & Education Services,CORONA VIRUS D-19,03.08.2020,5101096248,"£7,680.00",Galaxy Transport (Manchester) Ltd
Manchester City Council,Childrens & Education Services,Payments for services,03.08.2020,5101096277,"£1,077.60",Fairfield Care Ltd
Manchester City Council,Adult Social Care,Payments for services,03.08.2020,5101096278,"£8,956.46",Age Concern Manchester
Manchester City Council,Adult Social Care,Payments for services,03.08.2020,5101096278,"£4,809.62",Age Concern Manchester
Manchester City Council,Chief Executives,Agency staff provision,03.08.2020,5101096257,"£1,944.00",Ashberry Recruitment Ltd
Manchester City Council,Highways Services,Building Materials for direct delivery,03.08.2020,5101096259,£653.20,Aggregate Industries T/A Kennedy As
Manchester City Council,Highways Services,Building Materials for direct delivery,03.08.2020,5101096260,£652.00,Aggregate Industries T/A Kennedy As
Manchester City Council,Highways Services,Building Materials for direct delivery,03.08.2020,5101096261,£648.40,Aggregate Industries T/A Kennedy As
Manchester City Council,Highways Services,Building Materials for direct delivery,03.08.2020,5101096258,£575.70,Aggregate Industries T/A Kennedy As
Manchester City Council,Highways Services,Building Materials for direct delivery,03.08.2020,5101096253,£524.00,Aggregate Industries T/A Kennedy As
Manchester City Council,Highways Services,Building Materials for direct delivery,03.08.2020,5101096254,£517.20,Aggregate Industries T/A Kennedy As
Manchester City Council,Manchester Leisure,Grounds Maintenance Costs,04.08.2020,5101096340,"£1,820.00",Groundwork Landscapes Ltd
Manchester City Council,Manchester Leisure,"Consumable items eg Toilet rolls, soap etc",04.08.2020,1906943362,"£1,750.00",PAYPAL (UK) P CARD ONLY
Manchester City Council,Manchester Leisure,"Consumable items eg Toilet rolls, soap etc",04.08.2020,1906943363,"£1,020.69",CASS ART
Manchester City Council,Manchester Leisure,"Consumable items eg Toilet rolls, soap etc",04.08.2020,1906942521,£534.00,NIELSEN UK
Manchester City Council,Manchester Leisure,Professional fees,04.08.2020,5101096372,"£1,071.60",Redacted Personal Information
Manchester City Council,Manchester Leisure,Testing Fees,04.08.2020,5101096322,£650.00,County Scientific Services
Manchester City Council,Manchester Leisure,Library Materials Acquisition,04.08.2020,1906942526,£544.91,Amazon Co.Uk
Manchester City Council,Manchester Leisure,Library Materials Acquisition,04.08.2020,1700105456,-£544.91,Amazon Co.Uk
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,04.08.2020,1906943203,£562.86,WILMAT LTD
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,04.08.2020,5101096420,"£3,156.82",Manchester Van Hire Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,04.08.2020,5101096417,"£2,320.44",Manchester Van Hire Ltd
Manchester City Council,Hospitality + Trading Services,Equipment,04.08.2020,1906943204,"£3,653.29",Stapletons Tyre Services
Manchester City Council,Hospitality + Trading Services,Equipment,04.08.2020,1906943068,"£2,707.95",Stapletons Tyre Services
Manchester City Council,Hospitality + Trading Services,"Consumable items eg Toilet rolls, soap etc",04.08.2020,1906942622,£600.00,British Pest Control Association
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,04.08.2020,1906943119,"£1,707.43",WWW.TARMAC.COM
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,04.08.2020,1906943120,£854.19,WWW.TARMAC.COM
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,04.08.2020,5101096398,£598.60,Killgerm Chemicals Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,04.08.2020,1906943178,£565.20,TELESHORE GROUP
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,04.08.2020,5101096415,"£34,876.74",Manchester Van Hire Ltd
Manchester City Council,Childrens & Education Services,"Consumable items eg Toilet rolls, soap etc",04.08.2020,1906942562,£539.58,Amazon Co.Uk
Manchester City Council,Childrens & Education Services,General Office expenses,04.08.2020,1906942685,£976.56,EE / Orange
Manchester City Council,Childrens & Education Services,General Office expenses,04.08.2020,1906943041,£933.17,EE / Orange
Manchester City Council,Childrens & Education Services,General Office expenses,04.08.2020,1906943086,£799.96,Argos Business Solutions
Manchester City Council,Childrens & Education Services,General Office expenses,04.08.2020,1906942961,£704.97,Argos Business Solutions
Manchester City Council,Childrens & Education Services,General Office expenses,04.08.2020,1906943025,£629.97,Amazon Co.Uk
Manchester City Council,Childrens & Education Services,General Office expenses,04.08.2020,1906943088,£600.00,PAY SMART CARPETS LTD
Manchester City Council,Childrens & Education Services,General Office expenses,04.08.2020,1906942915,£525.95,Argos Business Solutions
Manchester City Council,Childrens & Education Services,General Office expenses,04.08.2020,1906942678,£525.00,ALLPAY *TRAFFORD HOUSING
Manchester City Council,Childrens & Education Services,Professional fees,04.08.2020,1906941875,"£14,500.00",Redacted Personal Information
Manchester City Council,Childrens & Education Services,Professional fees,04.08.2020,5101096299,"£8,413.50",Redacted Personal Information
Manchester City Council,Childrens & Education Services,Professional fees,04.08.2020,5101096301,"£8,124.20",Redacted Personal Information
Manchester City Council,Childrens & Education Services,Professional fees,04.08.2020,5101096300,"£3,771.00",Redacted Personal Information
Manchester City Council,Childrens & Education Services,Professional fees,04.08.2020,1906929681,"£3,700.00",Redacted Personal Information
