Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Childrens & Education Services,General Payments not otherwise categorised,02.08.2021,5105770691,"£4,040.36",Cheshire East Borough Council
Manchester City Council,Childrens & Education Services,General Payments not otherwise categorised,02.08.2021,5105770692,"£2,503.14",Cheshire East Borough Council
Manchester City Council,Childrens & Education Services,General Payments not otherwise categorised,02.08.2021,5105770693,"£2,503.14",Cheshire East Borough Council
Manchester City Council,Childrens & Education Services,General Payments not otherwise categorised,02.08.2021,5105770694,"£2,503.14",Cheshire East Borough Council
Manchester City Council,Childrens & Education Services,General Payments not otherwise categorised,02.08.2021,5105770695,"£2,063.93",Cheshire East Borough Council
Manchester City Council,Adult Social Care,Rents,02.08.2021,5105770702,"£5,095.95",Riverside ECHG
Manchester City Council,Adult Social Care,Rents,02.08.2021,5105770703,"£2,734.87",Riverside ECHG
Manchester City Council,Childrens & Education Services,Contract Cleaning External,02.08.2021,5105770688,£638.00,Freshwave Cleaning Services Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,02.08.2021,5105770757,£579.20,Standard Fuels Oils
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,02.08.2021,5105770696,"£71,261.54",Winners Contract Hire Ltd
Manchester City Council,Manchester Leisure,Equipment,02.08.2021,5105770718,"£2,500.00",Durham Foundry (Sheffield) Ltd
Manchester City Council,Chief Executives,Payments to Sub-Contractors,02.08.2021,5105770751,"£1,084.63",Redacted Personal Information
Manchester City Council,Chief Executives,Payments to Sub-Contractors,02.08.2021,5105770748,£536.95,Redacted Personal Information
Manchester City Council,Highways Services,Payments to Sub-Contractors,02.08.2021,1907307198,£657.53,Redacted Personal Information
Manchester City Council,Highways Services,Hire of Machinery,02.08.2021,5105770704,£550.00,MTK Breaker Hire and Sales Ltd
Manchester City Council,Highways Services,Hire of Equipment,02.08.2021,5105770704,£770.00,MTK Breaker Hire and Sales Ltd
Manchester City Council,Chief Executives,Printing,02.08.2021,5105770831,"£1,070.00",Astra Signs
Manchester City Council,Manchester Leisure,Professional fees,02.08.2021,5105770756,"£2,784.64",Redacted Personal Information
Manchester City Council,Manchester Leisure,Professional fees,02.08.2021,1907308182,"£12,187.00",M.E.E.N
Manchester City Council,Manchester Leisure,Professional fees,02.08.2021,1907308183,"£11,060.00",Redacted Personal Information
Manchester City Council,Manchester Leisure,Professional fees,02.08.2021,5105770761,£552.74,Redacted Personal Information
Manchester City Council,Manchester Leisure,Professional fees,02.08.2021,5105770723,£500.00,Redacted Personal Information
Manchester City Council,Childrens & Education Services,Professional fees,02.08.2021,5105770701,£950.00,Hollinshead Education Consultancy
