Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Professional fees,02.12.2019,5101061167,"£4,833.20",Experian Limited
Manchester City Council,Manchester Leisure,Professional fees,02.12.2019,5101061140,"£1,950.00",Redgate Holdings Ltd
Manchester City Council,Manchester Leisure,Professional fees,02.12.2019,5101061140,"£1,650.00",Redgate Holdings Ltd
Manchester City Council,Manchester Leisure,Special Events,02.12.2019,1906682771,"£1,200.00",Robert Blezard Electrical Con Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,02.12.2019,5101061122,"£14,226.03",Carlton Fuels Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,02.12.2019,5101061123,"£13,314.68",Carlton Fuels Ltd
Manchester City Council,Hospitality + Trading Services,Professional fees,02.12.2019,5101061226,-£500.00,Cushman & Wakefield
Manchester City Council,Adult Social Care,Training and Development,02.12.2019,5101061129,£750.00,Manchester Metropolitan University
Manchester City Council,Adult Social Care,Training and Development,02.12.2019,5101061130,£750.00,Manchester Metropolitan University
Manchester City Council,Adult Social Care,Training and Development,02.12.2019,5101061134,£750.00,Manchester Metropolitan University
Manchester City Council,Adult Social Care,Rates,02.12.2019,5101061162,£890.27,Tiddlywinks Day Nursery
Manchester City Council,Adult Social Care,Contract Cleaning External,02.12.2019,5101061081,£538.50,Pro-Kill Environmental Services
Manchester City Council,Adult Social Care,Car Allowance Claims,02.12.2019,1906669844,£650.40,Redacted Personal Information
Manchester City Council,Adult Social Care,Professional fees,02.12.2019,5101061090,£504.00,Cellmark
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,02.12.2019,5101061086,"£1,500.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Payments for services,02.12.2019,5101061065,"£1,042.50",All 4 Pets Limited
Manchester City Council,Adult Social Care,Payments for services,02.12.2019,5101061066,£806.00,All 4 Pets Limited
Manchester City Council,Adult Social Care,Payments for services,02.12.2019,5101061076,£697.50,All 4 Pets Limited
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,02.12.2019,5101061118,"£17,896.55",Cruden Group Ltd
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,02.12.2019,5101061146,"£43,297.77",Cruden Group Ltd
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,02.12.2019,5101061136,"£7,275.20",ISG Construction Limited
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,02.12.2019,5101061114,"£6,764.13",Cruden Group Ltd
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,02.12.2019,5101061125,"£1,830.50",Eversheds Llp
Manchester City Council,Chief Executives,Agency staff provision,02.12.2019,5101061153,"£8,624.00",Pertemps Professional Recruitment L
Manchester City Council,Chief Executives,Agency staff provision,02.12.2019,5101061113,"£5,238.09",Penna PLC
Manchester City Council,Chief Executives,Agency staff provision,02.12.2019,5101061111,"£2,857.14",Penna PLC
Manchester City Council,Chief Executives,Agency staff provision,02.12.2019,5101061150,"£1,902.15",Parity Professionals Ltd
Manchester City Council,Chief Executives,Agency staff provision,02.12.2019,5101061151,"£1,902.15",Parity Professionals Ltd
Manchester City Council,Chief Executives,Advertising,02.12.2019,1906683623,£500.00,Lawyers in Local Government
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061098,£950.00,Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061145,£987.50,Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061147,"£1,856.25",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061110,"£2,033.60",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061112,"£2,661.48",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061121,"£2,675.92",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061094,"£2,812.50",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061135,"£3,201.10",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061142,"£3,648.70",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061138,"£3,770.28",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061109,"£3,784.20",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061108,"£4,579.63",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061133,"£4,820.19",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061104,"£5,259.05",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061101,"£5,737.62",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061124,"£5,838.85",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061097,"£5,879.38",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061103,"£6,879.33",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061115,"£7,508.06",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061131,"£10,450.94",Weightmans LLP Solicitors
Manchester City Council,Chief Executives,Compensation Payments,02.12.2019,5101061093,"£10,887.50",Weightmans LLP Solicitors
Manchester City Council,Regeneration Finance,Subsistence and Conference Expenses,02.12.2019,5101061070,£640.00,Trinity College London
Manchester City Council,Regeneration Finance,Subsistence and Conference Expenses,02.12.2019,1906684270,£500.00,CMS
Manchester City Council,Manchester Leisure,Training and Development,03.12.2019,1906669803,"£1,124.61",Horizon Consultancies Limited
Manchester City Council,Manchester Leisure,Training and Development,03.12.2019,5101061397,"£3,000.00",Manchester Animation Festival Ltd
Manchester City Council,Manchester Leisure,Equipment,03.12.2019,1906684922,"£15,246.83",HILTON MANCHESTER
Manchester City Council,Manchester Leisure,Equipment,03.12.2019,5101061337,£875.00,Willfab Ltd
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,03.12.2019,5101061344,"£5,000.00",Redgate Holdings Ltd
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,03.12.2019,5101061359,"£2,500.00",Redgate Holdings Ltd
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,03.12.2019,5101061291,"£1,800.00",Arboricultural Services Treework
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,03.12.2019,5101061137,£960.00,Redgate Holdings Ltd
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,03.12.2019,5101061292,£800.00,Arboricultural Services Treework
Manchester City Council,Manchester Leisure,Hire of Equipment,03.12.2019,5101061161,"£8,000.00",dbnAudile Limited
