Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,"Consumable items eg Toilet rolls, soap etc",01.12.2020,5101112205,£500.00,David A.Wilcock Hauliers & Agricult
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,01.12.2020,5101112257,"£13,000.00",Arboricultural Services Treework
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,01.12.2020,5101112256,"£9,000.00",Arboricultural Services Treework
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,01.12.2020,5101112210,"£10,426.94",Seddon Construction Ltd
Manchester City Council,Childrens & Education Services,Transport Coach Hire,01.12.2020,5101112221,"£1,003.20",Westfield Minibuses
Manchester City Council,Childrens & Education Services,Transport Coach Hire,01.12.2020,5101112224,"£1,003.20",Westfield Minibuses
Manchester City Council,Childrens & Education Services,Transport Coach Hire,01.12.2020,5101112229,£775.20,Westfield Minibuses
Manchester City Council,Childrens & Education Services,Transport Coach Hire,01.12.2020,5101112228,£684.00,Westfield Minibuses
Manchester City Council,Childrens & Education Services,Transport Coach Hire,01.12.2020,5101112219,£592.80,Westfield Minibuses
Manchester City Council,Childrens & Education Services,Transport Coach Hire,01.12.2020,5101112218,£547.20,Westfield Minibuses
Manchester City Council,Adult Social Care,Rents,01.12.2020,1907054776,"£2,919.06",MCKOM SOLUTIONS LTD
Manchester City Council,Adult Social Care,Rents,01.12.2020,1907054775,"£3,035.05",CAMEOLORD LTD
Manchester City Council,Adult Social Care,Equipment,01.12.2020,5101112262,"£1,413.22",Sarabec Limited
Manchester City Council,Adult Social Care,Equipment,01.12.2020,5101112268,"£2,215.00",Invacare Limited
Manchester City Council,Adult Social Care,Equipment,01.12.2020,5101112272,"-£2,215.00",Invacare Limited
Manchester City Council,Adult Social Care,Equipment,01.12.2020,5101112264,£534.00,Bentley Fielden Ltd
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.12.2020,5101112207,"£13,496.43",Redacted Personal Information
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.12.2020,5101112258,"£28,639.42",Redacted Personal Information
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.12.2020,5101112278,"£13,782.14",Breakthrough Uk Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.12.2020,5101112278,"£3,707.88",Breakthrough Uk Ltd
Manchester City Council,Adult Social Care,Supporting People Payments,01.12.2020,5101112206,"£10,817.58",Richmond Fellowship
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,01.12.2020,5101112203,"£15,277.44",Rothwell Plumbing Services Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,01.12.2020,5101112204,"£3,687.62",Rothwell Plumbing Services Ltd
