Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,01.12.2021,5105788808,"£4,490.00",Groundwork Landscapes Ltd,,,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,01.12.2021,5105788809,"£1,830.00",Groundwork Landscapes Ltd,,,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,01.12.2021,5105788807,£600.00,Groundwork Landscapes Ltd,,,,
Manchester City Council,Manchester Leisure,Grant Payments,01.12.2021,5105788756,"£5,500.00",Bolton at Home,,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,01.12.2021,5105788985,"£1,691.43",Manchester Van Hire Ltd,,,,
Manchester City Council,Childrens & Education Services,Professional fees,01.12.2021,5105788774,"-£1,906.25",Warwickshire County Council,,,,
Manchester City Council,Childrens & Education Services,Professional fees,01.12.2021,5105788773,"-£1,950.00",Warwickshire County Council,,,,
Manchester City Council,Childrens & Education Services,Subsistence and Conference Expenses,01.12.2021,5105788751,"£1,937.00",Regen.me.uk,,,,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,01.12.2021,5105788757,"£63,051.36",Manor Academy,,,,
Manchester City Council,Childrens & Education Services,Payments for services,01.12.2021,5105788795,£948.15,DHP Care Limited,,,,
Manchester City Council,Childrens & Education Services,Supporting People Payments,01.12.2021,5105788746,"£1,158.05",Child Action Northwest,,,,
Manchester City Council,Childrens & Education Services,Foster Payments,01.12.2021,1907473780,"£1,016.00",Redacted Personal Information,,,,
Manchester City Council,Childrens & Education Services,Legal Fees,01.12.2021,5105788777,"£1,906.25",Waddington & Son Solicitors,,,,
Manchester City Council,Childrens & Education Services,Legal Fees,01.12.2021,5105788776,"£1,950.00",Waddington & Son Solicitors,,,,
Manchester City Council,Adult Social Care,Training and Development,01.12.2021,5105788818,"£2,992.50",Disabled Living,,,,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,01.12.2021,5105788804,"£34,431.50",Redacted Personal Information,,,,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,01.12.2021,5105788802,"£16,618.00",Redacted Personal Information,,,,
Manchester City Council,Adult Social Care,Supporting People Payments,01.12.2021,5105788746,"£2,591.41",Child Action Northwest,,,,
Manchester City Council,Adult Social Care,Personal needs of client,01.12.2021,5105788750,"£2,280.00",Anywhere Care Ltd,,,,
Manchester City Council,Corporate Services,Travel Season TLS,01.12.2021,5105788747,£570.00,Stagecoach Manchester,,,,
Manchester City Council,Corporate Services,Travel Season TLS,01.12.2021,5105788748,£570.00,Stagecoach Manchester,,,,
Manchester City Council,Corporate Services,Travel Season TLS,01.12.2021,5105788758,£570.00,Stagecoach Manchester,,,,
Manchester City Council,Corporate Services,"Consumable items eg Toilet rolls, soap etc",01.12.2021,1700127213,"-£4,422.71",COBWEB SOLUTIONS LIMIT,,,,
Manchester City Council,Corporate Services,"Consumable items eg Toilet rolls, soap etc",01.12.2021,1700127317,"-£3,741.48",O2 UK PAYMENT,,,,
Manchester City Council,Corporate Services,"Consumable items eg Toilet rolls, soap etc",01.12.2021,1700127150,"-£3,882.63",O2 UK PAYMENT,,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,01.12.2021,5105788771,"£2,432.62",Prism Medical UK Carefree Division,,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,01.12.2021,5105788768,"£413,054.34",Manchester Working Ltd,,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,01.12.2021,5105788769,"£264,232.00",Manchester Working Ltd,,,,
Manchester City Council,Chief Executives,Agency staff provision,01.12.2021,5105788812,"£20,944.00",Penna PLC,,,,
Manchester City Council,Chief Executives,Agency staff provision,01.12.2021,5105788814,"£19,159.00",Penna PLC,,,,
Manchester City Council,Chief Executives,Agency staff provision,01.12.2021,5105788816,"£11,256.00",Penna PLC,,,,
Manchester City Council,Chief Executives,Agency staff provision,01.12.2021,5105788817,£536.00,Penna PLC,,,,
Manchester City Council,Chief Executives,AVC NI,01.12.2021,1907472435,"£2,878.73",AVC Wise Ltd,,,,
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,01.12.2021,5105788813,"£1,551.00",Insight Direct (Uk) Ltd,,,,
Manchester City Council,Regeneration Finance,Taxi Vehicle Materia,01.12.2021,5105788782,"£1,768.84",VIP-System Ltd,,,,
Manchester City Council,Highways Services,Compensation Payments,01.12.2021,1907473778,"£12,902.00",Treadstone Law Solicitors,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474301,"£12,405.08",Corona Energy Ltd,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474300,"£4,941.37",Corona Energy Ltd,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474302,"£4,098.13",Corona Energy Ltd,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474304,"£1,491.72",Corona Energy Ltd,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474303,£869.29,Corona Energy Ltd,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474299,£811.51,Corona Energy Ltd,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474305,£762.87,Corona Energy Ltd,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474214,"£8,506.35",Gazprom Energy,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474157,"£3,573.14",Gazprom Energy,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474229,"£3,328.74",Gazprom Energy,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474116,"£2,966.82",Gazprom Energy,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474235,"£2,580.21",Gazprom Energy,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474205,"£2,319.02",Gazprom Energy,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474227,"£2,189.55",Gazprom Energy,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474231,"£1,838.06",Gazprom Energy,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474218,"£1,613.21",Gazprom Energy,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474230,"£1,395.23",Gazprom Energy,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474220,"£1,041.36",Gazprom Energy,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474127,£884.48,Gazprom Energy,,,,
Manchester City Council,Manchester Leisure,Gas,02.12.2021,1907474128,£591.92,Gazprom Energy,,,,
Manchester City Council,Manchester Leisure,Equipment,02.12.2021,5105788958,"£1,080.00",Willfab Ltd,,,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,02.12.2021,5105788911,£875.00,Specimen Trees Ltd,,,,
Manchester City Council,Manchester Leisure,Hire of Machinery,02.12.2021,5105788922,£600.00,Bradshaw Lawnmover Engineers,,,,
Manchester City Council,Manchester Leisure,Hire of Machinery,02.12.2021,5105788957,£960.00,Willfab Ltd,,,,
Manchester City Council,Manchester Leisure,Hire of Equipment,02.12.2021,5105788979,"£1,960.00",Event Technical Support,,,,
Manchester City Council,Manchester Leisure,Publications,02.12.2021,5105789031,"£1,985.00",T/A Spectrum Plast,,,,
Manchester City Council,Manchester Leisure,Professional fees,02.12.2021,5105789028,"£5,000.00",Metastreet Ltd,,,,
Manchester City Council,Manchester Leisure,Mobilephone Charges,02.12.2021,1907474816,"£3,550.98",O2 UK PAYMENT,,,,
Manchester City Council,Manchester Leisure,Mobilephone Charges,02.12.2021,1907474812,"£3,236.36",O2 UK PAYMENT,,,,
Manchester City Council,Manchester Leisure,Mobilephone Charges,02.12.2021,1907474815,"£3,154.29",O2 UK PAYMENT,,,,
Manchester City Council,Manchester Leisure,Mobilephone Charges,02.12.2021,1907474814,"£3,117.90",O2 UK PAYMENT,,,,
Manchester City Council,Manchester Leisure,Mobilephone Charges,02.12.2021,1907474811,"£2,236.76",O2 UK PAYMENT,,,,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,02.12.2021,1907468858,£516.00,Donna Wilson Limited,,,,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,02.12.2021,1907472415,"£2,151.95",Askews and Holts,,,,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,02.12.2021,1907472416,"£1,450.41",Askews and Holts,,,,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,02.12.2021,1907472423,"£1,010.50",Azhar Enterrprises,,,,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,02.12.2021,1907472422,"£1,002.00",Azhar Enterrprises,,,,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,02.12.2021,1907472421,"£1,001.00",Azhar Enterrprises,,,,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,02.12.2021,1907472420,"£1,000.00",Azhar Enterrprises,,,,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,02.12.2021,1907472426,£840.00,Didsbury News Limited,,,,
Manchester City Council,Manchester Leisure,Special Event,02.12.2021,5105789013,"£15,766.22",Biffa Municipal Limited,,,,
Manchester City Council,Manchester Leisure,Compensation Payments,02.12.2021,1907474803,"£44,174.38",Access UK Ltd,,,,
