Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Stationery,03.02.2020,5101073635,£878.31,Banner Group Limited
Manchester City Council,Hospitality + Trading Services,External repairs and maintenance for buildings,03.02.2020,5101073590,"£103,175.89",Conlon Construction Ltd
Manchester City Council,Hospitality + Trading Services,External repairs and maintenance for buildings,03.02.2020,5101073590,"£29,372.38",Conlon Construction Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.02.2020,1906753260,"£1,251.74",Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.02.2020,1906753265,"£1,174.08",Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.02.2020,1906753330,"£1,069.58",Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.02.2020,1906753263,"£1,031.10",Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.02.2020,1906753266,£883.22,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.02.2020,1906753232,£755.29,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.02.2020,1906753328,£659.74,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.02.2020,1906753291,£608.37,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.02.2020,1906753287,£597.73,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.02.2020,1906753240,£588.68,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.02.2020,1906753230,£573.34,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.02.2020,1906753235,£558.78,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.02.2020,1906753307,£504.72,Brake Bros Foodservice Ltd
Manchester City Council,Adult Social Care,Rents,03.02.2020,5101073571,"£3,415.62",Northwards Housing Limited
Manchester City Council,Adult Social Care,Rents,03.02.2020,5101073569,"£2,860.91",Northwards Housing Limited
Manchester City Council,Adult Social Care,Rents,03.02.2020,5101073567,"£2,701.14",Northwards Housing Limited
Manchester City Council,Adult Social Care,Rents,03.02.2020,5101073573,"£2,385.89",Northwards Housing Limited
Manchester City Council,Adult Social Care,Rents,03.02.2020,5101073564,"£2,381.86",Northwards Housing Limited
Manchester City Council,Adult Social Care,Rents,03.02.2020,5101073566,"£1,858.70",Northwards Housing Limited
Manchester City Council,Adult Social Care,Transport Coach Hire,03.02.2020,5101073526,"£87,845.00",APTSL
Manchester City Council,Adult Social Care,Transport Coach Hire,03.02.2020,5101073527,"£82,564.00",Communitytransportservices.co.uk
Manchester City Council,Adult Social Care,General Office expenses,03.02.2020,1906712511,"£1,800.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Professional fees,03.02.2020,1906722099,"£4,129.58",Millennium Translations Ltd
Manchester City Council,Adult Social Care,Professional fees,03.02.2020,1906719326,£600.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Professional fees,03.02.2020,1906723640,"£2,950.00",18 St John Street Chambers
Manchester City Council,Adult Social Care,Professional fees,03.02.2020,1906731235,£650.00,18 St John Street Chambers
Manchester City Council,Adult Social Care,Professional fees,03.02.2020,1906725163,£650.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Professional fees,03.02.2020,1906723630,£802.02,Redacted Personal Information
Manchester City Council,Adult Social Care,Professional fees,03.02.2020,1906731242,"£1,000.00",Central Chambers
Manchester City Council,Adult Social Care,Professional fees,03.02.2020,1906719256,£650.00,Central Chambers
Manchester City Council,Adult Social Care,Professional fees,03.02.2020,1906722098,£850.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Professional fees,03.02.2020,1906725103,"£1,000.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Professional fees,03.02.2020,1906719258,"£1,104.17",Redacted Personal Information
Manchester City Council,Adult Social Care,Professional fees,03.02.2020,1906731249,£550.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Professional fees,03.02.2020,1906741090,£782.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,03.02.2020,5101073651,"£1,938.00",Sharples School Multi Acad Trust
Manchester City Council,Adult Social Care,Payments for services,03.02.2020,5101073684,"£26,072.64",Seashell trust
Manchester City Council,Adult Social Care,Payments for services,03.02.2020,5101073696,"£26,072.64",Seashell trust
