Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,
Manchester City Council,Manchester Leisure,Professional fees,01.02.2022,5105797597,"£67,560.00",Wythenshawe Forum Trust Ltd,
Manchester City Council,Manchester Leisure,Professional fees,01.02.2022,5105797530,"£4,638.36",British Taekwondo Limited,
Manchester City Council,Manchester Leisure,Professional fees,01.02.2022,5105797571,"£4,609.93",British Taekwondo Limited,
Manchester City Council,Manchester Leisure,Professional fees,01.02.2022,1907529617,£527.00,Redacted Personal Information,
Manchester City Council,Manchester Leisure,Professional fees,01.02.2022,1907528532,£700.00,Aquarius Tennants Association,
Manchester City Council,Manchester Leisure,Professional fees,01.02.2022,1907528844,£693.00,Collective Encounters,
Manchester City Council,Manchester Leisure,Professional fees,01.02.2022,1907528526,£565.00,Halo Post Production,
Manchester City Council,Manchester Leisure,Professional fees,01.02.2022,1907530194,"£80,000.00",Squash Media & Marketing Limited,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.02.2022,5105797591,"£24,388.26",Greater Manchester Police,
Manchester City Council,Manchester Leisure,Books-Adult Fiction,01.02.2022,1907528878,£900.00,Redacted Personal Information,
Manchester City Council,Manchester Leisure,Special Event,01.02.2022,5105797594,£922.75,Hirequirements Ltd,
Manchester City Council,Manchester Leisure,CAMC/Not assigned,01.02.2022,5105797558,"£2,192.48",Trustmarque Solutions Ltd,
Manchester City Council,Manchester Leisure,CAMC/Not assigned,01.02.2022,5105797850,"-£2,192.48",Trustmarque Solutions Ltd,
Manchester City Council,Hospitality + Trading Services,Equipment,01.02.2022,1907526356,"£1,412.92",G4S Cash Solutions (Uk) Ltd,
Manchester City Council,Hospitality + Trading Services,Compensation Payments,01.02.2022,1907526722,"£1,648.50",Irwin Mitchell Solicitors,
Manchester City Council,Hospitality + Trading Services,Legal Fees,01.02.2022,1907529764,"£2,100.00",Civil Costs Specialist Ltd,
Manchester City Council,Childrens & Education Services,Transport Coach Hire,01.02.2022,5105797628,"£2,782.00",MS Minibuses Ltd,
Manchester City Council,Childrens & Education Services,Signers/Interpreters,01.02.2022,5105797572,£605.60,Language Line Ltd,
