Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Grant Payments,01.02.2017,1905454436,"£2,685.00",Friends of Swinton Grove Park
Manchester City Council,Manchester Leisure,Grant Payments,01.02.2017,1905454438,"£2,831.00",Friends of Burnage Library Ltd
Manchester City Council,Manchester Leisure,Grant Payments,01.02.2017,1905454431,"£1,000.00",Levenshulme Youth Project
Manchester City Council,Manchester Leisure,Grant Payments,01.02.2017,1905454431,"£1,000.00",Levenshulme Youth Project
Manchester City Council,Manchester Leisure,Grant Payments,01.02.2017,1905454437,£800.00,Whalley Rangers
Manchester City Council,Adult Social Care,Rents,01.02.2017,5100901544,"£80,640.34",B & A Properties
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.02.2017,5100901574,"£1,055,720.00",Barnardo's North West
Manchester City Council,Adult Social Care,Payments for services,01.02.2017,5100901513,£555.00,Randstad Education
Manchester City Council,Adult Social Care,Payments for services,01.02.2017,5100901514,£555.00,Randstad Education
Manchester City Council,Adult Social Care,Payments for services,01.02.2017,5100901521,£555.00,Randstad Education
Manchester City Council,Adult Social Care,Payments for services,01.02.2017,5100901523,£555.00,Randstad Education
Manchester City Council,Adult Social Care,Payments for services,01.02.2017,5100901524,£555.00,Randstad Education
Manchester City Council,Adult Social Care,Payments for services,01.02.2017,5100901529,£555.00,Randstad Education
Manchester City Council,Adult Social Care,Payments for services,01.02.2017,5100901536,£555.00,Randstad Education
Manchester City Council,Adult Social Care,Payments for services,01.02.2017,5100901545,£555.00,Randstad Education
Manchester City Council,Adult Social Care,Payments for services,01.02.2017,5100901562,£555.00,Randstad Education
Manchester City Council,Adult Social Care,Payments for services,01.02.2017,5100901526,£505.00,Randstad Education
Manchester City Council,Adult Social Care,Supporting People Payments,01.02.2017,5100901560,£817.84,St.Vincent'S Housing Association
Manchester City Council,Adult Social Care,Supporting People Payments,01.02.2017,5100901541,"£42,922.99",Manchester Mental Health & Social C
Manchester City Council,Adult Social Care,Rents,01.02.2017,5100901563,"£27,215.88",M & Q Properties Management Ltd
Manchester City Council,Adult Social Care,Legal Fees,01.02.2017,5100901564,"£6,292.50",Redacted Personal Information
Manchester City Council,Adult Social Care,Rents,01.02.2017,5100901527,"£66,393.64",Mears Limited
Manchester City Council,Adult Social Care,Legal Fees,01.02.2017,5100901515,£750.00,Redacted Personal Information
Manchester City Council,Corporate Services,Audit Commission Fees,01.02.2017,5100896136,"£2,750.00",Grant Thornton Uk LLP
Manchester City Council,Corporate Services,Long Term Debtors,01.02.2017,5100901559,"£99,820.00",Roman Boundary Park Ltd
Manchester City Council,Housing General Fund,Surplus property Acquisitions,01.02.2017,1905458691,"£11,902.63",Primas Law
Manchester City Council,Chief Executives,Agency staff provision,01.02.2017,5100901561,"£1,902.78",Network Ventures Ltd T/A Topcare
Manchester City Council,Chief Executives,Advertising,01.02.2017,5100901569,"£1,224.00",Best Asian Media Ltd
Manchester City Council,Regeneration Finance,Storage Costs,01.02.2017,5100901573,"£1,349.83",Data Space Limited
Manchester City Council,Highways Services,Payments to Sub-Contractors,01.02.2017,5100901510,"£16,241.74",Kenny Bros (Civil Eng) Ltd
Manchester City Council,Highways Services,Payments to Sub-Contractors,01.02.2017,5100901509,"£11,339.97",Kenny Bros (Civil Eng) Ltd
Manchester City Council,Highways Services,Payments to Sub-Contractors,01.02.2017,5100901543,"£6,820.00",Kenny Bros (Civil Eng) Ltd
Manchester City Council,Highways Services,Payments to Sub-Contractors,01.02.2017,5100901539,"£5,490.00",Kenny Bros (Civil Eng) Ltd
Manchester City Council,Highways Services,Hire of Machinery,01.02.2017,5100901550,"£1,038.50",R & M Developments Ltd
Manchester City Council,Highways Services,Hire of Machinery,01.02.2017,5100901555,£779.10,R & M Developments Ltd
Manchester City Council,Highways Services,Hire of Machinery,01.02.2017,5100901580,£519.80,R & M Developments Ltd
Manchester City Council,Highways Services,Building Materials for direct delivery,01.02.2017,5100901517,£986.86,TARMAC
Manchester City Council,Highways Services,Building Materials for direct delivery,01.02.2017,1905458405,£532.69,Benchmark Building Supplies Ltd
Manchester City Council,Manchester Leisure,Grant Payments,02.02.2017,1905458667,"£1,950.00",Burnage Good Neighbours
Manchester City Council,Manchester Leisure,Grant Payments,02.02.2017,1905458670,"£1,340.00",St Edmunds Church
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,02.02.2017,5100901693,"£1,864.68",Manchester Dogs Home
Manchester City Council,Manchester Leisure,Grant Payments,02.02.2017,1905458669,"£1,000.00",Friends of Platt Fields Park
Manchester City Council,Manchester Leisure,Professional fees,02.02.2017,5100901803,"£3,162.50",Brightcorp Ltd T/A The Retail Group
Manchester City Council,Manchester Leisure,Professional fees,02.02.2017,5100901804,"-£3,162.50",Brightcorp Ltd T/A The Retail Group
Manchester City Council,Manchester Leisure,Grant Payments,02.02.2017,1905458665,£550.00,Highway Hope
