Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,04.01.2022,5105792653,"£1,585.44",Cromwell Polythene Limited
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,04.01.2022,5105792654,£836.64,Cromwell Polythene Limited
Manchester City Council,Manchester Leisure,Supporting People Payments,04.01.2022,5105792655,"£2,690.00",4CT Limited
Manchester City Council,Environment and Operations,Construction Works,04.01.2022,5105792682,"£3,355.15",Transport for Greater Manchester
Manchester City Council,Childrens & Education Services,Professional fees,04.01.2022,1907490122,"£2,335.00",Advanced Child Care Assessments
Manchester City Council,Childrens & Education Services,Professional fees,04.01.2022,1907497413,£650.00,Redacted Personal Information
Manchester City Council,Childrens & Education Services,Professional fees,04.01.2022,1907495312,£597.25,Stockport Psychology Services
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,04.01.2022,5105792662,"£11,750.00",TiPP Centre
Manchester City Council,Childrens & Education Services,Payments for services,04.01.2022,1907495317,"£1,349.00",Redacted Personal Information
Manchester City Council,Childrens & Education Services,Personal needs of client,04.01.2022,1907489372,"£1,146.20",Nellie Supports Ltd
Manchester City Council,Childrens & Education Services,Legal Fees,04.01.2022,1907497424,£550.00,Kenworthy's Chambers
Manchester City Council,Childrens & Education Services,Legal Fees,04.01.2022,1907499378,"£1,894.00",Liberata
Manchester City Council,Childrens & Education Services,Legal Fees,04.01.2022,1907499381,"£9,928.00",Liberata
Manchester City Council,Childrens & Education Services,Legal Fees,04.01.2022,1907499386,"£11,915.00",Liberata
Manchester City Council,Adult Social Care,Rents,04.01.2022,5105792683,"£9,060.47",Eeven Homes Ltd.
Manchester City Council,Adult Social Care,Supporting People Payments,04.01.2022,5105792657,"£1,500.00",Southway Housing Trust
Manchester City Council,Adult Social Care,Supporting People Payments,04.01.2022,5105792660,"£1,500.00",Southway Housing Trust
Manchester City Council,Adult Social Care,Supporting People Payments,04.01.2022,5105792723,"£1,500.00",Southway Housing Trust
Manchester City Council,Adult Social Care,Legal Fees,04.01.2022,1907499389,"£1,100.00",Liberata
Manchester City Council,Childrens Services,Building Works,04.01.2022,5105792701,"£1,085,720.10",Sir Robert McAlpine Limited
Manchester City Council,Chief Executives,Payments to Sub-Contractors,04.01.2022,5105792589,£559.15,Redacted Personal Information
Manchester City Council,Chief Executives,Payments to Sub-Contractors,04.01.2022,5105792652,£544.10,Redacted Personal Information
Manchester City Council,Chief Executives,Payments to Sub-Contractors,04.01.2022,5105792651,£525.00,Redacted Personal Information
