Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,
Manchester City Council,Regeneration Finance,Security,01.07.2019,5101037794,"£426,725.37",Group 4 Total Security Ltd T/A G4S,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.07.2019,5101037793,"£200,298.49",ISG Construction Limited,
Manchester City Council,Adult Social Care,Payments for services,01.07.2019,5101037818,"£157,746.64",Seashell trust,
Manchester City Council,Environment and Operations,Construction Works,01.07.2019,5101037808,"£104,861.28",Dowhigh Ltd,
Manchester City Council,Corporate Services,Long Term Debtors,01.07.2019,5101037881,"£68,524.00",First Step (Ancoats) Ltd,
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,01.07.2019,1906530169,"£49,985.00",Peasegoods,
Manchester City Council,Environment and Operations,Construction Works,01.07.2019,5101037770,"£32,400.00",Rosgal Ltd,
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,01.07.2019,5101037748,"£30,967.20",Manchester Energy Company Limited,
Manchester City Council,Environment and Operations,Construction Works,01.07.2019,5101037771,"£28,100.00",Rosgal Ltd,
Manchester City Council,Adult Social Care,Payments for services,01.07.2019,5101037821,"£26,665.43",Care Concepts Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Costs,01.07.2019,5101037792,"£6,583.25",ATS Euromaster Limited,
Manchester City Council,Regeneration Finance,Rents,01.07.2019,1906528767,"£5,651.00",Regus Management (UK) Ltd,
Manchester City Council,Adult Social Care,Payments for services,01.07.2019,5101037819,"£5,108.67",Cheadle & Marple Sixth Form College,
Manchester City Council,Environment and Operations,Construction Works,01.07.2019,5101037772,"£4,230.00",Rosgal Ltd,
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,01.07.2019,5101037791,"£4,055.13",Manchester Working Ltd,
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,01.07.2019,5101037779,"£3,866.66",Manchester Working Ltd,
Manchester City Council,Manchester Leisure,Professional fees,01.07.2019,5101037814,"£3,639.22",City Of Manchester Water Polo Club,
Manchester City Council,Adult Social Care,Compensation Payments,01.07.2019,1906528139,"£3,250.00",Simpson Millar LLP,
Manchester City Council,Chief Executives,Grant and subscriptions awarded,01.07.2019,1906499200,"£2,900.00",Information Commissioner,
Manchester City Council,Adult Social Care,Personal needs of client,01.07.2019,5101037799,"£2,257.00",Sunrise Medical Ltd,
Manchester City Council,Adult Social Care,Compensation Payments,01.07.2019,1906528138,"£2,162.00",Simpson Millar LLP,
Manchester City Council,Chief Executives,Floral Decorations,01.07.2019,5101037787,"£2,150.00",T/A Frog Flowers,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.07.2019,5101037800,"£2,000.00",Naz Legacy Foundation Ltd,
Manchester City Council,Manchester Leisure,Special Events,01.07.2019,1906526683,"£2,000.00",Carisma,
Manchester City Council,Chief Executives,Compensation Payments,01.07.2019,5101037807,"£1,734.60",Gray's Inn Square Chambers Ltd,
Manchester City Council,Chief Executives,Advertising,01.07.2019,5101037749,"£1,530.34",Primesight Ltd,
Manchester City Council,Regeneration Finance,Payments to Sub-Contractors,01.07.2019,5101037784,"£1,521.09",Custodian Monitoring,
Manchester City Council,Chief Executives,Professional fees,01.07.2019,5101037816,"£1,250.00",Redacted Personal Information,
Manchester City Council,Corporate Services,Equipment,01.07.2019,5101037783,"£1,087.90",Back Care Solutions Ltd,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.07.2019,5101037822,£830.80,R & M Developments Ltd,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.07.2019,5101037823,£810.00,R & M Developments Ltd,
Manchester City Council,Chief Executives,Professional fees,01.07.2019,5101037817,£750.00,Julie's Bicycle,
Manchester City Council,Environment and Operations,Construction Works,01.07.2019,5101037805,"-£104,861.28",Dowhigh Ltd,
Manchester City Council,Chief Executives,Building Works,02.07.2019,1906530319,"£358,516.10",Vital Energi Solutions Ltd,
Manchester City Council,Adult Social Care,Payments for services,02.07.2019,5101038020,"£254,908.03",Standwalk Ltd,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,02.07.2019,5101037933,"£33,330.15",New Bridge School,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,02.07.2019,5101037896,"£32,000.00",Gardiner & Theobald LLP,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,02.07.2019,5101038019,"£26,917.50",Redacted Personal Information,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,02.07.2019,5101038010,"£25,843.50",Redacted Personal Information,
Manchester City Council,Adult Social Care,Payments for services,02.07.2019,5101037833,"£23,332.00",Aim Habonim,
Manchester City Council,Adult Social Care,Payments for services,02.07.2019,5101037832,"£21,326.82",Seashell trust,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,02.07.2019,5101037869,"£20,956.00",GTM Fire Protection Ltd,
Manchester City Council,Regeneration Finance,Legal Fees,02.07.2019,5101037856,"£17,250.00",Kings Chambers,
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,02.07.2019,5101038005,"£13,625.00",Dolphin Computer Access Ltd,
Manchester City Council,Highways Services,Payments to Sub-Contractors,02.07.2019,5101037898,"£13,529.93",J.Hopkins (Contractors) Ltd.,
Manchester City Council,Adult Social Care,Payments for services,02.07.2019,5101038014,"£11,201.81",Carlton House Care Ltd,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,02.07.2019,5101037900,"£7,771.00",Chatsworth High School & College,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,02.07.2019,5101037871,"£7,607.94",GTM Fire Protection Ltd,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,02.07.2019,5101037866,"£6,339.95",GTM Fire Protection Ltd,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,02.07.2019,5101037875,"£6,339.95",GTM Fire Protection Ltd,
Manchester City Council,Chief Executives,Advertising,02.07.2019,5101037851,"£6,117.50",Clear Channel Uk Ltd,
Manchester City Council,Corporate Services,Legal Fees,02.07.2019,5101037937,"£5,920.00",Crest Advisory (UK) LTD,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.07.2019,5101038012,"£5,312.50",Pure Innovations Ltd,
Manchester City Council,Chief Executives,Advertising,02.07.2019,5101037849,"£5,172.00",Clear Channel Uk Ltd,
Manchester City Council,Hospitality + Trading Services,Insurance,02.07.2019,1906528731,"£5,024.00",Zurich Municipal,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,02.07.2019,5101037948,"£4,464.00",Lyndon Scaffolding Plc,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,02.07.2019,5101037972,"£4,210.00",The Beis Yaakov Jewish High School,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,02.07.2019,5101037865,"£4,131.00",St Pauls Church Hall,
Manchester City Council,Adult Social Care,Furniture,02.07.2019,5101037934,"£3,500.00",Manchester Settlement,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,02.07.2019,5101038024,"£3,409.00",Lostock College,
Manchester City Council,Adult Social Care,Payments for services,02.07.2019,5101037831,"£3,000.00",Enabling Futures Ltd,
Manchester City Council,Chief Executives,Grant Payments,02.07.2019,5101037988,"£2,700.00",Getty Images International,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,02.07.2019,5101037939,"£2,583.75",St George's C of E School,
Manchester City Council,Chief Executives,Compensation Payments,02.07.2019,5101037848,"£2,000.00",Redacted Personal Information,
Manchester City Council,Highways Services,Professional fees,02.07.2019,5101037964,"£1,890.00",Waterman Aspen Ltd,
Manchester City Council,Adult Social Care,Payments for services,02.07.2019,5101037829,"£1,741.10",Gorse Hill Studios,
Manchester City Council,Manchester Leisure,Transport and Driver Hire,02.07.2019,5101037826,"£1,700.00",Crown Fine Arts,
Manchester City Council,Corporate Services,Legal Fees,02.07.2019,5101038007,"£1,700.00",Kings Chambers,
Manchester City Council,Manchester Leisure,Equipment,02.07.2019,5101037942,"£1,625.50",Flowprotect Ltd,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,02.07.2019,5101037879,"£1,618.60",TP Manufacturing t/a Pendock,
Manchester City Council,Adult Social Care,Funeral and coroner related services,02.07.2019,5101037853,"£1,528.00",Greater Manchester Funeral Service,
Manchester City Council,Regeneration Finance,Window Cleaning,02.07.2019,5101037916,"£1,523.00",Ferguson Cleaning Services LLP,
Manchester City Council,Manchester Leisure,Legal Fees,02.07.2019,5101037857,"£1,500.00",Kings Chambers,
Manchester City Council,Adult Social Care,Payments for services,02.07.2019,5101037894,"£1,300.00",Redacted Personal Information,
